metric,new_gate_a,reference_100env_env0_pass1,delta,absolute_tolerance,pass
force_cmd_mean_n,7.447257041931152,7.447259902954102,-2.86102294922e-06,0.05,True
force_used_mean_n,7.280595779418945,7.280588150024414,7.62939453125e-06,0.05,True
force_used_max_n,8.694000244140625,8.690768241882324,0.0032320022583,0.10,True
feed_cmd_mean_mm_s,6.614827550947666,6.614831741899252,-4.19095158577e-06,0.01,True
fallback_steps,0,0,0,0,True
gu_after,61.97528775581709,61.97514241352021,0.000145342296882,0.01,True
ra_after_um,0.20874166999267257,0.20874342494415316,-1.75495148058e-06,0.0001,True
rz_after_um,1.997178246920495,1.9971808058870153,-2.55896652024e-06,0.001,True
scratch_after_um,1.3153885359865483,1.3153877503165736,7.85669974634e-07,0.0001,True
clearcoat_after_um,37.940054058791986,37.94005624315789,-2.18436590416e-06,0.001,True
temperature_peak_c,39.15023463191854,39.15013534310612,9.92888124216e-05,0.01,True
thermal_damage_peak,0.06418666950033441,0.06418556367290178,1.10582743264e-06,0.0001,True
