checkpoint,env,sequence,pass,tile_x,tile_y,gu_current,gu_optimistic_ceiling,gu_if_min_baseline,gu_if_cellwise_worst,gu_ceiling_if_min_baseline,gu_ceiling_if_cellwise_worst,ceiling_margin_to_target,q_clearcoat_current,q_clearcoat_min_baseline,q_clearcoat_cellwise_worst,clearcoat_initial_min_um,clearcoat_initial_mean_um,clearcoat_min_um,limiting_term_current,disposition
"model_bc_robot_tesla12p7.pt+finish(force=-1.000,feed=12.700)",6,0,1,0,0,68.675,78.0,68.675,68.675,78.0,78.0,8.0,0.89015,0.899185,0.887436,41.074,41.187,39.958,q_scratch,plausible_rework_candidate
"model_bc_robot_tesla12p7.pt+finish(force=-1.000,feed=12.700)",6,0,1,0,1,76.079,78.0,76.079,76.079,78.0,78.0,8.0,0.882009,0.889251,0.879775,41.265,41.357,40.017,q_uniformity,target_met
"model_bc_robot_tesla12p7.pt+finish(force=-1.000,feed=12.700)",6,0,1,0,2,75.105,78.0,75.105,75.105,78.0,78.0,8.0,0.846659,0.867805,0.860256,41.048,41.324,39.587,q_uniformity,target_met
"model_bc_robot_tesla12p7.pt+finish(force=-1.000,feed=12.700)",6,0,1,0,3,72.636,77.999,72.636,72.636,77.999,77.999,7.999,0.836723,0.872384,0.854987,40.462,40.908,39.127,q_scratch,target_met
"model_bc_robot_tesla12p7.pt+finish(force=-1.000,feed=12.700)",6,0,1,0,4,70.756,77.964,70.756,70.756,77.964,77.964,7.964,0.85369,0.880819,0.855238,40.14,40.462,38.932,q_scratch,target_met
"model_bc_robot_tesla12p7.pt+finish(force=-1.000,feed=12.700)",6,0,1,1,0,64.889,78.0,64.889,64.889,78.0,78.0,8.0,0.87355,0.898263,0.878025,40.691,40.993,39.603,q_scratch,plausible_rework_candidate
"model_bc_robot_tesla12p7.pt+finish(force=-1.000,feed=12.700)",6,0,1,1,1,65.251,77.996,65.251,65.251,77.996,77.996,7.996,0.855554,0.881579,0.877734,41.103,41.441,39.788,q_scratch,plausible_rework_candidate
"model_bc_robot_tesla12p7.pt+finish(force=-1.000,feed=12.700)",6,0,1,1,2,72.161,78.0,72.161,72.161,78.0,78.0,8.0,0.845569,0.871633,0.871633,41.486,41.84,40.011,q_scratch,target_met
"model_bc_robot_tesla12p7.pt+finish(force=-1.000,feed=12.700)",6,0,1,1,3,76.074,77.985,76.074,76.074,77.985,77.985,7.985,0.8084,0.861626,0.859391,41.106,41.838,39.57,q_uniformity,target_met
"model_bc_robot_tesla12p7.pt+finish(force=-1.000,feed=12.700)",6,0,1,1,4,59.783,77.764,59.783,59.783,77.764,77.764,7.764,0.79731,0.854028,0.845539,40.866,41.639,39.279,q_scratch,plausible_rework_candidate
"model_bc_robot_tesla12p7.pt+finish(force=-1.000,feed=12.700)",6,0,1,2,0,75.832,78.0,75.832,75.832,78.0,78.0,8.0,0.841205,0.883187,0.862426,40.0,40.499,38.832,q_uniformity,target_met
"model_bc_robot_tesla12p7.pt+finish(force=-1.000,feed=12.700)",6,0,1,2,1,65.758,78.0,65.758,65.758,78.0,78.0,8.0,0.820437,0.877912,0.862445,40.649,41.396,39.349,q_scratch,plausible_rework_candidate
"model_bc_robot_tesla12p7.pt+finish(force=-1.000,feed=12.700)",6,0,1,2,2,71.661,78.0,71.661,71.661,78.0,78.0,8.0,0.838159,0.879279,0.865518,41.914,42.498,40.475,q_scratch,target_met
"model_bc_robot_tesla12p7.pt+finish(force=-1.000,feed=12.700)",6,0,1,2,3,72.632,77.952,72.632,72.632,77.952,77.952,7.952,0.835372,0.881733,0.861017,42.477,43.17,41.002,q_scratch,target_met
"model_bc_robot_tesla12p7.pt+finish(force=-1.000,feed=12.700)",6,0,1,2,4,65.885,77.663,65.885,65.885,77.663,77.663,7.663,0.81706,0.871278,0.869829,42.54,43.372,40.926,q_scratch,plausible_rework_candidate
"model_bc_robot_tesla12p7.pt+finish(force=-1.000,feed=12.700)",6,0,1,3,0,75.208,78.0,75.208,75.208,78.0,78.0,8.0,0.865831,0.869382,0.863399,40.0,40.041,38.694,q_uniformity,target_met
"model_bc_robot_tesla12p7.pt+finish(force=-1.000,feed=12.700)",6,0,1,3,1,76.815,78.0,76.815,76.815,78.0,78.0,8.0,0.788016,0.871555,0.86221,40.036,41.1,38.747,q_uniformity,target_met
"model_bc_robot_tesla12p7.pt+finish(force=-1.000,feed=12.700)",6,0,1,3,2,71.542,78.0,71.542,71.542,78.0,78.0,8.0,0.813143,0.870244,0.867271,42.075,42.923,40.508,q_scratch,target_met
"model_bc_robot_tesla12p7.pt+finish(force=-1.000,feed=12.700)",6,0,1,3,3,71.865,77.584,71.865,71.865,77.584,77.584,7.584,0.832434,0.882667,0.879501,43.472,44.285,41.892,q_scratch,target_met
"model_bc_robot_tesla12p7.pt+finish(force=-1.000,feed=12.700)",6,0,1,3,4,74.632,76.945,74.632,74.632,76.945,76.945,6.945,0.84209,0.885094,0.878446,44.175,44.899,42.546,q_uniformity,target_met
"model_bc_robot_tesla12p7.pt+finish(force=-1.000,feed=12.700)",6,0,1,4,0,75.806,78.0,75.806,75.806,78.0,78.0,8.0,0.88923,0.88923,0.88923,40.0,40.0,38.892,q_uniformity,target_met
"model_bc_robot_tesla12p7.pt+finish(force=-1.000,feed=12.700)",6,0,1,4,1,76.078,78.0,76.078,76.078,78.0,78.0,8.0,0.820063,0.885951,0.88593,40.0,40.803,38.86,q_uniformity,target_met
"model_bc_robot_tesla12p7.pt+finish(force=-1.000,feed=12.700)",6,0,1,4,2,69.993,78.0,69.993,69.993,78.0,78.0,8.0,0.817892,0.890379,0.885721,42.004,43.067,40.688,q_scratch,plausible_rework_candidate
"model_bc_robot_tesla12p7.pt+finish(force=-1.000,feed=12.700)",6,0,1,4,3,68.71,77.7,68.71,68.71,77.7,77.7,7.7,0.848104,0.896148,0.892954,44.075,44.872,42.613,q_scratch,plausible_rework_candidate
"model_bc_robot_tesla12p7.pt+finish(force=-1.000,feed=12.700)",6,0,1,4,4,74.669,77.325,74.669,74.669,77.325,77.325,7.325,0.873725,0.900942,0.900942,45.272,45.748,43.759,q_uniformity,target_met
"model_bc_robot_tesla12p7.pt+finish(force=-1.000,feed=12.700)",13,0,1,0,0,75.96,78.0,75.96,75.96,78.0,78.0,8.0,0.940131,0.962554,0.953092,43.889,44.22,43.369,q_uniformity,target_met
"model_bc_robot_tesla12p7.pt+finish(force=-1.000,feed=12.700)",13,0,1,0,1,76.16,78.0,76.16,76.16,78.0,78.0,8.0,0.910775,0.962094,0.940767,42.62,43.331,42.142,q_uniformity,target_met
"model_bc_robot_tesla12p7.pt+finish(force=-1.000,feed=12.700)",13,0,1,0,2,76.457,78.0,76.457,76.457,78.0,78.0,8.0,0.881235,0.95064,0.934115,41.052,41.922,40.506,q_uniformity,target_met
"model_bc_robot_tesla12p7.pt+finish(force=-1.000,feed=12.700)",13,0,1,0,3,67.515,78.0,67.515,67.515,78.0,78.0,8.0,0.890106,0.939461,0.932203,40.0,40.554,39.395,q_scratch,plausible_rework_candidate
"model_bc_robot_tesla12p7.pt+finish(force=-1.000,feed=12.700)",13,0,1,0,4,76.22,78.0,76.22,76.22,78.0,78.0,8.0,0.934168,0.936654,0.931649,40.0,40.027,39.367,q_uniformity,target_met
"model_bc_robot_tesla12p7.pt+finish(force=-1.000,feed=12.700)",13,0,1,1,0,75.779,78.0,75.779,75.779,78.0,78.0,8.0,0.921841,0.946163,0.930211,44.053,44.424,43.297,q_uniformity,target_met
"model_bc_robot_tesla12p7.pt+finish(force=-1.000,feed=12.700)",13,0,1,1,1,75.664,78.0,75.664,75.664,78.0,78.0,8.0,0.885433,0.939197,0.914329,42.971,43.758,42.182,q_uniformity,target_met
"model_bc_robot_tesla12p7.pt+finish(force=-1.000,feed=12.700)",13,0,1,1,2,71.994,78.0,71.994,71.994,78.0,78.0,8.0,0.854507,0.933429,0.911218,41.651,42.728,40.876,q_scratch,target_met
"model_bc_robot_tesla12p7.pt+finish(force=-1.000,feed=12.700)",13,0,1,1,3,66.305,78.0,66.305,66.305,78.0,78.0,8.0,0.841255,0.932671,0.908532,40.6,41.752,39.887,q_scratch,plausible_rework_candidate
"model_bc_robot_tesla12p7.pt+finish(force=-1.000,feed=12.700)",13,0,1,1,4,75.964,78.0,75.964,75.964,78.0,78.0,8.0,0.859677,0.943563,0.91735,40.185,41.179,39.61,q_uniformity,target_met
"model_bc_robot_tesla12p7.pt+finish(force=-1.000,feed=12.700)",13,0,1,2,0,62.133,77.997,62.133,62.133,77.997,77.997,7.997,0.905596,0.923846,0.910125,44.421,44.711,43.323,q_scratch,plausible_rework_candidate
"model_bc_robot_tesla12p7.pt+finish(force=-1.000,feed=12.700)",13,0,1,2,1,65.244,77.999,65.244,65.244,77.999,77.999,7.999,0.876128,0.914808,0.896529,43.762,44.369,42.589,q_scratch,plausible_rework_candidate
"model_bc_robot_tesla12p7.pt+finish(force=-1.000,feed=12.700)",13,0,1,2,2,68.056,78.0,68.056,68.056,78.0,78.0,8.0,0.852283,0.909786,0.897557,43.009,43.886,41.835,q_scratch,plausible_rework_candidate
"model_bc_robot_tesla12p7.pt+finish(force=-1.000,feed=12.700)",13,0,1,2,3,67.696,77.981,67.696,67.696,77.981,77.981,7.981,0.843968,0.914294,0.903867,42.454,43.492,41.387,q_scratch,plausible_rework_candidate
