env,roi_total_ra_um,roi_total_rz_um,roi_fine_ra_um,roi_fine_rz_um,roi_ra_low_frequency_contribution_um,roi_rz_low_frequency_contribution_um,roi_removal_mean_um,roi_removal_std_um,roi_removal_cv,roi_removal_max_min_um,roi_removal_p95_p05_um,roi_removal_waviness_ra_um,roi_removal_waviness_rz_um,roi_removal_waviness_std_um,roi_removal_fine_std_um,roi_center_removal_mean_um,roi_edge_removal_mean_um,roi_center_edge_delta_um,roi_center_edge_ratio,roi_under_fraction,roi_over_fraction,roi_coverage_fraction,roi_scratch_mean_um,roi_scratch_max_um,roi_clearcoat_min_um,waviness_sigma_m,under_over_fraction,surface_profile,profile_seed,design_status,base_ra_target_um,shallow_scratch_count,deep_scratch_count,sampled_shallow_depth_max_um,sampled_deep_depth_um,profile_gu_mean,profile_gu_p10,profile_gu_min
0,0.10845447469691123,0.8968421995003558,0.08547284708077425,0.7649396821088086,0.02298162761613698,0.13190251739154724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024154178195367093,0.4517557275410656,42.585946685238504,0.01,0.2,factory_prepolish,1000,PT-DESIGN_NO_MEASURED_FACTORY_DISTRIBUTION,0.10695977661776991,2,0,0.3653781025479139,0.0,68.44246169912215,46.2135554514959,25.47413143660354
1,0.10540747278941119,0.7924034381892534,0.08471345034429385,0.6623719853594432,0.020694022445117338,0.1300314528298102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.446346183763175,0.01,0.2,factory_prepolish,1097,PT-DESIGN_NO_MEASURED_FACTORY_DISTRIBUTION,0.10540747278941119,0,0,0.0,0.0,75.72252919732352,73.31228476971033,70.97298425092175
2,0.11890191088468012,0.9934402356077956,0.09609486442691219,0.8197423575347424,0.022807046457767932,0.17369787807305315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013986824869457806,0.31111621522338806,40.88714697932381,0.01,0.2,factory_prepolish,1194,PT-DESIGN_NO_MEASURED_FACTORY_DISTRIBUTION,0.11867341194787542,2,0,0.2490107306388112,0.0,66.00559607391747,25.4786562525869,25.41091189660378
3,0.11314904347849411,0.8969355245045152,0.09020205477542163,0.7789003904050076,0.022946988703072477,0.11803513409950761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000272504735301487,0.4025315950968127,41.80191877377877,0.01,0.2,factory_prepolish,1291,PT-DESIGN_NO_MEASURED_FACTORY_DISTRIBUTION,0.11288967967454912,1,0,0.4618167760313141,0.0,73.97822762326389,72.49958137739355,48.02250280467388
4,0.11175381001568215,1.263169506670394,0.0885629677240752,1.0611111102657511,0.02319084229160695,0.20205839640464296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00521756772287208,0.7634049755143588,42.585946685238504,0.01,0.2,factory_prepolish_deep_defect,1000,PT-DESIGN_NO_MEASURED_FACTORY_DISTRIBUTION,0.10695977661776991,2,1,0.3653781025479139,0.7911665697866543,65.55155118002581,39.72494871243681,25.47413143660354
5,0.10743038104532743,0.9556947000745077,0.08675258563064253,0.8433298799884731,0.020677795414684896,0.11236482008603466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002178816978044301,0.7396613632970581,43.446346183763175,0.01,0.2,factory_prepolish_deep_defect,1097,PT-DESIGN_NO_MEASURED_FACTORY_DISTRIBUTION,0.10540747278941119,0,1,0.0,0.6443219494903503,70.80329426345597,51.599936649305704,25.462058244537264
6,0.11970615660687718,1.1006855960461492,0.09664198015421072,0.9398898300721203,0.023064176452666466,0.1607957659740289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0021848820892283066,0.7077615069386217,40.88714697932381,0.01,0.2,factory_prepolish_deep_defect,1194,PT-DESIGN_NO_MEASURED_FACTORY_DISTRIBUTION,0.11867341194787542,2,1,0.2490107306388112,0.8110246165125548,63.842331343653704,25.4786562525869,25.41091189660378
7,0.11403596437263468,1.0780421638768443,0.09189047052918516,0.9844621894822808,0.02214549384344952,0.09357997439456345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001958962085476491,0.7841265287460824,41.80191877377877,0.01,0.2,factory_prepolish_deep_defect,1291,PT-DESIGN_NO_MEASURED_FACTORY_DISTRIBUTION,0.11288967967454912,1,1,0.4618167760313141,0.9340922427693541,72.03288634886509,59.73610806303132,48.02250280467388
8,0.11377703187022052,1.6977761925531438,0.0907196133564105,1.4612196806794018,0.02305741851381002,0.23655651187374205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006895698037832555,1.185413022920324,42.585946685238504,0.01,0.2,factory_prepolish_deep_stress,1000,PT-DESIGN_NO_MEASURED_FACTORY_DISTRIBUTION,0.10695977661776991,2,1,0.3653781025479139,1.2389582122333178,65.48837232478155,38.81834683183363,25.47413143660354
9,0.10902479220791128,1.1159301793571008,0.08855446536494842,1.1201689745454115,0.020470326842962863,-0.004238795188310718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003643167523218689,1.1502451117180275,43.446346183763175,0.01,0.2,factory_prepolish_deep_stress,1097,PT-DESIGN_NO_MEASURED_FACTORY_DISTRIBUTION,0.10540747278941119,0,1,0.0,1.0554024368629378,71.01088087164254,54.79041461550419,25.41374855382113
10,0.12035714425241467,1.2805456141070848,0.09723293739813257,1.1070513036094802,0.023124206854282098,0.17349431049760455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002778830352798723,1.147441744293534,40.88714697932381,0.01,0.2,factory_prepolish_deep_stress,1194,PT-DESIGN_NO_MEASURED_FACTORY_DISTRIBUTION,0.11867341194787542,2,1,0.2490107306388112,1.2637807706406936,63.59773998552237,25.4786562525869,25.41091189660378
11,0.11530336904872619,1.3630980729718012,0.09336141670305392,1.2428424044395396,0.02194195234567227,0.12025566853226155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0031289571148093677,1.247627785230129,41.80191877377877,0.01,0.2,factory_prepolish_deep_stress,1291,PT-DESIGN_NO_MEASURED_FACTORY_DISTRIBUTION,0.11288967967454912,1,1,0.4618167760313141,1.4176153034616927,71.6972288647766,57.30806076983152,46.5205018775804
