surface_profile,path_mode,direction_mode,checkpoint,env,profile_seed,outcome,passes,gu_before,gu_final,ra_before_um,ra_final_um,rz_before_um,rz_final_um,scratch_before_um,scratch_final_um,clearcoat_min_um,quality_ok,safety_ok
factory_prepolish,gate_b,same_xx,model_bc_robot_tesla12p7.pt,2,1194,fail_max_passes,1,66.00559607391747,69.89907887231769,0.11890191088468012,0.07838289642264003,0.9934402356077956,0.756781561859112,0.31111621522338806,0.2580469310750559,40.360822642533435,False,True
factory_prepolish,gate_b,same_xx,model_bc_robot_tesla12p7.pt,1,1097,success,1,75.72252919732352,76.87335911988559,0.10540747278941119,0.07833152980590248,0.7924034381892534,0.6904605794812742,0.0,0.0,43.31672813717901,True,True
factory_prepolish,gate_b,same_xx,model_bc_robot_tesla12p7.pt,0,1000,success,1,68.44246169912215,73.54455742042153,0.10845447469691123,0.08096359965621391,0.8968421995003558,0.768696320981937,0.4517557275410656,0.3381826164924563,42.018406635334266,True,True
factory_prepolish,gate_b,same_xx,model_bc_robot_tesla12p7.pt,3,1291,success,1,73.97822762326389,76.23729076794166,0.11314904347849411,0.07829713302927767,0.8969355245045152,0.7758810520462655,0.4025315950968127,0.254346897089524,41.5664808241144,True,True
factory_prepolish_deep_defect,gate_b,same_xx,model_bc_robot_tesla12p7.pt,5,1097,success,1,70.80329426345597,74.71614050452293,0.10743038104532743,0.11349629448034645,0.9556947000745077,0.9951976980719198,0.7396613632970581,0.4634633408031381,43.316730498515874,True,True
factory_prepolish_deep_defect,gate_b,same_xx,model_bc_robot_tesla12p7.pt,6,1194,fail_max_passes,1,63.842331343653704,68.66776579174717,0.11970615660687718,0.12363916957146519,1.1006855960461492,1.0407749831806932,0.7077615069386217,0.4627256072570993,40.32220964853899,False,True
factory_prepolish_deep_stress,gate_b,same_xx,model_bc_robot_tesla12p7.pt,10,1194,fail_max_passes,1,63.59773998552237,68.38324997476418,0.12035714425241467,0.13275422006137053,1.2805456141070848,1.2676344693662114,1.147441744293534,0.8587487340409916,40.3209731540003,False,True
factory_prepolish_deep_defect,gate_b,same_xx,model_bc_robot_tesla12p7.pt,7,1291,success,1,72.03288634886509,75.13754385000264,0.11403596437263468,0.11009624684431596,1.0780421638768443,1.138600259964416,0.7841265287460824,0.4289034279889089,41.018466699814134,True,True
factory_prepolish_deep_stress,gate_b,same_xx,model_bc_robot_tesla12p7.pt,11,1291,success,1,71.6972288647766,74.78211569788591,0.11530336904872619,0.11316338191960443,1.3630980729718012,1.4069637032173092,1.247627785230129,0.8642857193421527,41.02443563314618,True,True
factory_prepolish_deep_defect,gate_b,same_xx,model_bc_robot_tesla12p7.pt,4,1000,success,1,65.55155118002581,72.21203336567804,0.11175381001568215,0.12559857962825569,1.263169506670394,1.2965808107233836,0.7634049755143588,0.46943583899414265,42.017266891520045,True,True
factory_prepolish_deep_stress,gate_b,same_xx,model_bc_robot_tesla12p7.pt,8,1000,success,1,65.48837232478155,71.7260395691209,0.11377703187022052,0.13075291124200922,1.6977761925531438,1.720194101749708,1.185413022920324,0.8628195090192373,42.01736652823839,True,True
factory_prepolish_deep_stress,gate_b,same_xx,model_bc_robot_tesla12p7.pt,9,1097,success,1,71.01088087164254,74.37160783515075,0.10902479220791128,0.16280659128557715,1.1159301793571008,1.4246742211438108,1.1502451117180275,0.7289190028937347,43.317009172629795,True,True
