step_over_ratio,edge_mode,direction_mode,tile_x,tile_y,exposure_norm
0.18,legacy_start,same_xx,0,0,0.7278318337854897
0.18,legacy_start,same_xx,0,1,0.938664917871366
0.18,legacy_start,same_xx,0,2,0.941590570402733
0.18,legacy_start,same_xx,0,3,0.9362356435820824
0.18,legacy_start,same_xx,0,4,0.705405959600254
0.18,legacy_start,same_xx,1,0,0.9420947260153727
0.18,legacy_start,same_xx,1,1,1.2114843333413006
0.18,legacy_start,same_xx,1,2,1.2149468663837049
0.18,legacy_start,same_xx,1,3,1.2085492846257124
0.18,legacy_start,same_xx,1,4,0.9129356783457442
0.18,legacy_start,same_xx,2,0,0.9476934196247122
0.18,legacy_start,same_xx,2,1,1.217978901422903
0.18,legacy_start,same_xx,2,2,1.2214892702385145
0.18,legacy_start,same_xx,2,3,1.2150040715070092
0.18,legacy_start,same_xx,2,4,0.9183547092993395
0.18,legacy_start,same_xx,3,0,0.9420947260153727
0.18,legacy_start,same_xx,3,1,1.2114843333413006
0.18,legacy_start,same_xx,3,2,1.2149468663837049
0.18,legacy_start,same_xx,3,3,1.2085492846257124
0.18,legacy_start,same_xx,3,4,0.9129356783457442
0.18,legacy_start,same_xx,4,0,0.7278318337854899
0.18,legacy_start,same_xx,4,1,0.938664917871366
0.18,legacy_start,same_xx,4,2,0.9415905704027332
0.18,legacy_start,same_xx,4,3,0.9362356435820826
0.18,legacy_start,same_xx,4,4,0.705405959600254
0.18,legacy_start,cross_xy,0,0,0.7278318337854899
0.18,legacy_start,cross_xy,0,1,0.9403798219433693
0.18,legacy_start,cross_xy,0,2,0.9446419950137228
0.18,legacy_start,cross_xy,0,3,0.9391651847987277
0.18,legacy_start,cross_xy,0,4,0.7166188966928719
0.18,legacy_start,cross_xy,1,0,0.9403798219433697
0.18,legacy_start,cross_xy,1,1,1.2114843333413008
0.18,legacy_start,cross_xy,1,2,1.2164628839033045
0.18,legacy_start,cross_xy,1,3,1.2100168089835066
0.18,legacy_start,cross_xy,1,4,0.9258002981085552
0.18,legacy_start,cross_xy,2,0,0.9446419950137229
0.18,legacy_start,cross_xy,2,1,1.216462883903304
0.18,legacy_start,cross_xy,2,2,1.221489270238515
0.18,legacy_start,cross_xy,2,3,1.2149754689453571
0.18,legacy_start,cross_xy,2,4,0.9299726398510364
0.18,legacy_start,cross_xy,3,0,0.9391651847987278
0.18,legacy_start,cross_xy,3,1,1.2100168089835068
0.18,legacy_start,cross_xy,3,2,1.2149754689453574
0.18,legacy_start,cross_xy,3,3,1.2085492846257126
0.18,legacy_start,cross_xy,3,4,0.9245856609639137
0.18,legacy_start,cross_xy,4,0,0.716618896692872
0.18,legacy_start,cross_xy,4,1,0.925800298108555
0.18,legacy_start,cross_xy,4,2,0.9299726398510364
0.18,legacy_start,cross_xy,4,3,0.9245856609639133
0.18,legacy_start,cross_xy,4,4,0.7054059596002543
0.18,balanced,same_xx,0,0,0.7164363450801042
0.18,balanced,same_xx,0,1,0.937284231354139
0.18,balanced,same_xx,0,2,0.9422023194138682
0.18,balanced,same_xx,0,3,0.937284231354139
0.18,balanced,same_xx,0,4,0.7164363450801043
0.18,balanced,same_xx,1,0,0.9275759554140605
0.18,balanced,same_xx,1,1,1.2097634666428503
0.18,balanced,same_xx,1,2,1.2153935983343105
0.18,balanced,same_xx,1,3,1.2097634666428498
0.18,balanced,same_xx,1,4,0.9275759554140608
0.18,balanced,same_xx,2,0,0.9331283215460472
0.18,balanced,same_xx,2,1,1.2162245759952348
0.18,balanced,same_xx,2,2,1.2218623754564581
0.18,balanced,same_xx,2,3,1.2162245759952348
0.18,balanced,same_xx,2,4,0.9331283215460473
0.18,balanced,same_xx,3,0,0.9275759554140605
0.18,balanced,same_xx,3,1,1.20976346664285
0.18,balanced,same_xx,3,2,1.2153935983343107
0.18,balanced,same_xx,3,3,1.20976346664285
0.18,balanced,same_xx,3,4,0.9275759554140606
0.18,balanced,same_xx,4,0,0.7164363450801042
0.18,balanced,same_xx,4,1,0.937284231354139
0.18,balanced,same_xx,4,2,0.9422023194138684
0.18,balanced,same_xx,4,3,0.937284231354139
0.18,balanced,same_xx,4,4,0.7164363450801045
0.18,balanced,cross_xy,0,0,0.7164363450801042
0.18,balanced,cross_xy,0,1,0.9324300933840999
0.18,balanced,cross_xy,0,2,0.937665320479958
0.18,balanced,cross_xy,0,3,0.9324300933840999
0.18,balanced,cross_xy,0,4,0.7164363450801045
0.18,balanced,cross_xy,1,0,0.9324300933840997
0.18,balanced,cross_xy,1,1,1.2097634666428503
0.18,balanced,cross_xy,1,2,1.2158090871647729
0.18,balanced,cross_xy,1,3,1.2097634666428503
0.18,balanced,cross_xy,1,4,0.9324300933841001
0.18,balanced,cross_xy,2,0,0.9376653204799578
0.18,balanced,cross_xy,2,1,1.2158090871647729
0.18,balanced,cross_xy,2,2,1.2218623754564584
0.18,balanced,cross_xy,2,3,1.2158090871647727
0.18,balanced,cross_xy,2,4,0.937665320479958
0.18,balanced,cross_xy,3,0,0.9324300933840998
0.18,balanced,cross_xy,3,1,1.2097634666428503
0.18,balanced,cross_xy,3,2,1.2158090871647729
0.18,balanced,cross_xy,3,3,1.2097634666428503
0.18,balanced,cross_xy,3,4,0.9324300933840999
0.18,balanced,cross_xy,4,0,0.7164363450801043
0.18,balanced,cross_xy,4,1,0.9324300933841002
0.18,balanced,cross_xy,4,2,0.9376653204799581
0.18,balanced,cross_xy,4,3,0.9324300933841001
0.18,balanced,cross_xy,4,4,0.7164363450801045
0.18,balanced_extend5,same_xx,0,0,0.7474086350487346
0.18,balanced_extend5,same_xx,0,1,0.9788866666787986
0.18,balanced_extend5,same_xx,0,2,0.9834123777315591
0.18,balanced_extend5,same_xx,0,3,0.9788866666787988
0.18,balanced_extend5,same_xx,0,4,0.7474086350487349
0.18,balanced_extend5,same_xx,1,0,0.9078513156116061
0.18,balanced_extend5,same_xx,1,1,1.1841961994734826
0.18,balanced_extend5,same_xx,1,2,1.1888571064515023
0.18,balanced_extend5,same_xx,1,3,1.1841961994734826
0.18,balanced_extend5,same_xx,1,4,0.9078513156116064
0.18,balanced_extend5,same_xx,2,0,0.9096737822286036
0.18,balanced_extend5,same_xx,2,1,1.1857891647242775
0.18,balanced_extend5,same_xx,2,2,1.1911638704776226
0.18,balanced_extend5,same_xx,2,3,1.1857891647242778
0.18,balanced_extend5,same_xx,2,4,0.9096737822286038
0.18,balanced_extend5,same_xx,3,0,0.9078513156116059
0.18,balanced_extend5,same_xx,3,1,1.1841961994734826
0.18,balanced_extend5,same_xx,3,2,1.1888571064515023
0.18,balanced_extend5,same_xx,3,3,1.1841961994734824
0.18,balanced_extend5,same_xx,3,4,0.9078513156116064
0.18,balanced_extend5,same_xx,4,0,0.7474086350487349
0.18,balanced_extend5,same_xx,4,1,0.9788866666787988
0.18,balanced_extend5,same_xx,4,2,0.9834123777315591
0.18,balanced_extend5,same_xx,4,3,0.9788866666787988
0.18,balanced_extend5,same_xx,4,4,0.7474086350487349
0.18,balanced_extend5,cross_xy,0,0,0.7474086350487346
0.18,balanced_extend5,cross_xy,0,1,0.9433689911452023
0.18,balanced_extend5,cross_xy,0,2,0.9465430799800814
0.18,balanced_extend5,cross_xy,0,3,0.9433689911452023
0.18,balanced_extend5,cross_xy,0,4,0.7474086350487349
0.18,balanced_extend5,cross_xy,1,0,0.9433689911452023
0.18,balanced_extend5,cross_xy,1,1,1.1841961994734824
0.18,balanced_extend5,cross_xy,1,2,1.18732313558789
0.18,balanced_extend5,cross_xy,1,3,1.1841961994734824
0.18,balanced_extend5,cross_xy,1,4,0.9433689911452027
0.18,balanced_extend5,cross_xy,2,0,0.9465430799800814
0.18,balanced_extend5,cross_xy,2,1,1.18732313558789
0.18,balanced_extend5,cross_xy,2,2,1.1911638704776226
0.18,balanced_extend5,cross_xy,2,3,1.1873231355878897
0.18,balanced_extend5,cross_xy,2,4,0.9465430799800817
0.18,balanced_extend5,cross_xy,3,0,0.9433689911452023
0.18,balanced_extend5,cross_xy,3,1,1.1841961994734824
0.18,balanced_extend5,cross_xy,3,2,1.18732313558789
0.18,balanced_extend5,cross_xy,3,3,1.1841961994734824
0.18,balanced_extend5,cross_xy,3,4,0.9433689911452027
0.18,balanced_extend5,cross_xy,4,0,0.7474086350487349
0.18,balanced_extend5,cross_xy,4,1,0.9433689911452027
0.18,balanced_extend5,cross_xy,4,2,0.9465430799800817
0.18,balanced_extend5,cross_xy,4,3,0.9433689911452027
0.18,balanced_extend5,cross_xy,4,4,0.747408635048735
0.25,legacy_start,same_xx,0,0,0.7418593144453536
0.25,legacy_start,same_xx,0,1,0.9530814676659055
0.25,legacy_start,same_xx,0,2,0.9593236575909284
0.25,legacy_start,same_xx,0,3,0.9413396093935248
0.25,legacy_start,same_xx,0,4,0.6540326756413005
0.25,legacy_start,same_xx,1,0,0.9609232877857308
0.25,legacy_start,same_xx,1,1,1.229959277351432
0.25,legacy_start,same_xx,1,2,1.2371949752582405
0.25,legacy_start,same_xx,1,3,1.216086554175906
0.25,legacy_start,same_xx,1,4,0.8458970014125785
0.25,legacy_start,same_xx,2,0,0.9666632345093917
0.25,legacy_start,same_xx,2,1,1.236562573402244
0.25,legacy_start,same_xx,2,2,1.243768074936587
0.25,legacy_start,same_xx,2,3,1.2226398497579385
0.25,legacy_start,same_xx,2,4,0.850970625952036
0.25,legacy_start,same_xx,3,0,0.9609232877857307
0.25,legacy_start,same_xx,3,1,1.229959277351432
0.25,legacy_start,same_xx,3,2,1.2371949752582405
0.25,legacy_start,same_xx,3,3,1.2160865541759063
0.25,legacy_start,same_xx,3,4,0.8458970014125785
0.25,legacy_start,same_xx,4,0,0.7418593144453536
0.25,legacy_start,same_xx,4,1,0.9530814676659056
0.25,legacy_start,same_xx,4,2,0.9593236575909287
0.25,legacy_start,same_xx,4,3,0.941339609393525
0.25,legacy_start,same_xx,4,4,0.6540326756413005
0.25,legacy_start,cross_xy,0,0,0.7418593144453536
0.25,legacy_start,cross_xy,0,1,0.957002377725818
0.25,legacy_start,cross_xy,0,2,0.9629934460501599
0.25,legacy_start,cross_xy,0,3,0.9511314485896277
0.25,legacy_start,cross_xy,0,4,0.697945995043327
0.25,legacy_start,cross_xy,1,0,0.9570023777258183
0.25,legacy_start,cross_xy,1,1,1.229959277351432
0.25,legacy_start,cross_xy,1,2,1.2368787743302425
0.25,legacy_start,cross_xy,1,3,1.2230229157636692
0.25,legacy_start,cross_xy,1,4,0.8994892345392419
0.25,legacy_start,cross_xy,2,0,0.9629934460501601
0.25,legacy_start,cross_xy,2,1,1.236878774330242
0.25,legacy_start,cross_xy,2,2,1.243768074936587
0.25,legacy_start,cross_xy,2,3,1.2299174125080894
0.25,legacy_start,cross_xy,2,4,0.9051471417714823
0.25,legacy_start,cross_xy,3,0,0.9511314485896278
0.25,legacy_start,cross_xy,3,1,1.2230229157636692
0.25,legacy_start,cross_xy,3,2,1.2299174125080896
0.25,legacy_start,cross_xy,3,3,1.2160865541759063
0.25,legacy_start,cross_xy,3,4,0.8936183054030516
0.25,legacy_start,cross_xy,4,0,0.6979459950433272
0.25,legacy_start,cross_xy,4,1,0.8994892345392419
0.25,legacy_start,cross_xy,4,2,0.9051471417714823
0.25,legacy_start,cross_xy,4,3,0.8936183054030516
0.25,legacy_start,cross_xy,4,4,0.6540326756413005
0.25,balanced,same_xx,0,0,0.6992916024356797
0.25,balanced,same_xx,0,1,0.9459414175911877
0.25,balanced,same_xx,0,2,0.9588248107829297
0.25,balanced,same_xx,0,3,0.9460535745440843
0.25,balanced,same_xx,0,4,0.6992916024356798
0.25,balanced,same_xx,1,0,0.9052390303473976
0.25,balanced,same_xx,1,1,1.221639091869703
0.25,balanced,same_xx,1,2,1.2363044752114414
0.25,balanced,same_xx,1,3,1.2217512488225997
0.25,balanced,same_xx,1,4,0.9052390303473977
0.25,balanced,same_xx,2,0,0.9106684507743519
0.25,balanced,same_xx,2,1,1.2281986799942741
0.25,balanced,same_xx,2,2,1.2428447929995914
0.25,balanced,same_xx,2,3,1.2283108369471705
0.25,balanced,same_xx,2,4,0.910668450774352
0.25,balanced,same_xx,3,0,0.9052390303473976
0.25,balanced,same_xx,3,1,1.2216559154126376
0.25,balanced,same_xx,3,2,1.2363044752114414
0.25,balanced,same_xx,3,3,1.2217680723655342
0.25,balanced,same_xx,3,4,0.9052390303473977
0.25,balanced,same_xx,4,0,0.6992916024356797
0.25,balanced,same_xx,4,1,0.946003103915281
0.25,balanced,same_xx,4,2,0.9588248107829298
0.25,balanced,same_xx,4,3,0.9461152608681774
0.25,balanced,same_xx,4,4,0.6992916024356797
0.25,balanced,cross_xy,0,0,0.6992916024356797
0.25,balanced,cross_xy,0,1,0.9255902239692928
0.25,balanced,cross_xy,0,2,0.934746630778641
0.25,balanced,cross_xy,0,3,0.9256463024457412
0.25,balanced,cross_xy,0,4,0.6992916024356798
0.25,balanced,cross_xy,1,0,0.9255902239692928
0.25,balanced,cross_xy,1,1,1.2216390918697033
0.25,balanced,cross_xy,1,2,1.2322515776028578
0.25,balanced,cross_xy,1,3,1.2217035821176188
0.25,balanced,cross_xy,1,4,0.9256210671313394
0.25,balanced,cross_xy,2,0,0.9347466307786408
0.25,balanced,cross_xy,2,1,1.2322515776028578
0.25,balanced,cross_xy,2,2,1.2428447929995916
0.25,balanced,cross_xy,2,3,1.232307656079306
0.25,balanced,cross_xy,2,4,0.9347466307786408
0.25,balanced,cross_xy,3,0,0.9256463024457412
0.25,balanced,cross_xy,3,1,1.2217035821176188
0.25,balanced,cross_xy,3,2,1.2323076560793063
0.25,balanced,cross_xy,3,3,1.2217680723655342
0.25,balanced,cross_xy,3,4,0.9256771456077877
0.25,balanced,cross_xy,4,0,0.6992916024356797
0.25,balanced,cross_xy,4,1,0.9256210671313396
0.25,balanced,cross_xy,4,2,0.9347466307786411
0.25,balanced,cross_xy,4,3,0.9256771456077878
0.25,balanced,cross_xy,4,4,0.6992916024356798
0.25,balanced_extend5,same_xx,0,0,0.7298164255672509
0.25,balanced_extend5,same_xx,0,1,0.9873955757145799
0.25,balanced_extend5,same_xx,0,2,1.0007857435769745
0.25,balanced_extend5,same_xx,0,3,0.98739557571458
0.25,balanced_extend5,same_xx,0,4,0.729816425567251
0.25,balanced_extend5,same_xx,1,0,0.8862652791002154
0.25,balanced_extend5,same_xx,1,1,1.1952789794796885
0.25,balanced_extend5,same_xx,1,2,1.2101108307303587
0.25,balanced_extend5,same_xx,1,3,1.1952789794796885
0.25,balanced_extend5,same_xx,1,4,0.8862652791002157
0.25,balanced_extend5,same_xx,2,0,0.8879610050363823
0.25,balanced_extend5,same_xx,2,1,1.1974329014145857
0.25,balanced_extend5,same_xx,2,2,1.2123939990364616
0.25,balanced_extend5,same_xx,2,3,1.1974329014145857
0.25,balanced_extend5,same_xx,2,4,0.8879610050363823
0.25,balanced_extend5,same_xx,3,0,0.8862652791002154
0.25,balanced_extend5,same_xx,3,1,1.1952789794796883
0.25,balanced_extend5,same_xx,3,2,1.2101108307303587
0.25,balanced_extend5,same_xx,3,3,1.1952789794796883
0.25,balanced_extend5,same_xx,3,4,0.8862652791002157
0.25,balanced_extend5,same_xx,4,0,0.7298164255672509
0.25,balanced_extend5,same_xx,4,1,0.9873955757145803
0.25,balanced_extend5,same_xx,4,2,1.0007857435769745
0.25,balanced_extend5,same_xx,4,3,0.9873955757145803
0.25,balanced_extend5,same_xx,4,4,0.7298164255672512
0.25,balanced_extend5,cross_xy,0,0,0.7298164255672507
0.25,balanced_extend5,cross_xy,0,1,0.9368304274073975
0.25,balanced_extend5,cross_xy,0,2,0.9443733743066781
0.25,balanced_extend5,cross_xy,0,3,0.9368304274073975
0.25,balanced_extend5,cross_xy,0,4,0.7298164255672508
0.25,balanced_extend5,cross_xy,1,0,0.9368304274073972
0.25,balanced_extend5,cross_xy,1,1,1.1952789794796879
0.25,balanced_extend5,cross_xy,1,2,1.2037718660724719
0.25,balanced_extend5,cross_xy,1,3,1.1952789794796879
0.25,balanced_extend5,cross_xy,1,4,0.9368304274073975
0.25,balanced_extend5,cross_xy,2,0,0.944373374306678
0.25,balanced_extend5,cross_xy,2,1,1.203771866072472
0.25,balanced_extend5,cross_xy,2,2,1.2123939990364614
0.25,balanced_extend5,cross_xy,2,3,1.2037718660724719
0.25,balanced_extend5,cross_xy,2,4,0.9443733743066782
0.25,balanced_extend5,cross_xy,3,0,0.9368304274073975
0.25,balanced_extend5,cross_xy,3,1,1.1952789794796879
0.25,balanced_extend5,cross_xy,3,2,1.2037718660724719
0.25,balanced_extend5,cross_xy,3,3,1.195278979479688
0.25,balanced_extend5,cross_xy,3,4,0.9368304274073975
0.25,balanced_extend5,cross_xy,4,0,0.7298164255672508
0.25,balanced_extend5,cross_xy,4,1,0.9368304274073975
0.25,balanced_extend5,cross_xy,4,2,0.9443733743066781
0.25,balanced_extend5,cross_xy,4,3,0.9368304274073975
0.25,balanced_extend5,cross_xy,4,4,0.7298164255672509
0.32,legacy_start,same_xx,0,0,0.711257557349741
0.32,legacy_start,same_xx,0,1,0.9070833164754566
0.32,legacy_start,same_xx,0,2,0.9083156261836624
0.32,legacy_start,same_xx,0,3,0.9096125676142656
0.32,legacy_start,same_xx,0,4,0.81384611705128
0.32,legacy_start,same_xx,1,0,0.9204773517753679
0.32,legacy_start,same_xx,1,1,1.1703007055893286
0.32,legacy_start,same_xx,1,2,1.171637071209833
0.32,legacy_start,same_xx,1,3,1.1738115401917522
0.32,legacy_start,same_xx,1,4,1.0536591104182864
0.32,legacy_start,same_xx,2,0,0.9261214669960768
0.32,legacy_start,same_xx,2,1,1.1764986550808993
