env,surface_profile,profile_seed,profile_base_micro_ra_um,profile_base_micro_rz_um,profile_individual_scratch_initial_max_um,profile_individual_scratch_affected_fraction,profile_mar_density_mean,profile_mar_density_max,profile_mar_severity_initial_mean,profile_mar_severity_remaining_mean,profile_mar_severity_remaining_max,profile_q_mar_mean,profile_q_mar_min,profile_gu_mean,profile_gu_p10,profile_gu_min,profile_gu_std,profile_gloss_pass,profile_mar_model_id,profile_mar_evidence_tag,roi_total_ra_um,roi_total_rz_um,roi_fine_ra_um,roi_fine_rz_um,roi_ra_low_frequency_contribution_um,roi_rz_low_frequency_contribution_um,roi_removal_mean_um,roi_removal_std_um,roi_removal_cv,roi_removal_max_min_um,roi_removal_p95_p05_um,roi_removal_waviness_ra_um,roi_removal_waviness_rz_um,roi_removal_waviness_std_um,roi_removal_fine_std_um,roi_center_removal_mean_um,roi_edge_removal_mean_um,roi_center_edge_delta_um,roi_center_edge_ratio,roi_under_fraction,roi_over_fraction,roi_coverage_fraction,roi_scratch_mean_um,roi_scratch_max_um,roi_clearcoat_min_um,waviness_sigma_m,under_over_fraction
0,legacy_stress,1000,0.078732016219639,0.589605761282,1.8492534238566154,0.0674,0.0,0.0,0.0,0.0,0.0,1.0,1.0,58.28461165793191,37.917033527643646,25.42828504259141,17.742715184081103,False,pt_design_subgrid_mar_optics_v1,PT-DESIGN_NO_MEASURED_MAR_GU_CALIBRATION,0.10813603180750939,2.0508664047454666,0.09438404422925838,1.8314321183253073,0.01375198757825101,0.21943428642015927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023655308685985664,1.849941082767495,42.16163845267534,0.01,0.2
1,legacy_stress,1097,0.08084969997066543,0.5832182672709598,1.477084131542438,0.0769,0.0,0.0,0.0,0.0,0.0,1.0,1.0,55.92336763523975,25.490707336158337,25.382158748204816,20.58008569034891,False,pt_design_subgrid_mar_optics_v1,PT-DESIGN_NO_MEASURED_MAR_GU_CALIBRATION,0.11333906699913464,1.5750203651988153,0.0950341496062471,1.4423538765966388,0.018304917392887532,0.13266648860217645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02655012729367793,1.3283395484774752,41.474676211578505,0.01,0.2
2,legacy_stress,1194,0.07901837386965416,0.5748297464386452,1.8208521894974778,0.1075,0.0,0.0,0.0,0.0,0.0,1.0,1.0,50.46282375535518,29.36466736556283,25.53,18.554184229462045,False,pt_design_subgrid_mar_optics_v1,PT-DESIGN_NO_MEASURED_MAR_GU_CALIBRATION,0.12516990560762314,2.1567653229994983,0.11125930634579523,2.076541297679248,0.013910599261827916,0.08022402532025019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04119832836701546,1.7563849683351185,41.80636685313223,0.01,0.2
3,legacy_stress,1291,0.07921914760579742,0.6590786065265826,1.9884407848807768,0.1145,0.0,0.0,0.0,0.0,0.0,1.0,1.0,47.69422922885545,34.61272759518979,25.53,15.294216265698118,False,pt_design_subgrid_mar_optics_v1,PT-DESIGN_NO_MEASURED_MAR_GU_CALIBRATION,0.13506084814416208,2.3916195813637002,0.11966258083948501,2.191789361618371,0.015398267304677069,0.19983021974532944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04509300604391071,1.9169658807309362,42.655658246487704,0.01,0.2
4,legacy_stress,1388,0.07841979379846038,0.5924962743862388,1.9742610134560716,0.1045,0.0,0.0,0.0,0.0,0.0,1.0,1.0,52.64878331150447,34.973951035250934,25.53,19.506674627442298,False,pt_design_subgrid_mar_optics_v1,PT-DESIGN_NO_MEASURED_MAR_GU_CALIBRATION,0.15276233294657254,2.2435489577152308,0.13166448462321714,2.1422827098387853,0.0210978483233554,0.10126624787644545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05588708579863312,1.9007526456772736,42.135599075649246,0.01,0.2
5,legacy_stress,1485,0.07793412397311654,0.5715276068476088,1.6786118376419086,0.0778,0.0,0.0,0.0,0.0,0.0,1.0,1.0,56.75481569152215,38.477599355858715,25.295933242434245,18.793658733980987,False,pt_design_subgrid_mar_optics_v1,PT-DESIGN_NO_MEASURED_MAR_GU_CALIBRATION,0.11287676703609363,2.062626498454159,0.09921020198831153,1.8796746956423256,0.013666565047782103,0.18295180281183354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03009682581375865,1.6838976135841581,41.98504304271453,0.01,0.2
6,legacy_stress,1582,0.07842067148946834,0.6009082488496709,1.7360117325164237,0.1201,0.0,0.0,0.0,0.0,0.0,1.0,1.0,51.70767486541244,35.64841273705914,25.32677935791689,18.804637717921594,False,pt_design_subgrid_mar_optics_v1,PT-DESIGN_NO_MEASURED_MAR_GU_CALIBRATION,0.1379402765073319,2.1482224135561396,0.12344737236522733,2.0184873154065412,0.014492904142104565,0.12973509814959838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.048228663979121796,1.6704934420501192,42.13626612893066,0.01,0.2
7,legacy_stress,1679,0.07693776844876599,0.5710123249794614,1.8614613861797145,0.0719,0.0,0.0,0.0,0.0,0.0,1.0,1.0,59.61144275505625,40.97736544173816,35.068524659718314,15.901447309170582,False,pt_design_subgrid_mar_optics_v1,PT-DESIGN_NO_MEASURED_MAR_GU_CALIBRATION,0.10929526437761693,2.0594907453257867,0.09640903952585683,1.9606969549362825,0.012886224851760095,0.0987937903895042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027390831179820448,1.6768125999702888,42.573275627643596,0.01,0.2
8,legacy_stress,1776,0.07352492451284015,0.6357041045359084,0.943254256962161,0.0381,0.0,0.0,0.0,0.0,0.0,1.0,1.0,63.12338168508063,42.42113931455007,25.50587633481905,17.963475414303957,False,pt_design_subgrid_mar_optics_v1,PT-DESIGN_NO_MEASURED_MAR_GU_CALIBRATION,0.08322951040701682,1.2790860034804612,0.06898226826298309,1.1193210005678027,0.014247242144033723,0.1597650029126585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008761948551834013,0.9012224210802959,43.69842451489675,0.01,0.2
9,legacy_stress,1873,0.07572529018843732,0.572544875018824,1.993419793129308,0.1294,0.0,0.0,0.0,0.0,0.0,1.0,1.0,51.53010495311095,34.96743700329959,32.974105907270385,18.08353792883416,False,pt_design_subgrid_mar_optics_v1,PT-DESIGN_NO_MEASURED_MAR_GU_CALIBRATION,0.15584443650437904,2.275423376690081,0.1394822674533024,2.1126354807313557,0.016362169051076653,0.16278789595872523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05861754542381289,1.85854401322133,43.760197651129594,0.01,0.2
