surface_profile,direction_mode,step_over_ratio,edge_mode,checkpoint,env,profile_seed,outcome,passes,gu_before,gu_final,ra_before_um,ra_final_um,rz_before_um,rz_final_um,scratch_before_um,scratch_final_um,clearcoat_min_um,quality_ok,safety_ok
legacy_stress,same_xx,0.4,balanced_extend5,model_bc_robot_tesla12p7.pt,13,2261,fail_max_passes,1,58.2159825344027,65.75918857315294,0.08982240664743242,0.12473596948822446,1.5039575350309717,1.6075963111908425,1.1882966922105311,0.9596174054183364,41.557184665342625,False,True
legacy_stress,same_xx,0.4,balanced_extend5,model_bc_robot_tesla12p7.pt,8,1776,fail_max_passes,1,63.12338168508063,69.31702616867568,0.08322951040701682,0.1341782204469503,1.2790860034804612,1.3275467405270844,0.9012224210802959,0.7395103120222385,43.56797959311948,False,True
legacy_stress,same_xx,0.4,balanced_extend5,model_bc_robot_tesla12p7.pt,7,1679,fail_max_passes,1,59.61144275505625,64.98526086948058,0.10929526437761693,0.1281111072096844,2.0594907453257867,2.183093683581888,1.6768125999702888,1.478630295500675,42.561409095926734,False,True
legacy_stress,same_xx,0.4,balanced_extend5,model_bc_robot_tesla12p7.pt,5,1485,fail_max_passes,1,56.75481569152215,63.7701913894391,0.11287676703609363,0.14861361563106093,2.062626498454159,2.2117758632618036,1.6838976135841581,1.4834714956046344,41.35350066436333,False,True
legacy_stress,same_xx,0.4,balanced_extend5,model_bc_robot_tesla12p7.pt,10,1970,fail_max_passes,1,53.55684097665938,64.96424286287852,0.1086870682298325,0.11878337007092585,1.8160763406625384,1.6919804909973593,1.423357726177768,1.1558236490094438,40.18762575796027,False,True
legacy_stress,same_xx,0.4,balanced_extend5,model_bc_robot_tesla12p7.pt,0,1000,fail_max_passes,1,58.28461165793191,65.80816517848878,0.10813603180750939,0.162323267841968,2.0508664047454666,2.1117093666311026,1.849941082767495,1.6184923266448559,41.8205504891728,False,True
legacy_stress,same_xx,0.4,balanced_extend5,model_bc_robot_tesla12p7.pt,1,1097,fail_max_passes,1,55.92336763523975,65.28565320719608,0.11333906699913464,0.10777334447470284,1.5750203651988153,1.4582339333693857,1.3283395484774752,1.090776988703837,41.021852377349134,False,True
legacy_stress,same_xx,0.4,balanced_extend5,model_bc_robot_tesla12p7.pt,14,2358,fail_max_passes,1,52.11773424485386,62.76572264185704,0.12459953342775845,0.15819272703530127,2.06870755622027,2.0437933179724292,1.8020622711266339,1.4922210168197831,40.91251638252567,False,True
legacy_stress,same_xx,0.4,balanced_extend5,model_bc_robot_tesla12p7.pt,11,2067,fail_max_passes,1,50.82638672002188,59.164560797105004,0.14017262057608879,0.13879247870367722,2.136037774799931,2.1301876542187075,1.700985373449091,1.5435657893218462,42.050815909061626,False,True
legacy_stress,same_xx,0.4,balanced_extend5,model_bc_robot_tesla12p7.pt,2,1194,fail_max_passes,1,50.46282375535518,60.89034837550935,0.12516990560762314,0.1511047191630708,2.1567653229994983,2.1668447373292246,1.7563849683351185,1.5238537614938108,41.799628682096504,False,True
legacy_stress,same_xx,0.4,balanced_extend5,model_bc_robot_tesla12p7.pt,3,1291,fail_max_passes,1,47.69422922885545,57.2425931727506,0.13506084814416208,0.16294665794415022,2.3916195813637002,2.4192445095290176,1.9169658807309362,1.6490562663342785,42.60343350936544,False,True
legacy_stress,same_xx,0.4,balanced_extend5,model_bc_robot_tesla12p7.pt,4,1388,fail_max_passes,1,52.64878331150447,59.132674772337516,0.15276233294657254,0.15502622070525576,2.2435489577152308,2.1369877010270018,1.9007526456772736,1.6540107223878016,41.71374848254218,False,True
legacy_stress,same_xx,0.4,balanced_extend5,model_bc_robot_tesla12p7.pt,12,2164,fail_max_passes,1,53.87119747663386,63.07154362091027,0.1261168324486597,0.14370614880237487,2.2286793394782367,2.32986294635282,1.7263188640898213,1.5228055233133215,41.05939693482063,False,True
legacy_stress,same_xx,0.4,balanced_extend5,model_bc_robot_tesla12p7.pt,9,1873,fail_max_passes,1,51.53010495311095,59.01819793443968,0.15584443650437904,0.16506092943041326,2.275423376690081,2.219345528469332,1.85854401322133,1.5751876316898472,43.62315135947238,False,True
legacy_stress,same_xx,0.4,balanced_extend5,model_bc_robot_tesla12p7.pt,6,1582,fail_max_passes,1,51.70767486541244,60.78121888103845,0.1379402765073319,0.17480555986214627,2.1482224135561396,2.1658610445559936,1.6704934420501192,1.454362910764293,41.732683940509126,False,True
legacy_stress,same_xx,0.4,balanced_extend5,model_bc_robot_tesla12p7.pt,15,2455,fail_max_passes,1,44.25001029919983,59.99113414143976,0.13433410307429092,0.14570953800071382,1.8714095627674063,1.7832404397735226,1.4414138299370982,1.2235308023383074,42.03390337212178,False,True
