env,surface_profile,profile_seed,profile_base_micro_ra_um,profile_base_micro_rz_um,profile_individual_scratch_initial_max_um,profile_individual_scratch_affected_fraction,profile_mar_density_mean,profile_mar_density_max,profile_mar_severity_initial_mean,profile_mar_severity_remaining_mean,profile_mar_severity_remaining_max,profile_q_mar_mean,profile_q_mar_min,profile_gu_mean,profile_gu_p10,profile_gu_min,profile_gu_std,profile_gloss_pass,profile_mar_model_id,profile_mar_evidence_tag,roi_total_ra_um,roi_total_rz_um,roi_fine_ra_um,roi_fine_rz_um,roi_ra_low_frequency_contribution_um,roi_rz_low_frequency_contribution_um,roi_removal_mean_um,roi_removal_std_um,roi_removal_cv,roi_removal_max_min_um,roi_removal_p95_p05_um,roi_removal_waviness_ra_um,roi_removal_waviness_rz_um,roi_removal_waviness_std_um,roi_removal_fine_std_um,roi_center_removal_mean_um,roi_edge_removal_mean_um,roi_center_edge_delta_um,roi_center_edge_ratio,roi_under_fraction,roi_over_fraction,roi_coverage_fraction,roi_scratch_mean_um,roi_scratch_max_um,roi_clearcoat_min_um,waviness_sigma_m,under_over_fraction
0,new_car_mild,1000,0.04863188542573101,0.35590952098645867,0.2839645817162228,0.0083,0.05373305672983373,0.0788208663351823,0.05749687963731092,0.05749687963731092,0.08323779159967054,0.9758477679739957,0.9561279252573537,81.1033897011976,55.55938980328283,27.00775759487332,18.21362732194694,False,pt_design_subgrid_mar_optics_v1,PT-DESIGN_NO_MEASURED_MAR_GU_CALIBRATION,0.04993485964142556,0.43502309689307916,0.03920674358113316,0.3658972815725061,0.010728116060292399,0.06912581532057305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013000740309777237,0.28823003786835455,42.585946685238504,0.01,0.2
1,new_car_mild,1097,0.03720197648834371,0.27966683287905053,0.0558322303205047,0.0009,0.04881992431856395,0.07094292440626182,0.08280222550591593,0.08280222550591593,0.12716226650962079,0.968240462081755,0.9400523349887453,86.02583431201006,88.32606326246228,27.008004368891424,12.047349871776676,False,pt_design_subgrid_mar_optics_v1,PT-DESIGN_NO_MEASURED_MAR_GU_CALIBRATION,0.03725486162390018,0.27965671994531693,0.029937148277905872,0.23382185667849947,0.00731771334599431,0.04583486326681746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.211274963043983e-05,0.0646567225414377,43.446346183763175,0.01,0.2
2,new_car_mild,1194,0.049128205699302915,0.39698116487035484,0.19760808675798008,0.0051,0.09325961566879004,0.13826756563546785,0.044774887019739314,0.04477488701973932,0.06323419844409876,0.9673694561456255,0.9464473211986965,84.33634617486696,64.12390752844414,60.9513010469598,9.495843587109391,True,pt_design_subgrid_mar_optics_v1,PT-DESIGN_NO_MEASURED_MAR_GU_CALIBRATION,0.049392246702836665,0.40953277700676993,0.03976175530392242,0.3339386036948056,0.009630491398914247,0.07559417331196433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003784560800042806,0.17537594023888803,40.88714697932381,0.01,0.2
3,new_car_mild,1291,0.055753920892678284,0.44099847691801874,0.0,0.0,0.07644920671866245,0.10891512434833676,0.08897827356186286,0.08897827356186286,0.12392676682715033,0.9463653116927712,0.9050446872955513,88.12260604741283,87.82323878680194,87.6972369305818,0.2443037572024575,True,pt_design_subgrid_mar_optics_v1,PT-DESIGN_NO_MEASURED_MAR_GU_CALIBRATION,0.055753920892678284,0.44099847691801874,0.0444195428784343,0.3769493299226546,0.011334378014243987,0.06404914699536413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.80191877377877,0.01,0.2
4,new_car_mild,1388,0.053590443295707245,0.39496683060641513,0.3530755116082272,0.0057,0.08146136020494675,0.12264456139837314,0.07702696728450317,0.07702696728450317,0.11631702217357877,0.9509513840127707,0.9018360692989731,76.29165560018549,26.994939821878543,26.985667544636662,22.733137827054044,False,pt_design_subgrid_mar_optics_v1,PT-DESIGN_NO_MEASURED_MAR_GU_CALIBRATION,0.053762943463059015,0.4269578774652889,0.04454409787387133,0.3798634945963921,0.009218845589187688,0.04709438286889678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00048277744976933656,0.32740074503894845,44.376281342262715,0.01,0.2
5,new_car_mild,1485,0.043784260922463014,0.3259220114696826,0.11802004674364595,0.0047,0.08502857799371855,0.12260973442250347,0.05167088126590264,0.051670881265902656,0.07296876978118433,0.965471087337004,0.9379877907835356,85.69821027730319,77.3500453570931,58.94167844806072,7.586529901812514,True,pt_design_subgrid_mar_optics_v1,PT-DESIGN_NO_MEASURED_MAR_GU_CALIBRATION,0.043668925885214635,0.32584642593339763,0.03629006278703435,0.2794163237950727,0.007378863098180283,0.046430102138324936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00020023771734205785,0.10843815946373732,41.48643851158405,0.01,0.2
6,new_car_mild,1582,0.05003801530275042,0.4252933804307484,0.06756348686887684,0.0025,0.04568815983411157,0.06975196905163619,0.13104080677624447,0.13104080677624447,0.1918251234501404,0.9528142174491613,0.8997457135978896,82.75548444242376,79.06437690055708,26.985318801836712,16.70996737398398,False,pt_design_subgrid_mar_optics_v1,PT-DESIGN_NO_MEASURED_MAR_GU_CALIBRATION,0.050067972636310874,0.42543494337769494,0.041172189543553124,0.36319950822156566,0.00889578309275775,0.06223543515612928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00010694407850100856,0.11082976862610384,42.82015241180491,0.01,0.2
7,new_car_mild,1679,0.045167608973032285,0.3375741217598247,0.0,0.0,0.07986547981863638,0.11463888153381445,0.1193352952996605,0.1193352952996605,0.18353686675016542,0.9269554724859707,0.8631925056268142,87.79627542596089,87.45137216383088,87.39256589580489,0.2557800911889167,True,pt_design_subgrid_mar_optics_v1,PT-DESIGN_NO_MEASURED_MAR_GU_CALIBRATION,0.045167608973032285,0.3375741217598247,0.03690939285356951,0.284743298833285,0.008258216119462772,0.05283082292653973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.45584235794818,0.01,0.2
8,new_car_mild,1776,0.054210413542670595,0.3912262489207046,0.0,0.0,0.08747347676435213,0.12804950351393873,0.09930126947223798,0.09930126947223798,0.14300741147859589,0.9327239594852105,0.8671168487551247,87.89343708674024,87.5233696828832,87.13998872530412,0.2804394622273594,True,pt_design_subgrid_mar_optics_v1,PT-DESIGN_NO_MEASURED_MAR_GU_CALIBRATION,0.054210413542670595,0.3912262489207046,0.04315519703804159,0.3118931023928946,0.011055216504629005,0.07933314652781004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.299364234813154,0.01,0.2
9,new_car_mild,1873,0.05551274870299213,0.42572576099446213,0.0,0.0,0.09961203527892548,0.14332108549905348,0.046225279897084914,0.04622527989708492,0.061894004786446986,0.9637291365614703,0.9365336726756165,88.41129828188514,88.24773700923339,88.20152564868056,0.11321440846800847,True,pt_design_subgrid_mar_optics_v1,PT-DESIGN_NO_MEASURED_MAR_GU_CALIBRATION,0.05551274870299213,0.42572576099446213,0.044597870575135784,0.3704021059327205,0.010914878127856346,0.05532365506174164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.23030124587549,0.01,0.2
