feature_index,feature_name,feature_group,base14_included,global20_included,spatial120_included,design_status
0,force_mean_norm,established_base14,True,True,True,ESTABLISHED_UNCHANGED
1,force_error_norm,established_base14,True,True,True,ESTABLISHED_UNCHANGED
2,force_delta_norm,established_base14,True,True,True,ESTABLISHED_UNCHANGED
3,feed_cmd_norm,established_base14,True,True,True,ESTABLISHED_UNCHANGED
4,path_progress,established_base14,True,True,True,ESTABLISHED_UNCHANGED
5,local_scratch_mean_norm,established_base14,True,True,True,ESTABLISHED_UNCHANGED
6,local_scratch_max_norm,established_base14,True,True,True,ESTABLISHED_UNCHANGED
7,local_removal_norm,established_base14,True,True,True,ESTABLISHED_UNCHANGED
8,local_clearcoat_margin_norm,established_base14,True,True,True,ESTABLISHED_UNCHANGED
9,previous_force_action,established_base14,True,True,True,ESTABLISHED_UNCHANGED
10,previous_feed_action,established_base14,True,True,True,ESTABLISHED_UNCHANGED
11,local_temperature_mean_norm,established_base14,True,True,True,ESTABLISHED_UNCHANGED
12,local_temperature_peak_norm,established_base14,True,True,True,ESTABLISHED_UNCHANGED
13,local_thermal_damage_norm,established_base14,True,True,True,ESTABLISHED_UNCHANGED
14,inspection_pass_norm,inspection_global,False,True,True,PT-DESIGN_NORMALIZATION
15,gu_shortfall_norm,inspection_global,False,True,True,PT-DESIGN_NORMALIZATION
16,ra_excess_norm,inspection_global,False,True,True,PT-DESIGN_NORMALIZATION
17,rz_excess_norm,inspection_global,False,True,True,PT-DESIGN_NORMALIZATION
18,clearcoat_margin_norm,inspection_global,False,True,True,PT-DESIGN_NORMALIZATION
19,center_edge_removal_delta_norm,inspection_global,False,True,True,PT-DESIGN_NORMALIZATION
20,tile_scratch_max_um_x0_y0_norm,inspection_tile_5x5,False,False,True,PT-DESIGN_NORMALIZATION
21,tile_scratch_max_um_x0_y1_norm,inspection_tile_5x5,False,False,True,PT-DESIGN_NORMALIZATION
22,tile_scratch_max_um_x0_y2_norm,inspection_tile_5x5,False,False,True,PT-DESIGN_NORMALIZATION
23,tile_scratch_max_um_x0_y3_norm,inspection_tile_5x5,False,False,True,PT-DESIGN_NORMALIZATION
24,tile_scratch_max_um_x0_y4_norm,inspection_tile_5x5,False,False,True,PT-DESIGN_NORMALIZATION
25,tile_scratch_max_um_x1_y0_norm,inspection_tile_5x5,False,False,True,PT-DESIGN_NORMALIZATION
26,tile_scratch_max_um_x1_y1_norm,inspection_tile_5x5,False,False,True,PT-DESIGN_NORMALIZATION
27,tile_scratch_max_um_x1_y2_norm,inspection_tile_5x5,False,False,True,PT-DESIGN_NORMALIZATION
28,tile_scratch_max_um_x1_y3_norm,inspection_tile_5x5,False,False,True,PT-DESIGN_NORMALIZATION
29,tile_scratch_max_um_x1_y4_norm,inspection_tile_5x5,False,False,True,PT-DESIGN_NORMALIZATION
30,tile_scratch_max_um_x2_y0_norm,inspection_tile_5x5,False,False,True,PT-DESIGN_NORMALIZATION
31,tile_scratch_max_um_x2_y1_norm,inspection_tile_5x5,False,False,True,PT-DESIGN_NORMALIZATION
32,tile_scratch_max_um_x2_y2_norm,inspection_tile_5x5,False,False,True,PT-DESIGN_NORMALIZATION
33,tile_scratch_max_um_x2_y3_norm,inspection_tile_5x5,False,False,True,PT-DESIGN_NORMALIZATION
34,tile_scratch_max_um_x2_y4_norm,inspection_tile_5x5,False,False,True,PT-DESIGN_NORMALIZATION
35,tile_scratch_max_um_x3_y0_norm,inspection_tile_5x5,False,False,True,PT-DESIGN_NORMALIZATION
36,tile_scratch_max_um_x3_y1_norm,inspection_tile_5x5,False,False,True,PT-DESIGN_NORMALIZATION
37,tile_scratch_max_um_x3_y2_norm,inspection_tile_5x5,False,False,True,PT-DESIGN_NORMALIZATION
38,tile_scratch_max_um_x3_y3_norm,inspection_tile_5x5,False,False,True,PT-DESIGN_NORMALIZATION
39,tile_scratch_max_um_x3_y4_norm,inspection_tile_5x5,False,False,True,PT-DESIGN_NORMALIZATION
40,tile_scratch_max_um_x4_y0_norm,inspection_tile_5x5,False,False,True,PT-DESIGN_NORMALIZATION
41,tile_scratch_max_um_x4_y1_norm,inspection_tile_5x5,False,False,True,PT-DESIGN_NORMALIZATION
42,tile_scratch_max_um_x4_y2_norm,inspection_tile_5x5,False,False,True,PT-DESIGN_NORMALIZATION
43,tile_scratch_max_um_x4_y3_norm,inspection_tile_5x5,False,False,True,PT-DESIGN_NORMALIZATION
44,tile_scratch_max_um_x4_y4_norm,inspection_tile_5x5,False,False,True,PT-DESIGN_NORMALIZATION
45,tile_removal_mean_um_x0_y0_norm,inspection_tile_5x5,False,False,True,PT-DESIGN_NORMALIZATION
46,tile_removal_mean_um_x0_y1_norm,inspection_tile_5x5,False,False,True,PT-DESIGN_NORMALIZATION
47,tile_removal_mean_um_x0_y2_norm,inspection_tile_5x5,False,False,True,PT-DESIGN_NORMALIZATION
48,tile_removal_mean_um_x0_y3_norm,inspection_tile_5x5,False,False,True,PT-DESIGN_NORMALIZATION
49,tile_removal_mean_um_x0_y4_norm,inspection_tile_5x5,False,False,True,PT-DESIGN_NORMALIZATION
50,tile_removal_mean_um_x1_y0_norm,inspection_tile_5x5,False,False,True,PT-DESIGN_NORMALIZATION
51,tile_removal_mean_um_x1_y1_norm,inspection_tile_5x5,False,False,True,PT-DESIGN_NORMALIZATION
