direction_mode,surface_profile,profile_seed,baseline_outcome,spatial_outcome,baseline_safety_ok,spatial_safety_ok,delta_gu_spatial_minus_baseline,delta_ra_um_spatial_minus_baseline,delta_rz_um_spatial_minus_baseline,delta_scratch_um_spatial_minus_baseline,delta_clearcoat_um_spatial_minus_baseline
cross_xy,factory_prepolish,42,success,success,True,True,0.0,0.0,0.0,0.0,0.0
cross_xy,factory_prepolish,139,success,success,True,True,0.0,0.0,0.0,0.0,0.0
cross_xy,factory_prepolish,236,success,success,True,True,0.0,0.0,0.0,0.0,0.0
cross_xy,factory_prepolish,333,success,success,True,True,0.0,0.0,0.0,0.0,0.0
cross_xy,factory_prepolish_deep_defect,42,success,success,True,True,0.0,0.0,0.0,0.0,0.0
cross_xy,factory_prepolish_deep_defect,139,success,success,True,True,0.0,0.0,0.0,0.0,0.0
cross_xy,factory_prepolish_deep_defect,236,success,success,True,True,0.0,0.0,0.0,0.0,0.0
cross_xy,factory_prepolish_deep_defect,333,success,success,True,True,0.0,0.0,0.0,0.0,0.0
cross_xy,factory_prepolish_deep_stress,42,success,success,True,True,0.0,0.0,0.0,0.0,0.0
cross_xy,factory_prepolish_deep_stress,139,success,success,True,True,0.0,0.0,0.0,0.0,0.0
cross_xy,factory_prepolish_deep_stress,236,success,success,True,True,0.0,0.0,0.0,0.0,0.0
cross_xy,factory_prepolish_deep_stress,333,success,success,True,True,0.0,0.0,0.0,0.0,0.0
cross_xy,legacy_stress,42,fail_max_passes,fail_max_passes,True,True,-1.2638361720608629,-0.0025902431159678108,-0.013778542606783795,0.06617882693896404,0.1277011981987215
cross_xy,legacy_stress,139,fail_max_passes,fail_max_passes,True,True,-2.6262740772000512,-0.00638817847569445,0.03246657575671108,0.08256990410473208,0.1394853137777048
cross_xy,legacy_stress,236,fail_max_passes,fail_max_passes,True,True,-0.940591925248583,-0.0064870364646759104,0.001081031148200573,0.07695750128360035,0.20901993536104158
cross_xy,legacy_stress,333,fail_max_passes,fail_max_passes,True,True,-1.4285924661181184,-0.009023590793713149,0.00263275809805652,0.07462903449327474,0.10423634755705535
same_xx,factory_prepolish,42,success,success,True,True,0.0,0.0,0.0,0.0,0.0
same_xx,factory_prepolish,139,success,success,True,True,0.0,0.0,0.0,0.0,0.0
same_xx,factory_prepolish,236,success,success,True,True,0.0,0.0,0.0,0.0,0.0
same_xx,factory_prepolish,333,success,success,True,True,0.0,0.0,0.0,0.0,0.0
same_xx,factory_prepolish_deep_defect,42,success,success,True,True,0.0,0.0,0.0,0.0,0.0
same_xx,factory_prepolish_deep_defect,139,success,success,True,True,0.0,0.0,0.0,0.0,0.0
same_xx,factory_prepolish_deep_defect,236,success,success,True,True,0.0,0.0,0.0,0.0,0.0
same_xx,factory_prepolish_deep_defect,333,success,success,True,True,0.0,0.0,0.0,0.0,0.0
same_xx,factory_prepolish_deep_stress,42,success,success,True,True,0.0,0.0,0.0,0.0,0.0
same_xx,factory_prepolish_deep_stress,139,success,success,True,True,0.0,0.0,0.0,0.0,0.0
same_xx,factory_prepolish_deep_stress,236,success,success,True,True,0.0,0.0,0.0,0.0,0.0
same_xx,factory_prepolish_deep_stress,333,success,success,True,True,0.0,0.0,0.0,0.0,0.0
same_xx,legacy_stress,42,fail_max_passes,fail_max_passes,True,True,-1.8925354893865176,-0.00225448212620577,-0.011934952482357986,0.06840860830804862,0.1269320962323306
same_xx,legacy_stress,139,fail_max_passes,fail_max_passes,True,True,-2.254884901591275,-0.004555497904793093,0.01569680337180568,0.07622553076727523,0.13393427417356207
same_xx,legacy_stress,236,fail_max_passes,fail_max_passes,True,True,-0.9785097230130191,-0.007236640223714286,0.01297721465554158,0.07209821375695302,0.2015916603923884
same_xx,legacy_stress,333,fail_max_passes,fail_max_passes,True,True,-1.343612216269193,-0.008506703883995603,0.002569480442538463,0.07573875409584652,0.10169249824506466
