control_step,rollout_iteration_zero_based,active_envs,reward_mean_active,reward_min_active,reward_max_active,dense_mean_active,dense_abs_mean_active,terminal_sum_active,terminal_nonzero_events
1,0,12,-0.818401575088501,-0.8184016346931458,-0.8184016346931458,-0.818401575088501,0.818401575088501,0.0,0
2,0,12,-0.8100023865699768,-0.8100024461746216,-0.8100024461746216,-0.8100023865699768,0.8100023865699768,0.0,0
3,0,12,-0.8100001215934753,-0.8100000023841858,-0.8100000023841858,-0.8100001215934753,0.8100001215934753,0.0,0
4,0,12,-0.8100001215934753,-0.8100000023841858,-0.8100000023841858,-0.8100001215934753,0.8100001215934753,0.0,0
5,0,12,-0.8100001215934753,-0.8100000023841858,-0.8100000023841858,-0.8100001215934753,0.8100001215934753,0.0,0
6,0,12,-0.8100001215934753,-0.8100000023841858,-0.8100000023841858,-0.8100001215934753,0.8100001215934753,0.0,0
7,0,12,-0.8100001811981201,-0.8100001811981201,-0.8100000023841858,-0.8100001811981201,0.8100001811981201,0.0,0
8,0,12,-0.8100001215934753,-0.8100000023841858,-0.8100000023841858,-0.8100001215934753,0.8100001215934753,0.0,0
9,0,12,-0.8100001215934753,-0.8100000023841858,-0.8100000023841858,-0.8100001215934753,0.8100001215934753,0.0,0
10,0,12,-0.8100001215934753,-0.8100000023841858,-0.8100000023841858,-0.8100001215934753,0.8100001215934753,0.0,0
11,0,12,-0.8100001215934753,-0.8100000023841858,-0.8100000023841858,-0.8100001215934753,0.8100001215934753,0.0,0
12,0,12,-0.8347803950309753,-0.9091210961341858,-0.8100000023841858,-0.8347803950309753,0.8347803950309753,0.0,0
13,0,12,-0.8100010752677917,-0.810003936290741,-0.8100000023841858,-0.8100010752677917,0.8100010752677917,0.0,0
14,0,12,-0.8100001215934753,-0.8100000023841858,-0.8100000023841858,-0.8100001215934753,0.8100001215934753,0.0,0
15,0,12,-0.8100001215934753,-0.8100000023841858,-0.8100000023841858,-0.8100001215934753,0.8100001215934753,0.0,0
16,0,12,-0.8100001215934753,-0.8100000023841858,-0.8100000023841858,-0.8100001215934753,0.8100001215934753,0.0,0
