env,surface_profile,profile_seed,control_steps,terminal_rollout_zero_based,terminal_position_within_rollout,direct_terminal_credit_steps,direct_terminal_credit_path_fraction,gae_weight_to_rollout_start_lambda_0p95,gae_weight_to_rollout_start_lambda_0p99,terminal_reward,dense_reward_sum,dense_reward_abs_sum,terminal_to_dense_abs_ratio,hypothetical_uninterrupted_gamma_weight,comparison_gamma_0p99_weight,quality_ok,safety_ok
0,factory_prepolish,17000,2942,61,14,14,0.004758667573079538,0.5100153515797526,0.8718342166772265,669.147705078125,-51.46577358338982,192.30779544170946,3.479566200325721,0.22972605444194164,1.4558187596656635e-13,True,True
1,factory_prepolish,17097,3224,67,8,8,0.0024813895781637717,0.6958967787745282,0.9288080084566449,709.7769165039062,-65.92250255774707,201.3884509569034,3.5244171804856705,0.19950758778970834,8.555239814822935e-15,True,True
2,factory_prepolish,17194,3256,67,40,40,0.012285012285012284,0.1326629791982612,0.6626767429355641,715.38134765625,-52.77218773961067,216.08841341733932,3.310595586051198,0.19634008207839548,6.202380635150335e-15,True,True
3,factory_prepolish,17291,2959,61,31,31,0.010476512335248395,0.21144241588688212,0.7286849360688052,703.2242431640625,-92.65210524573922,187.3961142450571,3.7526084572087717,0.2277811741724491,1.2271725142608019e-13,True,True
4,factory_prepolish_deep_defect,17000,3370,70,10,10,0.002967359050445104,0.6274189530128784,0.9094146319404518,694.7091674804688,-18.215154238510877,228.4807180580683,3.0405592795095675,0.1854590334188603,1.9722892116214398e-15,True,True
5,factory_prepolish_deep_defect,17097,3558,74,6,6,0.0016863406408094434,0.7718484186416096,0.9486149510619347,668.1071166992188,-12.161660986486822,254.1846428667195,2.6284322654753676,0.16881619267296136,2.9811730291300925e-16,True,True
6,factory_prepolish_deep_defect,17194,3440,71,32,32,0.009302325581395349,0.20076985994499175,0.7210373876647632,708.2299194335938,-52.330544906668365,221.287037496455,3.2005034160436963,0.17907867969532917,9.759649498227022e-16,True,True
7,factory_prepolish_deep_defect,17291,3041,63,17,17,0.005590266359750082,0.43661882834374915,0.8446715931539438,704.137451171875,-81.24422494554892,197.7065763459541,3.5615277153945044,0.21862876452084015,5.3825934249486e-14,True,True
8,factory_prepolish_deep_stress,17000,3382,70,22,22,0.006505026611472502,0.3370035522062752,0.8012681020031348,676.6126098632812,-17.166528259869665,232.57304519368336,2.9092477561181194,0.1843493341980083,1.7482073198301754e-15,True,True
9,factory_prepolish_deep_stress,17097,3562,74,10,10,0.002807411566535654,0.6274189530128784,0.9094146319404518,654.4697265625,-12.835724025033414,255.83968708198518,2.558124323974692,0.16847881342750695,2.8637029169019805e-16,True,True
10,factory_prepolish_deep_stress,17194,3448,71,40,40,0.01160092807424594,0.1326629791982612,0.6626767429355641,691.6292114257812,-50.65908985538408,223.5341429761611,3.0940651938775203,0.1783636172745382,9.005664793965096e-16,True,True
11,factory_prepolish_deep_stress,17291,3046,63,22,22,0.007222586999343401,0.3370035522062752,0.8012681020031348,697.4616088867188,-79.61595532204956,199.05864883121103,3.503799573552423,0.21808273890823177,5.118792789783281e-14,True,True
