policy_label,observation_dim,direction_mode,surface_profile,env,profile_seed,outcome,quality_ok,safety_ok,control_steps,contact_steps,sensor_fault_steps,force_action_mean,feed_action_mean,gu_before,gu_final,ra_before_um,ra_final_um,rz_before_um,rz_final_um,scratch_before_um,scratch_final_um,clearcoat_min_um,temperature_peak_c,before_gu_pass_area_pct,before_tile_gu_pass_area_pct_mean,before_tile_gu_pass_area_pct_min,before_tile_gu_pass_area_pct_p10,before_ra_pass_area_pct,before_tile_ra_pass_area_pct_mean,before_tile_ra_pass_area_pct_min,before_tile_ra_pass_area_pct_p10,before_rz_pass_area_pct,before_tile_rz_pass_area_pct_mean,before_tile_rz_pass_area_pct_min,before_tile_rz_pass_area_pct_p10,before_scratch_pass_area_pct,before_tile_scratch_pass_area_pct_mean,before_tile_scratch_pass_area_pct_min,before_tile_scratch_pass_area_pct_p10,before_all4_pass_area_pct,before_tile_all4_pass_area_pct_mean,before_tile_all4_pass_area_pct_min,before_tile_all4_pass_area_pct_p10,before_clearcoat_pass_area_pct,before_tile_clearcoat_pass_area_pct_mean,before_tile_clearcoat_pass_area_pct_min,before_tile_clearcoat_pass_area_pct_p10,before_temperature_pass_area_pct,before_tile_temperature_pass_area_pct_mean,before_tile_temperature_pass_area_pct_min,before_tile_temperature_pass_area_pct_p10,final_gu_pass_area_pct,final_tile_gu_pass_area_pct_mean,final_tile_gu_pass_area_pct_min,final_tile_gu_pass_area_pct_p10,final_ra_pass_area_pct,final_tile_ra_pass_area_pct_mean,final_tile_ra_pass_area_pct_min,final_tile_ra_pass_area_pct_p10,final_rz_pass_area_pct,final_tile_rz_pass_area_pct_mean,final_tile_rz_pass_area_pct_min,final_tile_rz_pass_area_pct_p10,final_scratch_pass_area_pct,final_tile_scratch_pass_area_pct_mean,final_tile_scratch_pass_area_pct_min,final_tile_scratch_pass_area_pct_p10,final_all4_pass_area_pct,final_tile_all4_pass_area_pct_mean,final_tile_all4_pass_area_pct_min,final_tile_all4_pass_area_pct_p10,final_clearcoat_pass_area_pct,final_tile_clearcoat_pass_area_pct_mean,final_tile_clearcoat_pass_area_pct_min,final_tile_clearcoat_pass_area_pct_p10,final_temperature_pass_area_pct,final_tile_temperature_pass_area_pct_mean,final_tile_temperature_pass_area_pct_min,final_tile_temperature_pass_area_pct_p10
champion,14,same_xx,factory_prepolish,5,19097,success,True,True,2663,2566,0,-0.2901977319669061,0.48437438880058775,74.61529109221243,76.70377414080076,0.11057408686627052,0.0878106499616912,0.8079303876596391,0.7322162541743878,0.0,0.0,43.508080755293136,25.65484922624365,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
champion,14,same_xx,factory_prepolish,6,19194,success,True,True,2663,2566,0,-0.28982563296118224,0.4841178180667363,70.14999907549654,72.23959747759297,0.11023288806246842,0.08887746597463715,0.8405489406218688,0.7242728422280551,0.28917726760794377,0.24097615469872136,41.39587705309372,25.652425337323514,97.19,97.19,67.0,92.05000000000001,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.69,99.69,95.25,99.55,97.19,97.19,67.0,92.05000000000001,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,97.31,97.31,67.25,93.4,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.86,99.86,98.0,100.0,97.31,97.31,67.25,93.4,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
champion,14,same_xx,factory_prepolish,4,19000,success,True,True,2664,2567,0,-0.29008943046087976,0.4835847414381153,75.03851158171884,76.77228075123901,0.11780990079362255,0.09450756571702788,0.8671458213134915,0.7514421861937253,0.0,0.0,41.79003278394874,25.654509080073534,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
champion,14,same_xx,factory_prepolish,7,19291,success,True,True,2664,2567,0,-0.2902071246647978,0.48369348800934114,75.70376451258022,76.87952685955409,0.10524014138514048,0.08318137776633344,0.8299182255362022,0.6968615361057766,0.0,0.0,42.19474710763863,25.65398520902202,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
champion,14,same_xx,factory_prepolish_deep_defect,11,19291,success,True,True,2947,2850,0,-0.082566555583117,0.24463696863273462,73.70654599329184,75.36546764868338,0.10664487206033034,0.09672612498928312,0.9321644607550024,0.8388872486595602,0.670565763684712,0.587318463128728,42.194628674034995,28.87738545607838,98.6,98.6,68.5,100.0,99.89,99.89,97.25,100.0,100.0,100.0,100.0,100.0,99.89,99.89,97.25,100.0,98.6,98.6,68.5,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,98.7,98.7,71.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.99,99.99,99.75,100.0,98.7,98.7,71.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
champion,14,same_xx,factory_prepolish_deep_defect,9,19097,success,True,True,2950,2853,0,-0.07999193834046187,0.24250248985270323,72.44205205235725,74.83198893167533,0.11279228068621698,0.09460664884401586,0.9672641272127773,0.8866248474035673,0.7855597392315528,0.7316332473461344,43.508191441493196,28.81293135382587,98.59,98.59,79.25,100.0,99.76,99.76,97.0,100.0,100.0,100.0,100.0,100.0,99.92,99.92,98.25,100.0,98.59,98.59,79.25,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,98.61,98.61,79.25,100.0,99.83999999999999,99.84,97.75,100.0,100.0,100.0,100.0,100.0,99.96000000000001,99.96,99.25,100.0,98.61,98.61,79.25,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
champion,14,same_xx,factory_prepolish_deep_stress,15,19291,success,True,True,2950,2853,0,-0.0802011389045392,0.2423045579053588,73.70482648029314,75.27625469780045,0.10756782048747952,0.09866707969644052,1.0096688083046845,0.9198809300922435,1.0553568569102711,0.9531183034423583,42.19460798539254,28.91822435098387,98.45,98.45,66.5,99.25,99.64,99.64,91.0,100.0,100.0,100.0,100.0,100.0,99.9,99.9,97.5,100.0,98.45,98.45,66.5,99.25,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,98.46000000000001,98.46,66.75,99.25,99.72999999999999,99.73,93.25,100.0,100.0,100.0,100.0,100.0,99.99,99.99,99.75,100.0,98.46000000000001,98.46,66.75,99.25,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
champion,14,same_xx,factory_prepolish_deep_stress,13,19097,success,True,True,2951,2854,0,-0.07936563802064374,0.24185300768128656,72.34807739847875,74.61318245144793,0.11407069212866554,0.09657297068212574,1.0588154102507596,0.9779562903594025,1.1925491513279785,1.1084115076374579,43.5081024557329,28.816494622276036,98.5,98.5,77.25,100.0,99.35000000000001,99.35,91.25,100.0,100.0,100.0,100.0,100.0,99.92,99.92,98.25,100.0,98.5,98.5,77.25,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,98.5,98.5,77.25,100.0,99.49,99.49,93.0,100.0,100.0,100.0,100.0,100.0,99.95,99.95,98.75,100.0,98.5,98.5,77.25,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
champion,14,same_xx,factory_prepolish_deep_defect,10,19194,success,True,True,3250,3153,0,0.09978390725988608,0.03576233538297507,68.64516341932196,71.85881513799178,0.11245707156919005,0.11859312572016922,1.105720035881753,1.085910122032384,0.964124708207663,0.8100255578142121,41.39586927835508,29.39096156640524,96.09,96.09,63.0,86.0,99.76,99.76,96.25,100.0,100.0,100.0,100.0,100.0,99.61,99.61,95.25,98.65,96.09,96.09,63.0,86.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,96.44,96.44,67.25,87.05,99.89,99.89,98.0,100.0,100.0,100.0,100.0,100.0,99.89,99.89,98.0,100.0,96.44,96.44,67.25,87.05,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
champion,14,same_xx,factory_prepolish_deep_stress,14,19194,success,True,True,3256,3159,0,0.10358413257601806,0.031607728112827645,68.5529079764448,71.54666631070191,0.1136875102613354,0.12114762311276313,1.4804615207638756,1.4770470196275984,1.4428340543347902,1.2698180238147994,41.39588203741678,29.39716357794869,96.00999999999999,96.01,62.5,85.1,99.21,99.21,88.0,100.0,100.0,100.0,100.0,100.0,99.63,99.63,95.25,98.65,96.00999999999999,96.01,62.5,85.1,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,96.34,96.34,65.25,86.9,99.42999999999999,99.43,90.5,100.0,100.0,100.0,100.0,100.0,99.89,99.89,98.0,100.0,96.34,96.34,65.25,86.9,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
