policy_label,observation_dim,direction_mode,surface_profile,env,profile_seed,tile_i,tile_j,cell_count,local_gu_mean,local_ra_mean_um,local_rz_mean_um,gu_pass_area_pct,ra_pass_area_pct,rz_pass_area_pct,scratch_pass_area_pct,all4_pass_area_pct,clearcoat_pass_area_pct,temperature_pass_area_pct
control_46080,14,cross_xy,factory_prepolish,5,19097,0,0,400,77.71691201586607,0.02568295272241045,0.08683305594737505,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control_46080,14,cross_xy,factory_prepolish,5,19097,0,1,400,77.53342736518536,0.020552870155679637,0.06930882373061818,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control_46080,14,cross_xy,factory_prepolish,5,19097,0,2,400,77.48599457375671,0.01699999345184664,0.057704877526825474,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control_46080,14,cross_xy,factory_prepolish,5,19097,0,3,400,77.4842505962561,0.017415790395619902,0.05882443686644267,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control_46080,14,cross_xy,factory_prepolish,5,19097,0,4,400,77.49263108057369,0.022093578975234562,0.07374166844358171,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control_46080,14,cross_xy,factory_prepolish,5,19097,1,0,400,77.6393821861009,0.018817652354534746,0.0633990280378534,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control_46080,14,cross_xy,factory_prepolish,5,19097,1,1,400,77.40528820306679,0.01547072279268039,0.05307129059606542,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control_46080,14,cross_xy,factory_prepolish,5,19097,1,2,400,77.34550304630103,0.01625762763393614,0.05554905362535939,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control_46080,14,cross_xy,factory_prepolish,5,19097,1,3,400,77.32235658206575,0.018358379249108814,0.06231655977647554,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control_46080,14,cross_xy,factory_prepolish,5,19097,1,4,400,77.52404022956307,0.016604511558727487,0.056133849712802775,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control_46080,14,cross_xy,factory_prepolish,5,19097,2,0,400,77.57281726501152,0.014782999434511111,0.05014828365790544,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control_46080,14,cross_xy,factory_prepolish,5,19097,2,1,400,77.34094334941503,0.018740162065527307,0.06364914143490982,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control_46080,14,cross_xy,factory_prepolish,5,19097,2,2,400,77.39198171444255,0.014452582281419919,0.04859371125678927,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control_46080,14,cross_xy,factory_prepolish,5,19097,2,3,400,77.30395752376218,0.018785346070821125,0.06413744469972579,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control_46080,14,cross_xy,factory_prepolish,5,19097,2,4,400,77.42101930498234,0.024433414043113378,0.08166719308482273,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control_46080,14,cross_xy,factory_prepolish,5,19097,3,0,400,77.58437383836768,0.0161125187036086,0.054678977286842796,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control_46080,14,cross_xy,factory_prepolish,5,19097,3,1,400,77.25969369126915,0.020629091564557736,0.06938610695711979,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control_46080,14,cross_xy,factory_prepolish,5,19097,3,2,400,77.31778695930079,0.01631987726771276,0.055424617730546834,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control_46080,14,cross_xy,factory_prepolish,5,19097,3,3,400,77.29787682724586,0.020224801312545573,0.06853010076964737,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control_46080,14,cross_xy,factory_prepolish,5,19097,3,4,400,77.50765003050289,0.019431975278986838,0.0662681007090187,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control_46080,14,cross_xy,factory_prepolish,5,19097,4,0,400,77.50228430283111,0.023064314586461025,0.07889625203405237,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control_46080,14,cross_xy,factory_prepolish,5,19097,4,1,400,77.537102775075,0.016040504666804904,0.05461536273071456,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control_46080,14,cross_xy,factory_prepolish,5,19097,4,2,400,77.56792138953496,0.016594062117015907,0.05608958407802586,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control_46080,14,cross_xy,factory_prepolish,5,19097,4,3,400,77.44657421568452,0.020509262986466298,0.06922097097379724,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control_46080,14,cross_xy,factory_prepolish,5,19097,4,4,400,77.54885194663788,0.022392394659864322,0.07500690106059914,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control_46080,14,cross_xy,factory_prepolish,7,19291,0,0,400,77.7173137029336,0.028435740241323604,0.09652819182384245,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control_46080,14,cross_xy,factory_prepolish,7,19291,0,1,400,77.55941378818235,0.017289345490386132,0.058921601876349386,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control_46080,14,cross_xy,factory_prepolish,7,19291,0,2,400,77.43231681004785,0.019757079860357084,0.06651935272360386,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control_46080,14,cross_xy,factory_prepolish,7,19291,0,3,400,77.42860485749743,0.020294628511054305,0.06824298566972525,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control_46080,14,cross_xy,factory_prepolish,7,19291,0,4,400,77.5135212231978,0.018975411621419892,0.06522624559941709,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control_46080,14,cross_xy,factory_prepolish,7,19291,1,0,400,77.62781192618064,0.017019106857465195,0.0578949473477563,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control_46080,14,cross_xy,factory_prepolish,7,19291,1,1,400,77.43708733736173,0.015074541387562234,0.051034923475096236,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control_46080,14,cross_xy,factory_prepolish,7,19291,1,2,400,77.42268290161495,0.014257214959448395,0.048718923261033525,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control_46080,14,cross_xy,factory_prepolish,7,19291,1,3,400,77.46114323656774,0.013405395937021319,0.045155763679372,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control_46080,14,cross_xy,factory_prepolish,7,19291,1,4,400,77.49975368878499,0.018754134378395005,0.06351802712511244,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control_46080,14,cross_xy,factory_prepolish,7,19291,2,0,400,77.53507281607415,0.013205912951406672,0.044882300240524045,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control_46080,14,cross_xy,factory_prepolish,7,19291,2,1,400,77.34204798273558,0.017186990172957006,0.05880781573563795,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control_46080,14,cross_xy,factory_prepolish,7,19291,2,2,400,77.46164907024935,0.013166844502981495,0.04448667232050816,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control_46080,14,cross_xy,factory_prepolish,7,19291,2,3,400,77.39002455615444,0.016365939766814074,0.05545580420879873,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control_46080,14,cross_xy,factory_prepolish,7,19291,2,4,400,77.51507661331485,0.017797800623967224,0.06126720006005238,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control_46080,14,cross_xy,factory_prepolish,7,19291,3,0,400,77.54322338453707,0.014807916781214665,0.0497638925722354,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control_46080,14,cross_xy,factory_prepolish,7,19291,3,1,400,77.4368636189155,0.015582943134007175,0.052091199918350706,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control_46080,14,cross_xy,factory_prepolish,7,19291,3,2,400,77.43681016928704,0.014611729089226966,0.049510591219595536,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control_46080,14,cross_xy,factory_prepolish,7,19291,3,3,400,77.39524848434958,0.018008743853664286,0.06140219479858536,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control_46080,14,cross_xy,factory_prepolish,7,19291,3,4,400,77.57551211663062,0.014528084063763234,0.04880617235443376,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control_46080,14,cross_xy,factory_prepolish,7,19291,4,0,400,77.50173963187416,0.021070625443428515,0.07108795994363643,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control_46080,14,cross_xy,factory_prepolish,7,19291,4,1,400,77.57207128056604,0.013341262032997563,0.04482522630643154,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control_46080,14,cross_xy,factory_prepolish,7,19291,4,2,400,77.51064838392487,0.01691255495822118,0.057230080268657745,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control_46080,14,cross_xy,factory_prepolish,7,19291,4,3,400,77.51085166423242,0.01782401649681076,0.06078334988848242,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control_46080,14,cross_xy,factory_prepolish,7,19291,4,4,400,77.56304853594219,0.02085285260566974,0.06989385456314343,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control_46080,14,cross_xy,factory_prepolish,4,19000,0,0,400,77.72415659379067,0.02848066823227697,0.09673366255563184,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control_46080,14,cross_xy,factory_prepolish,4,19000,0,1,400,77.55096257906268,0.021819731194611624,0.07375196679223692,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control_46080,14,cross_xy,factory_prepolish,4,19000,0,2,400,77.48255910251419,0.02575380051588826,0.08654596644133118,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control_46080,14,cross_xy,factory_prepolish,4,19000,0,3,400,77.50596453810314,0.020910387079176047,0.07059177698692601,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control_46080,14,cross_xy,factory_prepolish,4,19000,0,4,400,77.61136087383036,0.021422567907302924,0.07130728252713073,100.0,100.0,100.0,100.0,100.0,100.0,100.0
