policy_label,observation_dim,direction_mode,surface_profile,env,profile_seed,outcome,quality_ok,safety_ok,control_steps,contact_steps,sensor_fault_steps,force_action_mean,feed_action_mean,gu_before,gu_final,ra_before_um,ra_final_um,rz_before_um,rz_final_um,scratch_before_um,scratch_final_um,clearcoat_min_um,temperature_peak_c,before_gu_pass_area_pct,before_tile_gu_pass_area_pct_mean,before_tile_gu_pass_area_pct_min,before_tile_gu_pass_area_pct_p10,before_ra_pass_area_pct,before_tile_ra_pass_area_pct_mean,before_tile_ra_pass_area_pct_min,before_tile_ra_pass_area_pct_p10,before_rz_pass_area_pct,before_tile_rz_pass_area_pct_mean,before_tile_rz_pass_area_pct_min,before_tile_rz_pass_area_pct_p10,before_scratch_pass_area_pct,before_tile_scratch_pass_area_pct_mean,before_tile_scratch_pass_area_pct_min,before_tile_scratch_pass_area_pct_p10,before_all4_pass_area_pct,before_tile_all4_pass_area_pct_mean,before_tile_all4_pass_area_pct_min,before_tile_all4_pass_area_pct_p10,before_clearcoat_pass_area_pct,before_tile_clearcoat_pass_area_pct_mean,before_tile_clearcoat_pass_area_pct_min,before_tile_clearcoat_pass_area_pct_p10,before_temperature_pass_area_pct,before_tile_temperature_pass_area_pct_mean,before_tile_temperature_pass_area_pct_min,before_tile_temperature_pass_area_pct_p10,final_gu_pass_area_pct,final_tile_gu_pass_area_pct_mean,final_tile_gu_pass_area_pct_min,final_tile_gu_pass_area_pct_p10,final_ra_pass_area_pct,final_tile_ra_pass_area_pct_mean,final_tile_ra_pass_area_pct_min,final_tile_ra_pass_area_pct_p10,final_rz_pass_area_pct,final_tile_rz_pass_area_pct_mean,final_tile_rz_pass_area_pct_min,final_tile_rz_pass_area_pct_p10,final_scratch_pass_area_pct,final_tile_scratch_pass_area_pct_mean,final_tile_scratch_pass_area_pct_min,final_tile_scratch_pass_area_pct_p10,final_all4_pass_area_pct,final_tile_all4_pass_area_pct_mean,final_tile_all4_pass_area_pct_min,final_tile_all4_pass_area_pct_p10,final_clearcoat_pass_area_pct,final_tile_clearcoat_pass_area_pct_mean,final_tile_clearcoat_pass_area_pct_min,final_tile_clearcoat_pass_area_pct_p10,final_temperature_pass_area_pct,final_tile_temperature_pass_area_pct_mean,final_tile_temperature_pass_area_pct_min,final_tile_temperature_pass_area_pct_p10
control_46080,14,same_xx,factory_prepolish,5,19097,success,True,True,3296,3199,0,0.9732444620175847,0.007229660520131148,74.61529109221243,76.89010324262173,0.11057408686627052,0.07816745335144305,0.8079303876596391,0.7183804272130676,0.0,0.0,43.42373104117891,27.356452584638326,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control_46080,14,same_xx,factory_prepolish,7,19291,success,True,True,3297,3200,0,0.970728700095265,0.006419611575569498,75.70376451258022,76.81367559419189,0.10524014138514048,0.07420275491803685,0.8299182255362022,0.6414838297688233,0.0,0.0,42.134672830027526,27.374804280163936,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control_46080,14,same_xx,factory_prepolish,4,19000,success,True,True,3298,3201,0,0.9696854203080972,0.005961048713302959,75.03851158171884,76.834514308809,0.11780990079362255,0.08370227155575724,0.8671458213134915,0.7084915122405951,0.0,0.0,41.71887081706879,27.3620088991152,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control_46080,14,same_xx,factory_prepolish_deep_stress,13,19097,success,True,True,3509,3412,0,0.9739400331757965,-0.11488250738774722,72.34807739847875,74.84770412060895,0.11407069212866554,0.08299589956800996,1.0588154102507596,0.9516199994369224,1.1925491513279785,1.103504710962303,43.42373601009027,28.769097632311432,98.5,98.5,77.25,100.0,99.35000000000001,99.35,91.25,100.0,100.0,100.0,100.0,100.0,99.92,99.92,98.25,100.0,98.5,98.5,77.25,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,98.52,98.52,77.75,100.0,99.49,99.49,93.0,100.0,100.0,100.0,100.0,100.0,99.95,99.95,98.75,100.0,98.52,98.52,77.75,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control_46080,14,same_xx,factory_prepolish_deep_stress,15,19291,success,True,True,3513,3416,0,0.9717546876614297,-0.11715725545712831,73.70482648029314,75.43922930331001,0.10756782048747952,0.08607265757474233,1.0096688083046845,0.8607269208585346,1.0553568569102711,0.9382950965412152,42.13477263070575,28.8258584296766,98.45,98.45,66.5,99.25,99.64,99.64,91.0,100.0,100.0,100.0,100.0,100.0,99.9,99.9,97.5,100.0,98.45,98.45,66.5,99.25,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,98.47,98.47,67.0,99.25,99.72999999999999,99.73,93.25,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,98.47,98.47,67.0,99.25,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control_46080,14,same_xx,factory_prepolish_deep_defect,9,19097,success,True,True,3516,3419,0,0.9739229336838673,-0.11881668482556414,72.44205205235725,75.07062109405827,0.11279228068621698,0.08111153439824834,0.9672641272127773,0.8578509594601873,0.7855597392315528,0.7288616844868111,43.423463591360715,28.821602065296428,98.59,98.59,79.25,100.0,99.76,99.76,97.0,100.0,100.0,100.0,100.0,100.0,99.92,99.92,98.25,100.0,98.59,98.59,79.25,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,98.61999999999999,98.62,79.5,100.0,99.85000000000001,99.85,97.75,100.0,100.0,100.0,100.0,100.0,99.96000000000001,99.96,99.25,100.0,98.61999999999999,98.62,79.5,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control_46080,14,same_xx,factory_prepolish_deep_defect,11,19291,success,True,True,3526,3429,0,0.9714482731280412,-0.12400322517784766,73.70654599329184,75.55306922692287,0.10664487206033034,0.08500261024323902,0.9321644607550024,0.7826637772293917,0.670565763684712,0.5701720734921654,42.134767046134186,28.960177731662558,98.6,98.6,68.5,100.0,99.89,99.89,97.25,100.0,100.0,100.0,100.0,100.0,99.89,99.89,97.25,100.0,98.6,98.6,68.5,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,98.71,98.71,71.25,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.99,99.99,99.75,100.0,98.71,98.71,71.25,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control_46080,14,same_xx,factory_prepolish,6,19194,success,True,True,3597,3500,0,0.9575960200268558,-0.16103752061811658,70.14999907549654,74.15149988494568,0.11023288806246842,0.0849957167969846,0.8405489406218688,0.6768670293101644,0.28917726760794377,0.1827154865717776,41.295507115749736,29.02658398174093,97.19,97.19,67.0,92.05000000000001,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.69,99.69,95.25,99.55,97.19,97.19,67.0,92.05000000000001,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,97.92999999999999,97.93,76.0,93.55000000000001,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.97,99.97,99.25,100.0,97.92999999999999,97.93,76.0,93.55000000000001,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control_46080,14,same_xx,factory_prepolish_deep_stress,12,19000,success,True,True,3773,3676,0,0.9717560024542515,-0.24649816923674808,71.3987867266213,74.35902901945482,0.12113647203454893,0.10507893532966842,1.2802327456797093,1.208521956437082,1.005299456487055,0.832209856869093,41.719138570244674,29.055994891693473,97.61,97.61,69.25,91.65,99.25,99.25,90.5,97.6,100.0,100.0,100.0,100.0,99.96000000000001,99.96,99.5,99.85,97.61,97.61,69.25,91.65,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,97.74000000000001,97.74,69.5,92.2,99.67,99.67,95.5,99.25,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,97.74000000000001,97.74,69.5,92.2,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control_46080,14,same_xx,factory_prepolish_deep_defect,8,19000,success,True,True,3791,3694,0,0.9714911452299748,-0.254925208367197,71.36285411760794,74.8457387924874,0.11949591371684669,0.1035320505329801,1.0354204014666208,0.9672210682031788,0.6294757880368167,0.4495544574269398,41.718830034551715,29.13658798854822,97.65,97.65,69.75,91.80000000000001,99.85000000000001,99.85,98.25,99.55,100.0,100.0,100.0,100.0,99.92999999999999,99.93,99.25,99.7,97.65,97.65,69.75,91.80000000000001,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,97.97,97.97,72.5,93.10000000000001,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,97.97,97.97,72.5,93.10000000000001,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
