policy_label,observation_dim,direction_mode,surface_profile,env,profile_seed,tile_i,tile_j,cell_count,local_gu_mean,local_ra_mean_um,local_rz_mean_um,gu_pass_area_pct,ra_pass_area_pct,rz_pass_area_pct,scratch_pass_area_pct,all4_pass_area_pct,clearcoat_pass_area_pct,temperature_pass_area_pct
control_46080,14,same_xx,factory_prepolish,5,19097,0,0,400,77.70887463262086,0.025423493687469097,0.086007593441009,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control_46080,14,same_xx,factory_prepolish,5,19097,0,1,400,77.52689072741991,0.020242344538640145,0.06828289126497195,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control_46080,14,same_xx,factory_prepolish,5,19097,0,2,400,77.50229013133459,0.017453157269669384,0.05925521890240883,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control_46080,14,same_xx,factory_prepolish,5,19097,0,3,400,77.51502379085645,0.018075650209899322,0.06106195153497589,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control_46080,14,same_xx,factory_prepolish,5,19097,0,4,400,77.49875824861073,0.022482395092575224,0.07504869022117087,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control_46080,14,same_xx,factory_prepolish,5,19097,1,0,400,77.63258140251338,0.018972829341844147,0.06396289786373602,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control_46080,14,same_xx,factory_prepolish,5,19097,1,1,400,77.41726238733861,0.015639720900329942,0.05364977227079635,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control_46080,14,same_xx,factory_prepolish,5,19097,1,2,400,77.34105741423859,0.016257186003210387,0.05557021919015614,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control_46080,14,same_xx,factory_prepolish,5,19097,1,3,400,77.33047771151406,0.018556589196193275,0.06297891769736404,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control_46080,14,same_xx,factory_prepolish,5,19097,1,4,400,77.52509299843636,0.016664878478645898,0.056397858388369124,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control_46080,14,same_xx,factory_prepolish,5,19097,2,0,400,77.55770932020188,0.014440460595666843,0.04902371827676385,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control_46080,14,same_xx,factory_prepolish,5,19097,2,1,400,77.34350359958162,0.018833650451438536,0.0638660026124139,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control_46080,14,same_xx,factory_prepolish,5,19097,2,2,400,77.38431007448855,0.014316231303089632,0.048125442247431795,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control_46080,14,same_xx,factory_prepolish,5,19097,2,3,400,77.28829915497501,0.01861139103433845,0.06360927907012248,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control_46080,14,same_xx,factory_prepolish,5,19097,2,4,400,77.40996947958536,0.02419928948311082,0.08097023321411202,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control_46080,14,same_xx,factory_prepolish,5,19097,3,0,400,77.57532730301537,0.015866308388521485,0.05391020551136682,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control_46080,14,same_xx,factory_prepolish,5,19097,3,1,400,77.23918013772035,0.020298016420624943,0.06842493565348697,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control_46080,14,same_xx,factory_prepolish,5,19097,3,2,400,77.30348280342831,0.016075545616294637,0.05465328331875659,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control_46080,14,same_xx,factory_prepolish,5,19097,3,3,400,77.29172139812971,0.019969596102726982,0.06775583588021244,100.0,100.0,100.0,100.0,100.0,100.0,100.0
