policy_label,observation_dim,direction_mode,surface_profile,env,profile_seed,tile_i,tile_j,cell_count,local_gu_mean,local_ra_mean_um,local_rz_mean_um,gu_pass_area_pct,ra_pass_area_pct,rz_pass_area_pct,scratch_pass_area_pct,all4_pass_area_pct,clearcoat_pass_area_pct,temperature_pass_area_pct
control_14976,14,same_xx,factory_prepolish,3,18597,0,0,400,77.82159492578089,0.024188151906207125,0.08288802423379965,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control_14976,14,same_xx,factory_prepolish,3,18597,0,1,400,77.6609860745703,0.0266833010513529,0.09106952072325264,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control_14976,14,same_xx,factory_prepolish,3,18597,0,2,400,77.65457855884416,0.024426931958604892,0.0833174770288447,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control_14976,14,same_xx,factory_prepolish,3,18597,0,3,400,77.64394783574626,0.02516996025140494,0.08530927361774893,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control_14976,14,same_xx,factory_prepolish,3,18597,0,4,400,77.6905414920947,0.02659719538443963,0.0903291164881707,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control_14976,14,same_xx,factory_prepolish,3,18597,1,0,400,77.73667870506648,0.02690687661098476,0.0917257535325159,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control_14976,14,same_xx,factory_prepolish,3,18597,1,1,400,77.66117486850816,0.01754189158935866,0.059648924529076774,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control_14976,14,same_xx,factory_prepolish,3,18597,1,2,400,77.56949837238795,0.022766142564199433,0.07709839212643893,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control_14976,14,same_xx,factory_prepolish,3,18597,1,3,400,77.63491796599762,0.019047430307301726,0.06386267307285165,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control_14976,14,same_xx,factory_prepolish,3,18597,1,4,400,77.70298157892228,0.02055549190954017,0.06967898776241413,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control_14976,14,same_xx,factory_prepolish,3,18597,2,0,400,77.68712123169618,0.019023064406521854,0.06335342927017329,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control_14976,14,same_xx,factory_prepolish,3,18597,2,1,400,77.6194260533478,0.02130410825760503,0.07061734972164557,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control_14976,14,same_xx,factory_prepolish,3,18597,2,2,400,77.56338889331224,0.02244043843661834,0.07510468173048873,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control_14976,14,same_xx,factory_prepolish,3,18597,2,3,400,77.58914725664766,0.025100890259375074,0.08491976230232157,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control_14976,14,same_xx,factory_prepolish,3,18597,2,4,400,77.67935129496013,0.02433502766666069,0.08263346269574794,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control_14976,14,same_xx,factory_prepolish,3,18597,3,0,400,77.657000797072,0.024518312508295,0.0835832704221728,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control_14976,14,same_xx,factory_prepolish,3,18597,3,1,400,77.57821900439205,0.026630739121769192,0.08918400441597651,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control_14976,14,same_xx,factory_prepolish,3,18597,3,2,400,77.61982911101366,0.0200622002214746,0.06870707882037962,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control_14976,14,same_xx,factory_prepolish,3,18597,3,3,400,77.59840723356358,0.02579373455008528,0.08854859641177598,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control_14976,14,same_xx,factory_prepolish,3,18597,3,4,400,77.62340343999136,0.02627804212614352,0.08938811155388432,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control_14976,14,same_xx,factory_prepolish,3,18597,4,0,400,77.64256275611102,0.034597336755265565,0.11668448833354432,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control_14976,14,same_xx,factory_prepolish,3,18597,4,1,400,77.67445232226865,0.02469929242150859,0.08402701523848449,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control_14976,14,same_xx,factory_prepolish,3,18597,4,2,400,77.6837278955432,0.02362849183595852,0.07945730942142935,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control_14976,14,same_xx,factory_prepolish,3,18597,4,3,400,77.63798912794688,0.022561178179358245,0.07638948300746597,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control_14976,14,same_xx,factory_prepolish,3,18597,4,4,400,77.72515046205211,0.0222769881333722,0.07586068289884793,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control_14976,14,same_xx,factory_prepolish,2,18500,0,0,400,77.8283113130853,0.028280085398513392,0.09560460870409798,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control_14976,14,same_xx,factory_prepolish,2,18500,0,1,400,77.68225618324081,0.026046345348997902,0.08800883433544282,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control_14976,14,same_xx,factory_prepolish,2,18500,0,2,400,77.64969581518095,0.026947940129204994,0.09129158470698219,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control_14976,14,same_xx,factory_prepolish,2,18500,0,3,400,77.67448192573379,0.024742917255456045,0.08317093571270612,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control_14976,14,same_xx,factory_prepolish,2,18500,0,4,400,77.7047946466457,0.02857352316933124,0.09591899370196728,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control_14976,14,same_xx,factory_prepolish,2,18500,1,0,400,77.74770046001021,0.025193707730599754,0.08433978181610242,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control_14976,14,same_xx,factory_prepolish,2,18500,1,1,400,77.63678199807133,0.02142954919146085,0.07248888459184019,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control_14976,14,same_xx,factory_prepolish,2,18500,1,2,400,77.57171973393446,0.02476064232084134,0.08397182058451926,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control_14976,14,same_xx,factory_prepolish,2,18500,1,3,400,77.61442046952985,0.02089595091164392,0.07056933958761367,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control_14976,14,same_xx,factory_prepolish,2,18500,1,4,400,77.58582402295347,0.025369395068817368,0.08564384021739453,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control_14976,14,same_xx,factory_prepolish,2,18500,2,0,400,77.72196368468991,0.02115619406640732,0.07180141126033496,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control_14976,14,same_xx,factory_prepolish,2,18500,2,1,400,77.56538305528008,0.0297312329285603,0.10143758927870511,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control_14976,14,same_xx,factory_prepolish,2,18500,2,2,400,77.5784728914482,0.027335619611143294,0.09268749800130034,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control_14976,14,same_xx,factory_prepolish,2,18500,2,3,400,77.62895024950845,0.019850563469411883,0.06751557596026136,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control_14976,14,same_xx,factory_prepolish,2,18500,2,4,400,77.68311322122476,0.021986000088564755,0.07424798369665289,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control_14976,14,same_xx,factory_prepolish,2,18500,3,0,400,77.68948682105203,0.025720072134934654,0.08533248014454235,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control_14976,14,same_xx,factory_prepolish,2,18500,3,1,400,77.63102470736867,0.0253377724410816,0.086005344992833,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control_14976,14,same_xx,factory_prepolish,2,18500,3,2,400,77.5521320106779,0.02541984379211693,0.08585269400127717,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control_14976,14,same_xx,factory_prepolish,2,18500,3,3,400,77.58772032156544,0.022849223541888532,0.07622468786525204,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control_14976,14,same_xx,factory_prepolish,2,18500,3,4,400,77.59294100619053,0.02636359681593581,0.08905995068353736,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control_14976,14,same_xx,factory_prepolish,2,18500,4,0,400,77.70947355797485,0.02537274757003159,0.08553213657155395,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control_14976,14,same_xx,factory_prepolish,2,18500,4,1,400,77.64505432241873,0.027106983863995668,0.09141048422271102,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control_14976,14,same_xx,factory_prepolish,2,18500,4,2,400,77.61303141195599,0.02625022475521467,0.08871867105135346,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control_14976,14,same_xx,factory_prepolish,2,18500,4,3,400,77.65112056032265,0.025420252825214144,0.08669735212848405,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control_14976,14,same_xx,factory_prepolish,2,18500,4,4,400,77.66350460844583,0.0242856150887963,0.08186448326805383,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control_14976,14,same_xx,factory_prepolish_deep_stress,6,18500,0,0,400,66.20254656374617,0.07475068956085604,0.24565304400584256,65.25,90.5,100.0,99.0,65.25,100.0,100.0
control_14976,14,same_xx,factory_prepolish_deep_stress,6,18500,0,1,400,73.4500260727693,0.038465446254587594,0.12652097039828786,83.25,97.25,100.0,100.0,83.25,100.0,100.0
control_14976,14,same_xx,factory_prepolish_deep_stress,6,18500,0,2,400,77.5858042716215,0.02593659785747257,0.08764585492180423,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control_14976,14,same_xx,factory_prepolish_deep_stress,6,18500,0,3,400,77.67669235775877,0.02478560337787914,0.08329965805007003,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control_14976,14,same_xx,factory_prepolish_deep_stress,6,18500,0,4,400,77.70510255345226,0.028587281068207057,0.09596530939969357,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control_14976,14,same_xx,factory_prepolish_deep_stress,6,18500,1,0,400,77.67118087132465,0.023392914907253762,0.07839078662529796,100.0,100.0,100.0,100.0,100.0,100.0,100.0
