policy_label,observation_dim,direction_mode,surface_profile,env,profile_seed,tile_i,tile_j,cell_count,local_gu_mean,local_ra_mean_um,local_rz_mean_um,gu_pass_area_pct,ra_pass_area_pct,rz_pass_area_pct,scratch_pass_area_pct,all4_pass_area_pct,clearcoat_pass_area_pct,temperature_pass_area_pct
control_30528,14,cross_xy,factory_prepolish,4,19000,0,0,400,77.81078868853798,0.029684624709117174,0.10072305951654034,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control_30528,14,cross_xy,factory_prepolish,4,19000,0,1,400,77.68459014055054,0.02472740802310929,0.08355553615502549,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control_30528,14,cross_xy,factory_prepolish,4,19000,0,2,400,77.6287955370054,0.028600546653796015,0.09598908219988331,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control_30528,14,cross_xy,factory_prepolish,4,19000,0,3,400,77.64138894026246,0.02367875805329619,0.07984305030342101,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control_30528,14,cross_xy,factory_prepolish,4,19000,0,4,400,77.7160412735371,0.023416218643701834,0.07794793972966776,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control_30528,14,cross_xy,factory_prepolish,4,19000,1,0,400,77.66667478702884,0.02427897363723237,0.08062955706807458,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control_30528,14,cross_xy,factory_prepolish,4,19000,1,1,400,77.55770440948345,0.021695067939359065,0.07310030140416074,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control_30528,14,cross_xy,factory_prepolish,4,19000,1,2,400,77.61333113389992,0.019698883812345767,0.06703234339398581,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control_30528,14,cross_xy,factory_prepolish,4,19000,1,3,400,77.52403902147488,0.022939122540236036,0.07715991506104229,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control_30528,14,cross_xy,factory_prepolish,4,19000,1,4,400,77.6825839990534,0.02241306062573721,0.07525176648926467,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control_30528,14,cross_xy,factory_prepolish,4,19000,2,0,400,77.6029566982248,0.025293066981053273,0.08454506278531244,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control_30528,14,cross_xy,factory_prepolish,4,19000,2,1,400,77.57112868669658,0.020260950607375764,0.0689839956859068,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control_30528,14,cross_xy,factory_prepolish,4,19000,2,2,400,77.56842214384476,0.020829055372391988,0.07108122475191486,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control_30528,14,cross_xy,factory_prepolish,4,19000,2,3,400,77.51635377645094,0.02441288661808882,0.08301253597919192,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control_30528,14,cross_xy,factory_prepolish,4,19000,2,4,400,77.62787110645718,0.02302095868519556,0.07744015750235855,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control_30528,14,cross_xy,factory_prepolish,4,19000,3,0,400,77.64854686755595,0.019390024640132328,0.06569504838186743,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control_30528,14,cross_xy,factory_prepolish,4,19000,3,1,400,77.5243297555577,0.023009153626375237,0.0782672816343705,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control_30528,14,cross_xy,factory_prepolish,4,19000,3,2,400,77.52394150321102,0.0203349248162251,0.06900964972280116,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control_30528,14,cross_xy,factory_prepolish,4,19000,3,3,400,77.54649781937536,0.01773515235406042,0.06041538322764588,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control_30528,14,cross_xy,factory_prepolish,4,19000,3,4,400,77.6297527766034,0.019757635201756548,0.06661178236284827,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control_30528,14,cross_xy,factory_prepolish,4,19000,4,0,400,77.66590774448937,0.021689666034145117,0.0728720013022052,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control_30528,14,cross_xy,factory_prepolish,4,19000,4,1,400,77.61126274366717,0.02277920886279797,0.07704031141517138,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control_30528,14,cross_xy,factory_prepolish,4,19000,4,2,400,77.65217714947968,0.019833739348619553,0.06767192686218303,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control_30528,14,cross_xy,factory_prepolish,4,19000,4,3,400,77.60904851388193,0.016443856727526063,0.0552025486862144,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control_30528,14,cross_xy,factory_prepolish,4,19000,4,4,400,77.67726668894935,0.0185504021438491,0.062263514768646805,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control_30528,14,cross_xy,factory_prepolish,7,19291,0,0,400,77.81167647369135,0.02991461419268066,0.10152373577028684,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control_30528,14,cross_xy,factory_prepolish,7,19291,0,1,400,77.69376148953673,0.0198375203380168,0.0674211059112992,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control_30528,14,cross_xy,factory_prepolish,7,19291,0,2,400,77.6070017390704,0.02323259634247305,0.07814048619032475,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control_30528,14,cross_xy,factory_prepolish,7,19291,0,3,400,77.59475700519792,0.023824627942495392,0.0800087548379251,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control_30528,14,cross_xy,factory_prepolish,7,19291,0,4,400,77.65273793159358,0.021948020655472345,0.07530413450378079,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control_30528,14,cross_xy,factory_prepolish,7,19291,1,0,400,77.72300122567616,0.018727590367288303,0.06371425714052047,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control_30528,14,cross_xy,factory_prepolish,7,19291,1,1,400,77.57783708064237,0.018109161975488973,0.061230474920766206,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control_30528,14,cross_xy,factory_prepolish,7,19291,1,2,400,77.57058103700315,0.017644663804048357,0.06019689567989335,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control_30528,14,cross_xy,factory_prepolish,7,19291,1,3,400,77.61223000032084,0.01643171694040686,0.05528788171331403,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control_30528,14,cross_xy,factory_prepolish,7,19291,1,4,400,77.63696587015652,0.02184933153030241,0.07384797219609736,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control_30528,14,cross_xy,factory_prepolish,7,19291,2,0,400,77.65482651732984,0.015574700409450812,0.05288161666882013,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control_30528,14,cross_xy,factory_prepolish,7,19291,2,1,400,77.50874013436773,0.020446946901573518,0.06977229627916745,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control_30528,14,cross_xy,factory_prepolish,7,19291,2,2,400,77.58865704741767,0.0160581678431178,0.05418756281269639,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control_30528,14,cross_xy,factory_prepolish,7,19291,2,3,400,77.53871358658913,0.019531507610474116,0.06608088799857537,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control_30528,14,cross_xy,factory_prepolish,7,19291,2,4,400,77.63079709891201,0.02044985284561783,0.07033925643092315,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control_30528,14,cross_xy,factory_prepolish,7,19291,3,0,400,77.65366315990732,0.016771985894037965,0.05628924213164969,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control_30528,14,cross_xy,factory_prepolish,7,19291,3,1,400,77.5672309082063,0.01842594523414256,0.06152425112020623,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control_30528,14,cross_xy,factory_prepolish,7,19291,3,2,400,77.56720399423897,0.017267971114362818,0.05843402177674562,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control_30528,14,cross_xy,factory_prepolish,7,19291,3,3,400,77.54109285390037,0.021171189914504143,0.07204389280790277,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control_30528,14,cross_xy,factory_prepolish,7,19291,3,4,400,77.67237824814309,0.016624087021300242,0.05577889067376511,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control_30528,14,cross_xy,factory_prepolish,7,19291,4,0,400,77.61713100161207,0.023530256189260794,0.07933219987839067,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control_30528,14,cross_xy,factory_prepolish,7,19291,4,1,400,77.66713534754976,0.015362186824272785,0.05154746348118007,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control_30528,14,cross_xy,factory_prepolish,7,19291,4,2,400,77.61684730733047,0.019247425661545917,0.06510933188023253,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control_30528,14,cross_xy,factory_prepolish,7,19291,4,3,400,77.61829798460343,0.020057669630738992,0.06837232938946591,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control_30528,14,cross_xy,factory_prepolish,7,19291,4,4,400,77.66240048685529,0.022667543550135137,0.07592860028796708,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control_30528,14,cross_xy,factory_prepolish,5,19097,0,0,400,77.80795651213256,0.02702917265647014,0.09139933054372516,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control_30528,14,cross_xy,factory_prepolish,5,19097,0,1,400,77.67187615949199,0.023612056075394364,0.07949593552997529,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control_30528,14,cross_xy,factory_prepolish,5,19097,0,2,400,77.625906164739,0.020196175937252408,0.06847434662101232,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control_30528,14,cross_xy,factory_prepolish,5,19097,0,3,400,77.61468388265513,0.02008939155049948,0.06776528593974669,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control_30528,14,cross_xy,factory_prepolish,5,19097,0,4,400,77.61676475242831,0.024607542972346918,0.08209267057121064,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control_30528,14,cross_xy,factory_prepolish,5,19097,1,0,400,77.73042245392902,0.020387904292290985,0.06864418793377772,100.0,100.0,100.0,100.0,100.0,100.0,100.0
