policy_label,observation_dim,direction_mode,surface_profile,env,profile_seed,outcome,quality_ok,safety_ok,control_steps,contact_steps,sensor_fault_steps,force_action_mean,feed_action_mean,gu_before,gu_final,ra_before_um,ra_final_um,rz_before_um,rz_final_um,scratch_before_um,scratch_final_um,clearcoat_min_um,temperature_peak_c,before_gu_pass_area_pct,before_tile_gu_pass_area_pct_mean,before_tile_gu_pass_area_pct_min,before_tile_gu_pass_area_pct_p10,before_ra_pass_area_pct,before_tile_ra_pass_area_pct_mean,before_tile_ra_pass_area_pct_min,before_tile_ra_pass_area_pct_p10,before_rz_pass_area_pct,before_tile_rz_pass_area_pct_mean,before_tile_rz_pass_area_pct_min,before_tile_rz_pass_area_pct_p10,before_scratch_pass_area_pct,before_tile_scratch_pass_area_pct_mean,before_tile_scratch_pass_area_pct_min,before_tile_scratch_pass_area_pct_p10,before_all4_pass_area_pct,before_tile_all4_pass_area_pct_mean,before_tile_all4_pass_area_pct_min,before_tile_all4_pass_area_pct_p10,before_clearcoat_pass_area_pct,before_tile_clearcoat_pass_area_pct_mean,before_tile_clearcoat_pass_area_pct_min,before_tile_clearcoat_pass_area_pct_p10,before_temperature_pass_area_pct,before_tile_temperature_pass_area_pct_mean,before_tile_temperature_pass_area_pct_min,before_tile_temperature_pass_area_pct_p10,final_gu_pass_area_pct,final_tile_gu_pass_area_pct_mean,final_tile_gu_pass_area_pct_min,final_tile_gu_pass_area_pct_p10,final_ra_pass_area_pct,final_tile_ra_pass_area_pct_mean,final_tile_ra_pass_area_pct_min,final_tile_ra_pass_area_pct_p10,final_rz_pass_area_pct,final_tile_rz_pass_area_pct_mean,final_tile_rz_pass_area_pct_min,final_tile_rz_pass_area_pct_p10,final_scratch_pass_area_pct,final_tile_scratch_pass_area_pct_mean,final_tile_scratch_pass_area_pct_min,final_tile_scratch_pass_area_pct_p10,final_all4_pass_area_pct,final_tile_all4_pass_area_pct_mean,final_tile_all4_pass_area_pct_min,final_tile_all4_pass_area_pct_p10,final_clearcoat_pass_area_pct,final_tile_clearcoat_pass_area_pct_mean,final_tile_clearcoat_pass_area_pct_min,final_tile_clearcoat_pass_area_pct_p10,final_temperature_pass_area_pct,final_tile_temperature_pass_area_pct_mean,final_tile_temperature_pass_area_pct_min,final_tile_temperature_pass_area_pct_p10
champion,14,same_xx,factory_prepolish,6,25194,success,True,True,2665,2568,0,-0.2891692737253701,0.48198136258975205,68.79608354072744,71.20981844386252,0.12113649177302886,0.10080732811461281,1.0245998983481872,0.9160254163063954,0.3822893652832459,0.34055534782643554,40.8925780291458,25.65391094281718,97.38,97.38,66.5,90.25,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.66000000000001,99.66,95.5,100.0,97.38,97.38,66.5,90.25,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,97.46000000000001,97.46,67.0,91.15,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.82,99.82,97.75,100.0,97.46000000000001,97.46,67.0,91.15,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
champion,14,same_xx,factory_prepolish,7,25291,success,True,True,2665,2568,0,-0.29003782643609827,0.4826555900904743,75.41999572576505,76.98209713666179,0.1050832780333989,0.08740798355116851,0.8406765964386087,0.7698456893801914,0.0,0.0,40.96026605213553,25.654448666775085,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
champion,14,same_xx,factory_prepolish,5,25097,success,True,True,2753,2656,0,-0.2200180261304194,0.4026078892553065,72.62860925451345,75.27937938733659,0.10421738214379593,0.07744921002906315,0.7870706469803306,0.7205212133726315,0.3241928462782774,0.26126775381551937,42.15771986508493,27.301947677420873,97.24000000000001,97.24,56.49999999999999,96.05,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.99,99.99,99.75,100.0,97.24000000000001,97.24,56.49999999999999,96.05,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,97.46000000000001,97.46,59.25,96.6,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,97.46000000000001,97.46,59.25,96.6,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
champion,14,same_xx,factory_prepolish_deep_defect,11,25291,success,True,True,3112,3015,0,0.020638062544454338,0.12564052057220268,72.85721497902303,75.24440209132327,0.10768022152487589,0.0963999080585048,1.1246478381568243,1.0676530494386778,0.8564387080112876,0.7383645801654053,40.960153399820555,29.30422618330937,97.91,97.91,68.5,100.0,99.65,99.65,94.5,100.0,100.0,100.0,100.0,100.0,99.98,99.98,99.5,100.0,97.91,97.91,68.5,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,98.05,98.05,70.25,100.0,99.92,99.92,98.25,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,98.05,98.05,70.25,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
champion,14,same_xx,factory_prepolish_deep_stress,15,25291,success,True,True,3114,3017,0,0.021989392567672406,0.12422804230095563,72.61511811494674,74.88064086166025,0.10966243281807761,0.09923639400176755,1.4061080399471022,1.3519057619244848,1.3175347668653994,1.1841296606132332,40.96029635430544,29.30493630374622,97.87,97.87,68.25,100.0,98.75,98.75,80.75,100.0,100.0,100.0,100.0,100.0,99.97,99.97,99.5,100.0,97.87,97.87,68.25,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,97.89999999999999,97.9,68.5,100.0,99.21,99.21,86.75,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,97.89999999999999,97.9,68.5,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
champion,14,same_xx,factory_prepolish_deep_defect,9,25097,success,True,True,3191,3094,0,0.06647864014694811,0.0729688389879975,69.52924920051106,73.549001210937,0.10662531104122949,0.08138835852978506,0.9321539987404551,0.8460886221502368,0.6762286881307004,0.5619892857018829,42.14996188818093,29.273207125467515,95.09,95.09,56.49999999999999,76.7,99.82,99.82,96.75,100.0,100.0,100.0,100.0,100.0,99.92999999999999,99.93,98.5,100.0,95.09,95.09,56.49999999999999,76.7,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,95.48,95.48,60.25,78.45,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,95.48,95.48,60.25,78.45,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
champion,14,same_xx,factory_prepolish_deep_stress,13,25097,success,True,True,3195,3098,0,0.06914464033825296,0.07029684314239007,69.64746025157109,73.20310963788891,0.1084868176886515,0.08428462135254229,1.0941178800148919,1.0104173063023572,1.0716517474545804,0.9426531144997039,42.150565237139276,29.295606562628965,95.14,95.14,56.49999999999999,77.15,99.26,99.26,90.25,100.0,100.0,100.0,100.0,100.0,99.91,99.91,98.25,99.85,95.14,95.14,56.49999999999999,77.15,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,95.41,95.41,59.75,78.2,99.55000000000001,99.55,94.0,100.0,100.0,100.0,100.0,100.0,99.99,99.99,99.75,100.0,95.41,95.41,59.75,78.2,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
champion,14,same_xx,factory_prepolish_deep_defect,10,25194,fail_max_passes,False,True,3252,3155,0,0.1002120800834117,0.03383936310074719,66.47004923654912,69.85996831877016,0.12309646589451749,0.11355272370752036,1.1537990240237557,1.0779934385970777,0.6128599569606774,0.47859646176694814,40.89187873791161,29.519371842417673,95.55,95.55,66.5,81.85,99.9,99.9,97.5,100.0,100.0,100.0,100.0,100.0,99.6,99.6,95.5,99.2,95.55,95.55,66.5,81.85,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,95.75,95.75,67.75,82.3,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.82,99.82,97.5,99.75,95.75,95.75,67.75,82.3,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
champion,14,same_xx,factory_prepolish_deep_stress,14,25194,fail_max_passes,False,True,3258,3161,0,0.10347538202671715,0.030619957197876045,66.38474815416357,69.79743406266694,0.12440285543518982,0.11576186763138895,1.3121361363270914,1.2385689213485196,0.9820850052911765,0.8421570028415484,40.891967640659935,29.5313556497344,95.52000000000001,95.52,66.5,81.55,99.6,99.6,93.5,100.0,100.0,100.0,100.0,100.0,99.6,99.6,95.5,99.15,95.52000000000001,95.52,66.5,81.55,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,95.67,95.67,67.75,81.85,99.72,99.72,95.5,100.0,100.0,100.0,100.0,100.0,99.83999999999999,99.84,97.5,100.0,95.67,95.67,67.75,81.85,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
champion,14,same_xx,factory_prepolish,4,25000,success,True,True,3447,3349,0,0.20033666618818957,-0.08108588377479059,70.83950682478162,73.23480582693237,0.10431384569920364,0.07559929030967064,1.027068912604268,0.8267863972377676,0.63429407594242,0.5155796326168721,41.74205329325631,28.90543637744519,95.63000000000001,95.63,70.5,80.55,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.82,99.82,97.5,99.55,95.63000000000001,95.63,70.5,80.55,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,96.07,96.07,74.5,82.15,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.97,99.97,99.25,100.0,96.07,96.07,74.5,82.15,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
