policy_label,direction_mode,sequences,safety_pass,quality_pass,sensor_fault_steps,mean_gu_final,mean_ra_final_um,mean_rz_final_um,mean_scratch_final_um,mean_clearcoat_min_um,mean_temperature_peak_c,mean_control_steps,mean_final_all4_pass_area_pct,surface_profile,tiles_total,tiles_all4_area_100pct,tiles_all4_area_ge95pct,tiles_all4_area_ge90pct,tiles_all4_area_ge80pct,all4_cells_pass,surface_cells_total,all4_cell_area_pct
champion,cross_xy,4,4,4,0,74.07260310325938,0.0856695751981745,0.8054514557046974,0.28265900767627083,41.44018226590638,27.263223862184812,2865.0,97.72,factory_prepolish,100,84,90,90,95,39088,40000,97.72
champion,cross_xy,4,4,3,0,72.9960310057908,0.09350061476749587,1.0374954062094992,0.6126336221044972,41.421046352379776,29.468154354961307,3249.0,96.0075,factory_prepolish_deep_defect,100,78,84,84,90,38403,40000,96.0075
champion,cross_xy,4,4,3,0,72.68713988531063,0.09645853336097222,1.29475876058917,1.0099195492125013,41.4216149477064,29.476033667990926,3254.25,95.9625,factory_prepolish_deep_stress,100,78,84,84,89,38385,40000,95.9625
champion,cross_xy,4,4,0,0,62.30811532476974,0.15376838955187694,2.032074791372002,1.387865110185138,43.36484272553667,29.815994252094434,5227.5,77.375,legacy_stress,100,27,38,41,49,30950,40000,77.375
champion,same_xx,4,4,4,0,74.17652519869831,0.08531595300112876,0.8082946790742465,0.2793506835647067,41.43815430990564,26.878935916114585,2882.5,97.7475,factory_prepolish,100,84,90,90,96,39099,40000,97.7475
champion,same_xx,4,4,3,0,73.04830857019081,0.09308095494329396,1.038076870807636,0.6071852575398553,41.43011276715064,29.26338590750337,3267.25,96.05,factory_prepolish_deep_defect,100,78,84,84,91,38420,40000,96.05
champion,same_xx,4,4,3,0,72.75809228814893,0.09599783924690998,1.296373687327892,1.0056202284120972,41.431130018993066,29.27215995026331,3267.5,95.985,factory_prepolish_deep_stress,100,78,84,84,90,38394,40000,95.985
champion,same_xx,4,4,0,0,62.35652047046637,0.1565556883738636,2.032868346346846,1.3894606200673492,43.36581027994807,29.56276849330512,5234.0,77.45250000000001,legacy_stress,100,27,38,41,49,30981,40000,77.4525
s20260831_it211,cross_xy,4,4,4,0,74.6571307465547,0.08330886626456793,0.7969474021608852,0.2581930831293915,41.353753099497496,28.92516686370009,3377.5,97.97,factory_prepolish,100,84,90,91,96,39188,40000,97.97
s20260831_it211,cross_xy,4,4,4,0,73.64948665571097,0.08808132957119395,1.014038012458962,0.6022460455167749,41.33760049317109,29.551676383158227,3696.5,96.285,factory_prepolish_deep_defect,100,78,84,85,91,38514,40000,96.285
