policy_label,direction_mode,sequences,safety_pass,quality_pass,sensor_fault_steps,mean_gu_final,mean_ra_final_um,mean_rz_final_um,mean_scratch_final_um,mean_clearcoat_min_um,mean_temperature_peak_c,mean_control_steps,mean_final_all4_pass_area_pct
champion,cross_xy,16,16,10,0,70.51597232978264,0.10734927821962989,1.2924451034688422,0.8232693222946017,41.91192157288231,29.005851534307872,3648.9375,91.76625
champion,same_xx,16,16,10,0,70.58486163187611,0.10773760889129909,1.2939033958891553,0.8204041973960021,41.91630184399936,28.74431256679659,3662.8125,91.80875
s20260831_it211,cross_xy,16,16,12,0,71.06200354166839,0.10203778019053425,1.2712744670071146,0.8104852308847679,41.83823631302726,29.465355946151995,4066.4375,92.016875
s20260831_it211,same_xx,16,16,12,0,71.01892156339099,0.10227904395378618,1.273361972957749,0.8068099982796246,41.8471366848554,29.230149091214244,4076.0,92.025625
s20260832_it260,cross_xy,16,16,13,0,71.31889939507931,0.09414668414773178,1.2197991797066434,0.7987505604650222,41.68754289026698,29.511783005563668,4873.8125,92.240625
s20260832_it260,same_xx,16,16,13,0,71.34921206958235,0.0938243499655426,1.216013070894399,0.7948024952576281,41.692671409288565,29.31047028656468,4891.6875,92.35000000000001
s20260833_it211,cross_xy,16,16,13,0,71.08226324692984,0.08604576109105141,1.14648132575244,0.8023224122842286,41.54359605468933,29.522511833100555,6299.375,92.376875
s20260833_it211,same_xx,16,16,13,0,71.13441144942954,0.08695845537068163,1.1462995987305662,0.8014393339724272,41.542115763879195,29.43662007357842,6301.1875,92.4725
champion,same_xx+cross_xy,32,32,20,0,70.55041698082938,0.10754344355546448,1.2931742496789989,0.8218367598453019,41.91411170844083,28.875082050552237,3655.875,91.78750000000002
s20260831_it211,same_xx+cross_xy,32,32,24,0,71.0404625525297,0.10215841207216023,1.2723182199824319,0.8086476145821961,41.842686498941326,29.34775251868312,4071.21875,92.02124999999998
s20260832_it260,same_xx+cross_xy,32,32,26,0,71.33405573233081,0.09398551705663717,1.2179061253005212,0.7967765278613252,41.69010714977777,29.41112664606417,4882.75,92.2953125
s20260833_it211,same_xx+cross_xy,32,32,26,0,71.10833734817969,0.08650210823086653,1.146390462241503,0.8018808731283277,41.542855909284256,29.479565953339495,6300.28125,92.42468749999998
