policy_label,direction_mode,tiles_total,tiles_all4_area_100pct,tiles_all4_area_ge95pct,tiles_all4_area_ge90pct,tiles_all4_area_ge80pct,all4_cells_pass,surface_cells_total,all4_cell_area_pct
champion,cross_xy,400,267,296,299,323,146826,160000,91.76625
champion,same_xx,400,267,296,299,326,146894,160000,91.80875
s20260831_it211,cross_xy,400,267,296,303,326,147227,160000,92.016875
s20260831_it211,same_xx,400,267,296,303,327,147241,160000,92.025625
s20260832_it260,cross_xy,400,270,300,307,328,147585,160000,92.240625
s20260832_it260,same_xx,400,270,303,308,327,147760,160000,92.35
s20260833_it211,cross_xy,400,272,306,308,330,147803,160000,92.376875
s20260833_it211,same_xx,400,278,307,309,328,147956,160000,92.4725
champion,same_xx+cross_xy,800,534,592,598,649,293720,320000,91.7875
s20260831_it211,same_xx+cross_xy,800,534,592,606,653,294468,320000,92.02125
s20260832_it260,same_xx+cross_xy,800,540,603,615,655,295345,320000,92.2953125
s20260833_it211,same_xx+cross_xy,800,550,613,617,658,295759,320000,92.4246875
