policy_label,direction_mode,sequences,safety_pass,quality_pass,sensor_fault_steps,mean_gu_final,mean_ra_final_um,mean_rz_final_um,mean_scratch_final_um,mean_clearcoat_min_um,mean_temperature_peak_c,mean_control_steps,mean_final_all4_pass_area_pct,training_seed,checkpoint_iteration,nominal_samples
s20260831_it52,same_xx,8,8,4,0,68.15360376190407,0.11145181444449132,1.2303939724240818,0.9530323144276457,42.358557706834105,28.739996329930882,3738.75,91.59625,20260831,52,30528
s20260831_it105,same_xx,8,8,4,0,68.80568596813312,0.1116798602126245,1.2241833952282193,0.9483368347571831,42.355657661394716,28.97794275178866,3896.25,91.70375000000001,20260831,105,61056
s20260831_it158,same_xx,8,8,4,0,69.19086776615814,0.1128341647360404,1.2263244446346802,0.9424698180709167,42.353985321006775,29.353938097312312,4041.25,91.80624999999999,20260831,158,91584
s20260831_it211,same_xx,8,8,4,0,69.36177038144999,0.10524590067867814,1.1863569895201531,0.9357724193967318,42.329609474264515,29.409436614670803,4346.25,91.88000000000001,20260831,211,122112
s20260831_it260,same_xx,8,8,4,0,69.24845285280257,0.1118243032892734,1.2166535417359725,0.9420745025642263,42.35634355878994,29.420913420438588,4092.375,91.83749999999999,20260831,260,150336
s20260832_it52,same_xx,8,8,4,0,68.48246983340601,0.1143561934452691,1.242233431673211,0.9504997709169084,42.36397943159821,29.276762027022283,3750.625,91.5725,20260832,52,30528
s20260832_it105,same_xx,8,8,4,0,68.8933410282685,0.11594358229273458,1.237133061939935,0.9474810408009207,42.36204279606965,29.235808664621374,3866.375,91.7275,20260832,105,61056
s20260832_it158,same_xx,8,8,4,0,69.04085122527765,0.11690379300820154,1.2401764383115421,0.9454144748428626,42.36185753661966,29.383174958305577,3962.75,91.7925,20260832,158,91584
s20260832_it211,same_xx,8,8,4,0,69.2030216780942,0.1116515448296528,1.2155395252579309,0.9392606776770618,42.35648952508773,29.429236835267716,4281.5,91.83625,20260832,211,122112
s20260832_it260,same_xx,8,8,5,0,69.6132763289307,0.09283063141684188,1.118841140329356,0.9210726859306564,42.23686450133964,29.47434439337789,5142.125,92.31,20260832,260,150336
s20260833_it52,same_xx,8,8,5,0,69.31656961771725,0.09870472176264047,1.161920589135882,0.937111640938532,42.298122137194525,29.127756376907072,4444.5,91.87375,20260833,52,30528
s20260833_it105,same_xx,8,8,5,0,69.49855485755278,0.10126433392877364,1.1723900133874425,0.9326812853132503,42.280325290652684,29.386991588204925,4813.625,92.00125000000001,20260833,105,61056
s20260833_it158,same_xx,8,8,5,0,69.5587552579009,0.09812325511904442,1.1525803961836947,0.92852542684047,42.27117922932999,29.452130371366028,4916.875,92.05250000000001,20260833,158,91584
s20260833_it211,same_xx,8,8,6,0,69.52192433239316,0.08478232155243576,1.0582994259635332,0.9173951110985477,42.152640721391556,29.573249018069735,6432.625,92.53125000000001,20260833,211,122112
s20260833_it260,same_xx,8,8,5,0,69.02814116630847,0.09129398722779983,1.0850986479396092,0.9338652625076508,42.17998692895255,29.594995616950175,5956.375,92.23124999999999,20260833,260,150336
