policy_label,direction_mode,tiles_total,tiles_all4_area_100pct,tiles_all4_area_ge95pct,tiles_all4_area_ge90pct,tiles_all4_area_ge80pct,all4_cells_pass,surface_cells_total,all4_cell_area_pct
s20260831_it105,same_xx,200,121,139,143,161,73363,80000,91.70375
s20260831_it158,same_xx,200,121,139,144,162,73445,80000,91.80625
s20260831_it211,same_xx,200,121,139,145,161,73504,80000,91.88
s20260831_it260,same_xx,200,121,139,144,162,73470,80000,91.8375
s20260831_it52,same_xx,200,121,139,142,161,73277,80000,91.59625
s20260832_it105,same_xx,200,121,139,142,161,73382,80000,91.7275
s20260832_it158,same_xx,200,121,139,142,161,73434,80000,91.7925
s20260832_it211,same_xx,200,122,139,145,162,73469,80000,91.83625
s20260832_it260,same_xx,200,122,139,145,168,73848,80000,92.31
s20260832_it52,same_xx,200,121,139,142,161,73258,80000,91.5725
s20260833_it105,same_xx,200,121,139,145,162,73601,80000,92.00125
s20260833_it158,same_xx,200,121,139,145,162,73642,80000,92.0525
s20260833_it211,same_xx,200,123,139,145,169,74025,80000,92.53125
s20260833_it260,same_xx,200,126,139,145,167,73785,80000,92.23125
s20260833_it52,same_xx,200,121,139,145,161,73499,80000,91.87375
