policy_label,observation_dim,direction_mode,surface_profile,env,profile_seed,outcome,quality_ok,safety_ok,control_steps,contact_steps,sensor_fault_steps,force_action_mean,feed_action_mean,gu_before,gu_final,ra_before_um,ra_final_um,rz_before_um,rz_final_um,scratch_before_um,scratch_final_um,clearcoat_min_um,temperature_peak_c,before_gu_pass_area_pct,before_tile_gu_pass_area_pct_mean,before_tile_gu_pass_area_pct_min,before_tile_gu_pass_area_pct_p10,before_ra_pass_area_pct,before_tile_ra_pass_area_pct_mean,before_tile_ra_pass_area_pct_min,before_tile_ra_pass_area_pct_p10,before_rz_pass_area_pct,before_tile_rz_pass_area_pct_mean,before_tile_rz_pass_area_pct_min,before_tile_rz_pass_area_pct_p10,before_scratch_pass_area_pct,before_tile_scratch_pass_area_pct_mean,before_tile_scratch_pass_area_pct_min,before_tile_scratch_pass_area_pct_p10,before_all4_pass_area_pct,before_tile_all4_pass_area_pct_mean,before_tile_all4_pass_area_pct_min,before_tile_all4_pass_area_pct_p10,before_clearcoat_pass_area_pct,before_tile_clearcoat_pass_area_pct_mean,before_tile_clearcoat_pass_area_pct_min,before_tile_clearcoat_pass_area_pct_p10,before_temperature_pass_area_pct,before_tile_temperature_pass_area_pct_mean,before_tile_temperature_pass_area_pct_min,before_tile_temperature_pass_area_pct_p10,final_gu_pass_area_pct,final_tile_gu_pass_area_pct_mean,final_tile_gu_pass_area_pct_min,final_tile_gu_pass_area_pct_p10,final_ra_pass_area_pct,final_tile_ra_pass_area_pct_mean,final_tile_ra_pass_area_pct_min,final_tile_ra_pass_area_pct_p10,final_rz_pass_area_pct,final_tile_rz_pass_area_pct_mean,final_tile_rz_pass_area_pct_min,final_tile_rz_pass_area_pct_p10,final_scratch_pass_area_pct,final_tile_scratch_pass_area_pct_mean,final_tile_scratch_pass_area_pct_min,final_tile_scratch_pass_area_pct_p10,final_all4_pass_area_pct,final_tile_all4_pass_area_pct_mean,final_tile_all4_pass_area_pct_min,final_tile_all4_pass_area_pct_p10,final_clearcoat_pass_area_pct,final_tile_clearcoat_pass_area_pct_mean,final_tile_clearcoat_pass_area_pct_min,final_tile_clearcoat_pass_area_pct_p10,final_temperature_pass_area_pct,final_tile_temperature_pass_area_pct_mean,final_tile_temperature_pass_area_pct_min,final_tile_temperature_pass_area_pct_p10
candidate,14,cross_xy,factory_prepolish,15,26679,success,True,True,4200,4102,0,0.9986806258630185,-0.42479700733419684,75.64394806597565,76.84412999921312,0.10490623180947817,0.07753601620692847,0.8648581474343022,0.68001406206857,0.0,0.0,41.759338558593605,28.449463007603125,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
candidate,14,cross_xy,factory_prepolish,11,26291,success,True,True,4207,4109,0,0.9993289990325367,-0.4278257072471314,75.6077549012029,76.72196017002813,0.10592837103751843,0.0705438557346321,0.7960432770474447,0.6138099718684609,0.0,0.0,42.183296764196804,28.35339472646209,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
candidate,14,cross_xy,factory_prepolish,12,26388,success,True,True,4281,4183,0,0.9985060907780247,-0.45484374513855275,75.3308622879178,76.74983351764898,0.10546484339364065,0.07409622325137086,0.8908009228791719,0.7610680641505962,0.0,0.0,42.21503072358211,28.465047709119123,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
candidate,14,cross_xy,factory_prepolish,10,26194,success,True,True,4344,4246,0,0.9985243089044291,-0.477310960049849,73.86747761721357,76.70785509210329,0.11760511284093447,0.07919180169514393,0.9667661588871749,0.7780015779519356,0.0,0.0,42.67172014589044,28.472616776074876,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
candidate,14,cross_xy,factory_prepolish,9,26097,success,True,True,4560,4462,0,0.9978588219928114,-0.5495406636649645,70.7486571027992,75.38460653694416,0.11440835420066865,0.06830804814634812,0.8477917523100875,0.6138021763502335,0.270848360666691,0.16428421264751775,43.778126990537494,28.87275512229046,97.98,97.98,75.75,96.25,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.83,99.83,97.75,100.0,97.98,97.98,75.75,96.25,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,98.28,98.28,78.5,97.45,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,98.28,98.28,78.5,97.45,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
candidate,14,cross_xy,factory_prepolish_deep_defect,19,26291,success,True,True,4572,4474,0,0.9988197862111156,-0.553322815843096,70.26115949803926,73.91759428432553,0.10940062169623739,0.092259472233446,1.1515541581230755,1.0480347662674303,0.8218893194838632,0.7000124868901179,42.18302927035586,29.133405967147294,97.55,97.55,66.0,93.85000000000001,99.63,99.63,94.25,100.0,100.0,100.0,100.0,100.0,99.91,99.91,99.0,99.85,97.55,97.55,66.0,93.85000000000001,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,97.69,97.69,69.0,94.15,99.96000000000001,99.96,99.5,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,97.69,97.69,69.0,94.15,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
candidate,14,cross_xy,factory_prepolish_deep_stress,27,26291,success,True,True,4577,4479,0,0.9988372750174981,-0.5549477956243314,71.02019180771813,73.51447837065278,0.11153204967965862,0.09562378304857122,1.4237450834883005,1.324451497078915,1.251561041835827,1.112552506093405,42.18333465482902,29.132978547719848,97.44,97.44,64.5,93.65,98.8,98.8,81.5,98.95,100.0,100.0,100.0,100.0,99.96000000000001,99.96,99.5,99.85,97.44,97.44,64.5,93.65,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,97.56,97.56,66.75,93.75,99.33,99.33,90.75,99.55,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,97.56,97.56,66.75,93.75,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
candidate,14,cross_xy,factory_prepolish,8,26000,success,True,True,4583,4485,0,0.9986137586105034,-0.5566748034452055,66.60621794650334,73.64090899820208,0.11265121937064759,0.08356607992224076,0.9300532187858626,0.7590880666230143,0.3012345480455421,0.22466374753523555,42.427889867948245,29.50846658067685,94.0,94.0,60.5,71.9,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.59,99.59,96.0,98.25,94.0,94.0,60.5,71.9,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,96.11,96.11,67.75,88.95,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.98,99.98,99.5,100.0,96.11,96.11,67.75,88.95,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
candidate,14,cross_xy,factory_prepolish_deep_defect,20,26388,success,True,True,4591,4493,0,0.9977268666204246,-0.5589890283074184,73.293865210286,75.623395786751,0.10634657157755992,0.0778281871213365,0.997883217192872,0.845421966423741,0.7254809019608968,0.5400179509129641,42.21422331624849,29.377666749811866,98.28,98.28,68.75,100.0,99.74,99.74,95.25,100.0,100.0,100.0,100.0,100.0,99.97,99.97,99.25,100.0,98.28,98.28,68.75,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,98.56,98.56,72.5,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,98.56,98.56,72.5,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
candidate,14,cross_xy,factory_prepolish_deep_stress,28,26388,success,True,True,4595,4497,0,0.9982883411470772,-0.5605503332603549,73.15423023658643,75.27704549726538,0.10773656136028367,0.07986266126467098,1.1733672598917155,1.017128953523598,1.1149113283338088,0.9527392078148237,42.214367645915644,29.394903497295438,98.29,98.29,69.0,100.0,99.22,99.22,86.5,100.0,100.0,100.0,100.0,100.0,99.97,99.97,99.25,100.0,98.29,98.29,69.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,98.33,98.33,69.75,100.0,99.65,99.65,93.75,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,98.33,98.33,69.75,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
