policy_label,observation_dim,direction_mode,surface_profile,env,profile_seed,tile_i,tile_j,cell_count,local_gu_mean,local_ra_mean_um,local_rz_mean_um,gu_pass_area_pct,ra_pass_area_pct,rz_pass_area_pct,scratch_pass_area_pct,all4_pass_area_pct,clearcoat_pass_area_pct,temperature_pass_area_pct
candidate,14,cross_xy,factory_prepolish,15,26679,0,0,400,77.54295929888117,0.020020434706316443,0.06779842393581811,100.0,100.0,100.0,100.0,100.0,100.0,100.0
candidate,14,cross_xy,factory_prepolish,15,26679,0,1,400,77.43978777872648,0.014111989062282788,0.04771976030349224,100.0,100.0,100.0,100.0,100.0,100.0,100.0
candidate,14,cross_xy,factory_prepolish,15,26679,0,2,400,77.31875760814064,0.015772071914469454,0.05340416428491614,100.0,100.0,100.0,100.0,100.0,100.0,100.0
candidate,14,cross_xy,factory_prepolish,15,26679,0,3,400,77.43911881210533,0.013618207403177637,0.045727754068198276,100.0,100.0,100.0,100.0,100.0,100.0,100.0
candidate,14,cross_xy,factory_prepolish,15,26679,0,4,400,77.40581931118025,0.016084214536705797,0.05464492853212139,100.0,100.0,100.0,100.0,100.0,100.0,100.0
candidate,14,cross_xy,factory_prepolish,15,26679,1,0,400,77.38147944935719,0.01692649916572869,0.05753016891060999,100.0,100.0,100.0,100.0,100.0,100.0,100.0
candidate,14,cross_xy,factory_prepolish,15,26679,1,1,400,77.3054875337425,0.011691683132705504,0.03927301449345997,100.0,100.0,100.0,100.0,100.0,100.0,100.0
candidate,14,cross_xy,factory_prepolish,15,26679,1,2,400,77.23177956872628,0.012906152841864495,0.043440998553261084,100.0,100.0,100.0,100.0,100.0,100.0,100.0
candidate,14,cross_xy,factory_prepolish,15,26679,1,3,400,77.2625915262961,0.012759497905898278,0.043407686198198306,100.0,100.0,100.0,100.0,100.0,100.0,100.0
candidate,14,cross_xy,factory_prepolish,15,26679,1,4,400,77.51366725845244,0.012725541690324573,0.043195654123943494,100.0,100.0,100.0,100.0,100.0,100.0,100.0
candidate,14,cross_xy,factory_prepolish,15,26679,2,0,400,77.3537576256848,0.014002574723673188,0.0474495183197032,100.0,100.0,100.0,100.0,100.0,100.0,100.0
candidate,14,cross_xy,factory_prepolish,15,26679,2,1,400,77.37531087929894,0.01076527557798662,0.036713832657583635,100.0,100.0,100.0,100.0,100.0,100.0,100.0
candidate,14,cross_xy,factory_prepolish,15,26679,2,2,400,77.41659534620993,0.010622293250136704,0.03602773133878029,100.0,100.0,100.0,100.0,100.0,100.0,100.0
candidate,14,cross_xy,factory_prepolish,15,26679,2,3,400,77.2953963140111,0.013028145367639939,0.04407393300153366,100.0,100.0,100.0,100.0,100.0,100.0,100.0
candidate,14,cross_xy,factory_prepolish,15,26679,2,4,400,77.51470452822772,0.011785101401927272,0.03948857978433366,100.0,100.0,100.0,100.0,100.0,100.0,100.0
candidate,14,cross_xy,factory_prepolish,15,26679,3,0,400,77.44895080381211,0.018510410671641445,0.06330832091595823,100.0,100.0,100.0,100.0,100.0,100.0,100.0
candidate,14,cross_xy,factory_prepolish,15,26679,3,1,400,77.3319594308849,0.01329453483283121,0.04475951452886715,100.0,100.0,100.0,100.0,100.0,100.0,100.0
candidate,14,cross_xy,factory_prepolish,15,26679,3,2,400,77.23531566598693,0.017230834588114134,0.05878622593856196,100.0,100.0,100.0,100.0,100.0,100.0,100.0
candidate,14,cross_xy,factory_prepolish,15,26679,3,3,400,77.23139319341922,0.017807688912596754,0.05980974169090711,100.0,100.0,100.0,100.0,100.0,100.0,100.0
candidate,14,cross_xy,factory_prepolish,15,26679,3,4,400,77.29605096105875,0.020623284932290008,0.06933604918386144,100.0,100.0,100.0,100.0,100.0,100.0,100.0
candidate,14,cross_xy,factory_prepolish,15,26679,4,0,400,77.54992730252091,0.015132867933142684,0.051545242333195594,100.0,100.0,100.0,100.0,100.0,100.0,100.0
candidate,14,cross_xy,factory_prepolish,15,26679,4,1,400,77.33439089155128,0.0190673869739428,0.06487462805315795,100.0,100.0,100.0,100.0,100.0,100.0,100.0
candidate,14,cross_xy,factory_prepolish,15,26679,4,2,400,77.37913624387032,0.017276189088170878,0.05862074595964488,100.0,100.0,100.0,100.0,100.0,100.0,100.0
candidate,14,cross_xy,factory_prepolish,15,26679,4,3,400,77.43399765721202,0.014339318670338698,0.049211957987251725,100.0,100.0,100.0,100.0,100.0,100.0,100.0
candidate,14,cross_xy,factory_prepolish,15,26679,4,4,400,77.46053274511392,0.020294396607323878,0.069130065115165,100.0,100.0,100.0,100.0,100.0,100.0,100.0
candidate,14,cross_xy,factory_prepolish,11,26291,0,0,400,77.51786935920858,0.022197977825949126,0.07525348792856762,100.0,100.0,100.0,100.0,100.0,100.0,100.0
candidate,14,cross_xy,factory_prepolish,11,26291,0,1,400,77.38576218104552,0.01727953534697918,0.058199695600200683,100.0,100.0,100.0,100.0,100.0,100.0,100.0
candidate,14,cross_xy,factory_prepolish,11,26291,0,2,400,77.34102963242944,0.01517490624514644,0.051518540092396224,100.0,100.0,100.0,100.0,100.0,100.0,100.0
candidate,14,cross_xy,factory_prepolish,11,26291,0,3,400,77.3589028800515,0.0166312526941326,0.05593501153809804,100.0,100.0,100.0,100.0,100.0,100.0,100.0
candidate,14,cross_xy,factory_prepolish,11,26291,0,4,400,77.43003492799093,0.016675979680897367,0.05698137409301975,100.0,100.0,100.0,100.0,100.0,100.0,100.0
candidate,14,cross_xy,factory_prepolish,11,26291,1,0,400,77.49176805184291,0.01147028417701932,0.039437722180353844,100.0,100.0,100.0,100.0,100.0,100.0,100.0
candidate,14,cross_xy,factory_prepolish,11,26291,1,1,400,77.33259667425347,0.011602779954707026,0.03924571198618872,100.0,100.0,100.0,100.0,100.0,100.0,100.0
candidate,14,cross_xy,factory_prepolish,11,26291,1,2,400,77.39129067992744,0.010248153120772381,0.03490064289046362,100.0,100.0,100.0,100.0,100.0,100.0,100.0
candidate,14,cross_xy,factory_prepolish,11,26291,1,3,400,77.31219579926656,0.010405553046887905,0.03545764847911978,100.0,100.0,100.0,100.0,100.0,100.0,100.0
candidate,14,cross_xy,factory_prepolish,11,26291,1,4,400,77.3682118807508,0.01602695306676198,0.05364080959728593,100.0,100.0,100.0,100.0,100.0,100.0,100.0
candidate,14,cross_xy,factory_prepolish,11,26291,2,0,400,77.42999943853626,0.013950071068926692,0.04752899251982832,100.0,100.0,100.0,100.0,100.0,100.0,100.0
candidate,14,cross_xy,factory_prepolish,11,26291,2,1,400,77.27053314304929,0.01150089880947961,0.03846824165493468,100.0,100.0,100.0,100.0,100.0,100.0,100.0
candidate,14,cross_xy,factory_prepolish,11,26291,2,2,400,77.2447528367315,0.010757613320415346,0.036575395316863185,100.0,100.0,100.0,100.0,100.0,100.0,100.0
candidate,14,cross_xy,factory_prepolish,11,26291,2,3,400,77.44828277311728,0.009967083496352589,0.033961107860350864,100.0,100.0,100.0,100.0,100.0,100.0,100.0
candidate,14,cross_xy,factory_prepolish,11,26291,2,4,400,77.43861273952821,0.014136464537120275,0.04796943239371019,100.0,100.0,100.0,100.0,100.0,100.0,100.0
candidate,14,cross_xy,factory_prepolish,11,26291,3,0,400,77.40535443841536,0.01710750985780378,0.05838730476558467,100.0,100.0,100.0,100.0,100.0,100.0,100.0
candidate,14,cross_xy,factory_prepolish,11,26291,3,1,400,77.36080332525712,0.012224983698118672,0.04124663664190162,100.0,100.0,100.0,100.0,100.0,100.0,100.0
candidate,14,cross_xy,factory_prepolish,11,26291,3,2,400,77.36749976403502,0.01236758654855353,0.04150897397925654,100.0,100.0,100.0,100.0,100.0,100.0,100.0
candidate,14,cross_xy,factory_prepolish,11,26291,3,3,400,77.19867438822945,0.015705691289429776,0.05284497879803823,100.0,100.0,100.0,100.0,100.0,100.0,100.0
candidate,14,cross_xy,factory_prepolish,11,26291,3,4,400,77.44743059540205,0.01384049271042803,0.04671434299510947,100.0,100.0,100.0,100.0,100.0,100.0,100.0
