policy_label,observation_dim,direction_mode,surface_profile,env,profile_seed,outcome,quality_ok,safety_ok,control_steps,contact_steps,sensor_fault_steps,force_action_mean,feed_action_mean,gu_before,gu_final,ra_before_um,ra_final_um,rz_before_um,rz_final_um,scratch_before_um,scratch_final_um,clearcoat_min_um,temperature_peak_c,before_gu_pass_area_pct,before_tile_gu_pass_area_pct_mean,before_tile_gu_pass_area_pct_min,before_tile_gu_pass_area_pct_p10,before_ra_pass_area_pct,before_tile_ra_pass_area_pct_mean,before_tile_ra_pass_area_pct_min,before_tile_ra_pass_area_pct_p10,before_rz_pass_area_pct,before_tile_rz_pass_area_pct_mean,before_tile_rz_pass_area_pct_min,before_tile_rz_pass_area_pct_p10,before_scratch_pass_area_pct,before_tile_scratch_pass_area_pct_mean,before_tile_scratch_pass_area_pct_min,before_tile_scratch_pass_area_pct_p10,before_all4_pass_area_pct,before_tile_all4_pass_area_pct_mean,before_tile_all4_pass_area_pct_min,before_tile_all4_pass_area_pct_p10,before_clearcoat_pass_area_pct,before_tile_clearcoat_pass_area_pct_mean,before_tile_clearcoat_pass_area_pct_min,before_tile_clearcoat_pass_area_pct_p10,before_temperature_pass_area_pct,before_tile_temperature_pass_area_pct_mean,before_tile_temperature_pass_area_pct_min,before_tile_temperature_pass_area_pct_p10,final_gu_pass_area_pct,final_tile_gu_pass_area_pct_mean,final_tile_gu_pass_area_pct_min,final_tile_gu_pass_area_pct_p10,final_ra_pass_area_pct,final_tile_ra_pass_area_pct_mean,final_tile_ra_pass_area_pct_min,final_tile_ra_pass_area_pct_p10,final_rz_pass_area_pct,final_tile_rz_pass_area_pct_mean,final_tile_rz_pass_area_pct_min,final_tile_rz_pass_area_pct_p10,final_scratch_pass_area_pct,final_tile_scratch_pass_area_pct_mean,final_tile_scratch_pass_area_pct_min,final_tile_scratch_pass_area_pct_p10,final_all4_pass_area_pct,final_tile_all4_pass_area_pct_mean,final_tile_all4_pass_area_pct_min,final_tile_all4_pass_area_pct_p10,final_clearcoat_pass_area_pct,final_tile_clearcoat_pass_area_pct_mean,final_tile_clearcoat_pass_area_pct_min,final_tile_clearcoat_pass_area_pct_p10,final_temperature_pass_area_pct,final_tile_temperature_pass_area_pct_mean,final_tile_temperature_pass_area_pct_min,final_tile_temperature_pass_area_pct_p10
candidate,14,same_xx,factory_prepolish,15,26679,success,True,True,4195,4097,0,0.9991955591327953,-0.42298837943675266,75.64394806597565,76.83648707245206,0.10490623180947817,0.07815895230753053,0.8648581474343022,0.6874716530037734,0.0,0.0,41.758454363418956,28.403076127087935,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
candidate,14,same_xx,factory_prepolish,11,26291,success,True,True,4209,4111,0,0.999339394938722,-0.42831156851206464,75.6077549012029,76.72820707045966,0.10592837103751843,0.07262954126478507,0.7960432770474447,0.6101064446544942,0.0,0.0,42.19089899688135,28.31362088371231,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
candidate,14,same_xx,factory_prepolish,12,26388,success,True,True,4285,4187,0,0.998867405476342,-0.45613712353877456,75.3308622879178,76.74679727742345,0.10546484339364065,0.07475307904076658,0.8908009228791719,0.764535772401987,0.0,0.0,42.20542428189078,28.465047709119123,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
candidate,14,same_xx,factory_prepolish,10,26194,success,True,True,4345,4247,0,0.9992204621279884,-0.4777139825697118,73.86747761721357,76.69897096076176,0.11760511284093447,0.07852615488392685,0.9667661588871749,0.7760867603725902,0.0,0.0,42.666530030628586,28.362200456205404,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
candidate,14,same_xx,factory_prepolish_deep_defect,16,26000,success,True,True,4526,4428,0,0.9122031608327295,-0.5386763242185708,62.661844839824255,70.47565598527812,0.11394112448771725,0.0890955054122346,1.0596975136523263,0.9186511526466565,0.6747151492639036,0.5439033494511833,42.425496547375985,29.508557449203384,92.9,92.9,60.5,71.9,99.96000000000001,99.96,99.0,100.0,100.0,100.0,100.0,100.0,99.49,99.49,96.0,97.75,92.9,92.9,60.5,71.9,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,94.97,94.97,67.5,81.8,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.95,99.95,99.25,99.85,94.97,94.97,67.5,81.8,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
candidate,14,same_xx,factory_prepolish_deep_defect,20,26388,success,True,True,4556,4458,0,0.9988641156189477,-0.5481561491956004,73.293865210286,75.59997364868205,0.10634657157755992,0.07540312593191136,0.997883217192872,0.8420504313695143,0.7254809019608968,0.5528495289817691,42.20509994061994,29.377666749811866,98.28,98.28,68.75,100.0,99.74,99.74,95.25,100.0,100.0,100.0,100.0,100.0,99.97,99.97,99.25,100.0,98.28,98.28,68.75,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,98.54,98.54,72.25,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,98.54,98.54,72.25,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
candidate,14,same_xx,factory_prepolish,9,26097,success,True,True,4558,4460,0,0.9977493885644647,-0.5488482043588433,70.7486571027992,75.35960565182882,0.11440835420066865,0.06968871571507189,0.8477917523100875,0.6093858184319936,0.270848360666691,0.16499806224536012,43.77273061960094,28.87275512229046,97.98,97.98,75.75,96.25,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.83,99.83,97.75,100.0,97.98,97.98,75.75,96.25,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,98.25,98.25,78.75,97.45,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,98.25,98.25,78.75,97.45,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
candidate,14,same_xx,factory_prepolish_deep_stress,24,26000,success,True,True,4559,4461,0,0.9118825015000122,-0.5491634411318544,62.660238673326724,71.14887505719112,0.11483521429194266,0.08919901736294118,1.294002779326744,1.1493893641479,1.041999864460918,0.9044470374917641,42.425323467103496,29.50859923103648,92.9,92.9,60.5,71.9,99.68,99.68,92.0,100.0,100.0,100.0,100.0,100.0,99.47,99.47,96.0,97.75,92.9,92.9,60.5,71.9,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,94.96,94.96,67.5,81.7,99.76,99.76,94.0,100.0,100.0,100.0,100.0,100.0,99.95,99.95,99.25,99.85,94.96,94.96,67.5,81.7,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
candidate,14,same_xx,factory_prepolish_deep_stress,28,26388,success,True,True,4560,4462,0,0.9992414198292975,-0.5493715187559198,73.15423023658643,75.24208863552727,0.10773656136028367,0.07757354790686297,1.1733672598917155,1.0145730068675047,1.1149113283338088,0.9713853319708454,42.205237271122115,29.394903497295438,98.29,98.29,69.0,100.0,99.22,99.22,86.5,100.0,100.0,100.0,100.0,100.0,99.97,99.97,99.25,100.0,98.29,98.29,69.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,98.33,98.33,69.75,100.0,99.64,99.64,93.5,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,98.33,98.33,69.75,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
candidate,14,same_xx,factory_prepolish,8,26000,success,True,True,4578,4480,0,0.9990655795071728,-0.5552227128485878,66.60621794650334,73.5436316234323,0.11265121937064759,0.08242850857250719,0.9300532187858626,0.7636798246509556,0.3012345480455421,0.23337104584223345,42.42538868503474,29.50846658067685,94.0,94.0,60.5,71.9,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.59,99.59,96.0,98.25,94.0,94.0,60.5,71.9,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,96.15,96.15,67.5,88.95,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.97,99.97,99.25,100.0,96.15,96.15,67.5,88.95,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
