policy_label,observation_dim,direction_mode,surface_profile,env,profile_seed,outcome,quality_ok,safety_ok,control_steps,contact_steps,sensor_fault_steps,force_action_mean,feed_action_mean,gu_before,gu_final,ra_before_um,ra_final_um,rz_before_um,rz_final_um,scratch_before_um,scratch_final_um,clearcoat_min_um,temperature_peak_c,before_gu_pass_area_pct,before_tile_gu_pass_area_pct_mean,before_tile_gu_pass_area_pct_min,before_tile_gu_pass_area_pct_p10,before_ra_pass_area_pct,before_tile_ra_pass_area_pct_mean,before_tile_ra_pass_area_pct_min,before_tile_ra_pass_area_pct_p10,before_rz_pass_area_pct,before_tile_rz_pass_area_pct_mean,before_tile_rz_pass_area_pct_min,before_tile_rz_pass_area_pct_p10,before_scratch_pass_area_pct,before_tile_scratch_pass_area_pct_mean,before_tile_scratch_pass_area_pct_min,before_tile_scratch_pass_area_pct_p10,before_all4_pass_area_pct,before_tile_all4_pass_area_pct_mean,before_tile_all4_pass_area_pct_min,before_tile_all4_pass_area_pct_p10,before_clearcoat_pass_area_pct,before_tile_clearcoat_pass_area_pct_mean,before_tile_clearcoat_pass_area_pct_min,before_tile_clearcoat_pass_area_pct_p10,before_temperature_pass_area_pct,before_tile_temperature_pass_area_pct_mean,before_tile_temperature_pass_area_pct_min,before_tile_temperature_pass_area_pct_p10,final_gu_pass_area_pct,final_tile_gu_pass_area_pct_mean,final_tile_gu_pass_area_pct_min,final_tile_gu_pass_area_pct_p10,final_ra_pass_area_pct,final_tile_ra_pass_area_pct_mean,final_tile_ra_pass_area_pct_min,final_tile_ra_pass_area_pct_p10,final_rz_pass_area_pct,final_tile_rz_pass_area_pct_mean,final_tile_rz_pass_area_pct_min,final_tile_rz_pass_area_pct_p10,final_scratch_pass_area_pct,final_tile_scratch_pass_area_pct_mean,final_tile_scratch_pass_area_pct_min,final_tile_scratch_pass_area_pct_p10,final_all4_pass_area_pct,final_tile_all4_pass_area_pct_mean,final_tile_all4_pass_area_pct_min,final_tile_all4_pass_area_pct_p10,final_clearcoat_pass_area_pct,final_tile_clearcoat_pass_area_pct_mean,final_tile_clearcoat_pass_area_pct_min,final_tile_clearcoat_pass_area_pct_p10,final_temperature_pass_area_pct,final_tile_temperature_pass_area_pct_mean,final_tile_temperature_pass_area_pct_min,final_tile_temperature_pass_area_pct_p10
champion,14,cross_xy,factory_prepolish,9,26097,success,True,True,2662,2565,0,-0.29073016411554176,0.48522697945540333,70.7486571027992,74.23081225048479,0.11440835420066865,0.08728639740148705,0.8477917523100875,0.7037965755387623,0.270848360666691,0.2230597433298831,44.068132559585244,26.12394100346701,97.98,97.98,75.75,96.25,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.83,99.83,97.75,100.0,97.98,97.98,75.75,96.25,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,98.06,98.06,76.5,96.55,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.92999999999999,99.93,98.75,100.0,98.06,98.06,76.5,96.55,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
champion,14,cross_xy,factory_prepolish,8,26000,success,True,True,2663,2566,0,-0.2896615407921701,0.4838596731480288,66.60621794650334,70.8123919169962,0.11265121937064759,0.09156695897413758,0.9300532187858626,0.8290804630077651,0.3012345480455421,0.2775472794618139,42.4614219308456,26.12924533801509,94.0,94.0,60.5,71.9,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.59,99.59,96.0,98.25,94.0,94.0,60.5,71.9,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,94.25,94.25,63.0,73.25,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.77000000000001,99.77,97.25,99.45,94.25,94.25,63.0,73.25,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
champion,14,cross_xy,factory_prepolish,10,26194,success,True,True,2664,2567,0,-0.29005949459858127,0.4835186429523133,73.86747761721357,76.30845061252455,0.11760511284093447,0.09412699055010211,0.9667661588871749,0.8287589696080828,0.0,0.0,42.866533180812056,26.127852432056965,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
champion,14,cross_xy,factory_prepolish,11,26291,success,True,True,2664,2567,0,-0.2901470576924784,0.48299074278131976,75.6077549012029,76.99125941234021,0.10592837103751843,0.08227884141058191,0.7960432770474447,0.6702169707099704,0.0,0.0,42.30529770022809,26.12844302435748,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
champion,14,cross_xy,factory_prepolish,12,26388,success,True,True,2664,2567,0,-0.29020607670595694,0.4832971146828062,75.3308622879178,76.6562299593168,0.10546484339364065,0.08538129026832826,0.8908009228791719,0.8132215988307123,0.0,0.0,42.40196534989895,26.128774219612783,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
champion,14,cross_xy,factory_prepolish,15,26679,success,True,True,2664,2567,0,-0.2901254920540629,0.4829530647253847,75.64394806597565,77.09999556894601,0.10490623180947817,0.08564765283071844,0.8648581474343022,0.7341297797890056,0.0,0.0,42.03989712946427,26.12835527185487,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
champion,14,cross_xy,factory_prepolish,14,26582,success,True,True,2674,2577,0,-0.28049516542442005,0.47351051678653966,73.69412197067322,75.93219771642582,0.10523095294197923,0.08194105576706741,0.8245902298852623,0.697628530730005,0.2971001605767486,0.23575859601373556,44.27013448807377,26.182245480858107,98.34,98.34,77.75,98.2,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.98,99.98,99.5,100.0,98.34,98.34,77.75,98.2,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,98.67,98.67,78.5,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,98.67,98.67,78.5,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
champion,14,cross_xy,factory_prepolish,13,26485,success,True,True,2832,2735,0,-0.161447601613857,0.33601973205804825,69.32940186018672,73.4530737932435,0.11420749525167698,0.09578348338177559,0.9062125231866335,0.8220347307574023,0.44906376625742084,0.40409250625130166,41.99465484248447,28.65641250354723,96.92,96.92,77.0,86.2,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.92,99.92,99.0,100.0,96.92,96.92,77.0,86.2,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,97.39999999999999,97.4,79.75,88.3,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.99,99.99,99.75,100.0,97.39999999999999,97.4,79.75,88.3,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
champion,14,cross_xy,factory_prepolish_deep_defect,16,26000,fail_max_passes,False,True,2894,2797,0,-0.11755373635031309,0.2857265072593462,62.661844839824255,67.56988501944502,0.11394112448771725,0.0922591472226261,1.0596975136523263,0.992259639769473,0.6747151492639036,0.5701468873101181,42.461421977707936,29.602427072020863,92.9,92.9,60.5,71.9,99.96000000000001,99.96,99.0,100.0,100.0,100.0,100.0,100.0,99.49,99.49,96.0,97.75,92.9,92.9,60.5,71.9,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,93.16,93.16,63.0,73.05,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.75,99.75,97.25,99.45,93.16,93.16,63.0,73.05,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
champion,14,cross_xy,factory_prepolish_deep_stress,24,26000,fail_max_passes,False,True,2898,2801,0,-0.11458740455887086,0.2825607412627765,62.660238673326724,67.49795592079396,0.11483521429194266,0.09368409919827414,1.294002779326744,1.2251001152888772,1.041999864460918,0.9261065948017948,42.46142192380645,29.62401200209105,92.9,92.9,60.5,71.9,99.68,99.68,92.0,100.0,100.0,100.0,100.0,100.0,99.47,99.47,96.0,97.75,92.9,92.9,60.5,71.9,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,93.17,93.17,63.0,73.15,99.74,99.74,93.5,100.0,100.0,100.0,100.0,100.0,99.72999999999999,99.73,97.25,99.25,93.17,93.17,63.0,73.15,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
