policy_label,observation_dim,direction_mode,surface_profile,env,profile_seed,tile_i,tile_j,cell_count,local_gu_mean,local_ra_mean_um,local_rz_mean_um,gu_pass_area_pct,ra_pass_area_pct,rz_pass_area_pct,scratch_pass_area_pct,all4_pass_area_pct,clearcoat_pass_area_pct,temperature_pass_area_pct
champion,14,cross_xy,factory_prepolish,9,26097,0,0,400,77.85547746290135,0.025410826989101017,0.08589196559828409,100.0,100.0,100.0,100.0,100.0,100.0,100.0
champion,14,cross_xy,factory_prepolish,9,26097,0,1,400,77.72733778760727,0.024514404204507567,0.08280356957820803,100.0,100.0,100.0,100.0,100.0,100.0,100.0
champion,14,cross_xy,factory_prepolish,9,26097,0,2,400,77.66675443411958,0.025622288777063466,0.08636828153375121,100.0,100.0,100.0,100.0,100.0,100.0,100.0
champion,14,cross_xy,factory_prepolish,9,26097,0,3,400,70.80253909148587,0.025717033606844852,0.0880622587011786,80.75,100.0,100.0,98.75,80.75,100.0,100.0
champion,14,cross_xy,factory_prepolish,9,26097,0,4,400,77.70240363753301,0.02661236311806327,0.08974005220144753,100.0,100.0,100.0,100.0,100.0,100.0,100.0
champion,14,cross_xy,factory_prepolish,9,26097,1,0,400,77.72761025919102,0.022725060225933645,0.07701523359776444,100.0,100.0,100.0,100.0,100.0,100.0,100.0
champion,14,cross_xy,factory_prepolish,9,26097,1,1,400,77.69146217189731,0.01556074021327665,0.05248460105015213,100.0,100.0,100.0,100.0,100.0,100.0,100.0
champion,14,cross_xy,factory_prepolish,9,26097,1,2,400,77.63664902681752,0.020950567772677377,0.07065462549284021,100.0,100.0,100.0,100.0,100.0,100.0,100.0
champion,14,cross_xy,factory_prepolish,9,26097,1,3,400,72.66903384111907,0.023062719601699356,0.07777833368396457,76.5,100.0,100.0,99.5,76.5,100.0,100.0
champion,14,cross_xy,factory_prepolish,9,26097,1,4,400,76.20856183055837,0.029097899803626728,0.09785089298991607,94.25,100.0,100.0,100.0,94.25,100.0,100.0
champion,14,cross_xy,factory_prepolish,9,26097,2,0,400,77.64461903736701,0.025577347904838156,0.08684492761946196,100.0,100.0,100.0,100.0,100.0,100.0,100.0
champion,14,cross_xy,factory_prepolish,9,26097,2,1,400,77.59168814398313,0.024479183177407354,0.08247274504911535,100.0,100.0,100.0,100.0,100.0,100.0,100.0
