policy_label,observation_dim,direction_mode,surface_profile,env,profile_seed,outcome,quality_ok,safety_ok,control_steps,contact_steps,sensor_fault_steps,force_action_mean,feed_action_mean,gu_before,gu_final,ra_before_um,ra_final_um,rz_before_um,rz_final_um,scratch_before_um,scratch_final_um,clearcoat_min_um,temperature_peak_c,before_gu_pass_area_pct,before_tile_gu_pass_area_pct_mean,before_tile_gu_pass_area_pct_min,before_tile_gu_pass_area_pct_p10,before_ra_pass_area_pct,before_tile_ra_pass_area_pct_mean,before_tile_ra_pass_area_pct_min,before_tile_ra_pass_area_pct_p10,before_rz_pass_area_pct,before_tile_rz_pass_area_pct_mean,before_tile_rz_pass_area_pct_min,before_tile_rz_pass_area_pct_p10,before_scratch_pass_area_pct,before_tile_scratch_pass_area_pct_mean,before_tile_scratch_pass_area_pct_min,before_tile_scratch_pass_area_pct_p10,before_all4_pass_area_pct,before_tile_all4_pass_area_pct_mean,before_tile_all4_pass_area_pct_min,before_tile_all4_pass_area_pct_p10,before_clearcoat_pass_area_pct,before_tile_clearcoat_pass_area_pct_mean,before_tile_clearcoat_pass_area_pct_min,before_tile_clearcoat_pass_area_pct_p10,before_temperature_pass_area_pct,before_tile_temperature_pass_area_pct_mean,before_tile_temperature_pass_area_pct_min,before_tile_temperature_pass_area_pct_p10,final_gu_pass_area_pct,final_tile_gu_pass_area_pct_mean,final_tile_gu_pass_area_pct_min,final_tile_gu_pass_area_pct_p10,final_ra_pass_area_pct,final_tile_ra_pass_area_pct_mean,final_tile_ra_pass_area_pct_min,final_tile_ra_pass_area_pct_p10,final_rz_pass_area_pct,final_tile_rz_pass_area_pct_mean,final_tile_rz_pass_area_pct_min,final_tile_rz_pass_area_pct_p10,final_scratch_pass_area_pct,final_tile_scratch_pass_area_pct_mean,final_tile_scratch_pass_area_pct_min,final_tile_scratch_pass_area_pct_p10,final_all4_pass_area_pct,final_tile_all4_pass_area_pct_mean,final_tile_all4_pass_area_pct_min,final_tile_all4_pass_area_pct_p10,final_clearcoat_pass_area_pct,final_tile_clearcoat_pass_area_pct_mean,final_tile_clearcoat_pass_area_pct_min,final_tile_clearcoat_pass_area_pct_p10,final_temperature_pass_area_pct,final_tile_temperature_pass_area_pct_mean,final_tile_temperature_pass_area_pct_min,final_tile_temperature_pass_area_pct_p10
candidate,14,cross_xy,factory_prepolish,15,26679,success,True,True,3109,3011,0,0.427217806122979,0.12749588696825884,75.64394806597565,77.11864358864145,0.10490623180947817,0.08089680575580867,0.8648581474343022,0.7054865109706537,0.0,0.0,41.98716029049591,27.759809911261314,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
candidate,14,cross_xy,factory_prepolish,11,26291,success,True,True,3113,3015,0,0.42853529065837825,0.1248287263799338,75.6077549012029,76.92911171193182,0.10592837103751843,0.07678358301995039,0.7960432770474447,0.6447229082343302,0.0,0.0,42.28369261260436,27.83079153686196,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
candidate,14,cross_xy,factory_prepolish,12,26388,success,True,True,3154,3056,0,0.4692359347234214,0.0977723690537652,75.3308622879178,76.8836258947688,0.10546484339364065,0.07881726719637104,0.8908009228791719,0.795817389412784,0.0,0.0,42.37531707103106,27.926528170248062,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
candidate,14,cross_xy,factory_prepolish,10,26194,success,True,True,3207,3109,0,0.5250928997157108,0.0626965667965314,73.86747761721357,76.80499688755245,0.11760511284093447,0.08630646934754903,0.9667661588871749,0.80292716190201,0.0,0.0,42.80294812714947,27.87473155350066,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
candidate,14,cross_xy,factory_prepolish,9,26097,success,True,True,3399,3301,0,0.5952251445886737,-0.053605867845147946,70.7486571027992,75.14774286139223,0.11440835420066865,0.0776602758767593,0.8477917523100875,0.6677485529470804,0.270848360666691,0.191170201248338,43.925741730635295,28.83502939473154,97.98,97.98,75.75,96.25,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.83,99.83,97.75,100.0,97.98,97.98,75.75,96.25,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,98.14,98.14,77.25,97.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.99,99.99,99.75,100.0,98.14,98.14,77.25,97.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
candidate,14,cross_xy,factory_prepolish,8,26000,success,True,True,3497,3399,0,0.5701971784562154,-0.10827060521697193,66.60621794650334,72.33118121134,0.11265121937064759,0.08583459057158986,0.9300532187858626,0.8000717140037145,0.3012345480455421,0.2483620857207347,42.43980533700146,29.28808112440757,94.0,94.0,60.5,71.9,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.59,99.59,96.0,98.25,94.0,94.0,60.5,71.9,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,94.8,94.8,66.5,77.55,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.92999999999999,99.93,98.5,100.0,94.8,94.8,66.5,77.55,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
candidate,14,cross_xy,factory_prepolish_deep_defect,20,26388,success,True,True,3602,3504,0,0.5878476544796825,-0.16351177220308802,73.293865210286,75.58283466774215,0.10634657157755992,0.08752344236229422,0.997883217192872,0.8889129421581042,0.7254809019608968,0.5700355441416465,42.37753923111271,29.279840068187866,98.28,98.28,68.75,100.0,99.74,99.74,95.25,100.0,100.0,100.0,100.0,100.0,99.97,99.97,99.25,100.0,98.28,98.28,68.75,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,98.50999999999999,98.51,72.25,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,98.50999999999999,98.51,72.25,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
candidate,14,cross_xy,factory_prepolish_deep_stress,28,26388,success,True,True,3606,3508,0,0.5887308889732418,-0.16570255089462366,73.15423023658643,75.24897732327378,0.10773656136028367,0.08988261996783392,1.1733672598917155,1.0634330850153155,1.1149113283338088,0.9714779640299605,42.37769321148083,29.310199401285185,98.29,98.29,69.0,100.0,99.22,99.22,86.5,100.0,100.0,100.0,100.0,100.0,99.97,99.97,99.25,100.0,98.29,98.29,69.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,98.33,98.33,69.75,100.0,99.64,99.64,93.5,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,98.33,98.33,69.75,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
candidate,14,cross_xy,factory_prepolish_deep_defect,19,26291,success,True,True,3614,3516,0,0.5512770264701713,-0.1695806063808538,70.26115949803926,73.89048024816486,0.10940062169623739,0.107607980295271,1.1515541581230755,1.1283141429007704,0.8218893194838632,0.7117437575145449,42.28410809042382,29.078769457285652,97.55,97.55,66.0,93.85000000000001,99.63,99.63,94.25,100.0,100.0,100.0,100.0,100.0,99.91,99.91,99.0,99.85,97.55,97.55,66.0,93.85000000000001,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,97.61,97.61,67.25,94.0,99.95,99.95,99.25,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,97.61,97.61,67.25,94.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
candidate,14,cross_xy,factory_prepolish,13,26485,success,True,True,3620,3522,0,0.6017599880592435,-0.17214140695164712,69.32940186018672,74.13868311235153,0.11420749525167698,0.09880302774726642,0.9062125231866335,0.843421473556608,0.44906376625742084,0.37201814024772595,41.987887288769954,29.112152440992585,96.92,96.92,77.0,86.2,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.92,99.92,99.0,100.0,96.92,96.92,77.0,86.2,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,98.09,98.09,83.5,92.60000000000001,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.99,99.99,99.75,100.0,98.09,98.09,83.5,92.60000000000001,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
