rail,segment,waypoint,path_file,geometry_risk,path_step_m,command_allowed,hold_reason,entry_progress,reset_before,control_force_n,control_feed_mm_s,curvature_force_n,curvature_feed_mm_s,softstart_force_n,softstart_feed_mm_s,deterministic_force_n,deterministic_feed_mm_s,projected_combined_force_n,projected_combined_feed_mm_s,nominal_dt_s,zero_residual_force_n,zero_residual_feed_mm_s,worst_up_force_n,worst_up_feed_mm_s,worst_down_force_n,worst_down_feed_mm_s,signed_k1_norm,signed_k2_norm,pad_curvature_ratio_norm,footprint_normal_spread_norm,fit_confidence,boundary_risk,hole_risk,contact_gap_norm,normal_force_norm,force_rate_norm
C,2,0,path_C2.npy,0.5014398030315066,0.0,True,,0.0,True,8.0,12.7,6.49568059090548,9.515857250749933,2.8,6.35,2.2734882068169178,6.35,2.2734882068169178,6.35,0.016666666666666666,2.2734882068169178,6.35,2.3868352796365366,6.824878587612489,2.0,6.35,0.001884355559013784,-0.406789630651474,0.2796678841114044,0.5009598731994629,0.9551640152931213,0.2191600650548935,0.0,0.0,0.0,0.0
C,2,1,path_C2.npy,0.9040925076297788,0.031090332823413138,True,,0.7772583205853284,False,8.0,12.7,5.2877224771106635,6.959012576550904,7.340955015261065,11.895204682097646,4.852116604706773,6.518021967194073,4.852116604706773,6.518021967194073,4.7699030441895145,4.852116604706773,6.518021967194073,4.898652038331307,6.611791038507214,4.124299114000757,6.35,-0.003337262663990259,-0.6907697916030884,0.47490423917770386,0.8085686564445496,0.947175920009613,0.16206306219100952,0.0,0.0,0.0,0.0
C,2,2,path_C2.npy,0.9561572919932069,0.0272312330483489,True,,1.0,False,8.0,12.7,5.131528124020379,6.628401195843136,8.0,12.7,5.131528124020379,6.628401195843136,5.131528124020379,6.628401195843136,4.1082656652446445,5.131528124020379,6.628401195843136,5.154026132937386,6.67199225457032,4.361798905417322,6.35,-0.0014852163149043918,-0.7458612322807312,0.5127795934677124,0.8736742734909058,0.9463490843772888,0.16531692445278168,0.0,0.0,0.0,0.0
C,2,3,path_C2.npy,1.0,0.028269607496720917,False,footprint_normal_spread,0.0,True,8.0,12.7,5.0,6.35,2.8,6.35,0.0,0.0,2.0,6.35,4.451906692396995,0.0,0.0,0.0,0.0,0.0,0.0,0.008176648989319801,-0.9442832469940186,0.6491947174072266,1.0,0.9612756371498108,0.16493041813373566,0.0,0.0,0.0,0.0
C,2,4,path_C2.npy,1.0,0.028259676012895946,False,footprint_normal_spread,0.0,True,8.0,12.7,5.0,6.35,2.8,6.35,0.0,0.0,2.0,6.35,4.450342679196212,0.0,0.0,0.0,0.0,0.0,0.0,0.0008422831888310611,-1.0,0.71590656042099,1.0,0.9703646302223206,0.1780843734741211,0.0,0.0,0.0,0.0
C,2,5,path_C2.npy,1.0,0.026999998837709427,False,footprint_normal_spread,0.0,True,8.0,12.7,5.0,6.35,2.8,6.35,0.0,0.0,2.0,6.35,4.251968320899122,0.0,0.0,0.0,0.0,0.0,0.0,0.004896903410553932,-1.0,0.7121149301528931,1.0,0.9708535075187683,0.1778802126646042,0.0,0.0,0.0,0.0
C,2,6,path_C2.npy,1.0,0.028441172479354657,False,footprint_normal_spread,0.0,True,8.0,12.7,5.0,6.35,2.8,6.35,0.0,0.0,2.0,6.35,4.478924799898372,0.0,0.0,0.0,0.0,0.0,0.0,0.003781244857236743,-1.0,0.7450750470161438,1.0,0.9735421538352966,0.3490442931652069,0.0,0.0,0.0,0.0
C,2,7,path_C2.npy,1.0,0.028264994826666934,False,footprint_normal_spread,0.0,True,8.0,12.7,5.0,6.35,2.8,6.35,0.0,0.0,2.0,6.35,4.4511802876640845,0.0,0.0,0.0,0.0,0.0,0.0,0.006037729326635599,-1.0,0.7466369867324829,1.0,0.973717451095581,0.27406594157218933,0.0,0.0,0.0,0.0
C,2,8,path_C2.npy,1.0,0.027000000700354576,False,footprint_normal_spread,0.0,True,8.0,12.7,5.0,6.35,2.8,6.35,0.0,0.0,2.0,6.35,4.251968614229067,0.0,0.0,0.0,0.0,0.0,0.0,-0.002154613146558404,-1.0,0.7496132850646973,1.0,0.9736475348472595,0.27489152550697327,0.0,0.0,0.0,0.0
C,2,9,path_C2.npy,1.0,0.027000184083731213,False,footprint_normal_spread,0.0,True,8.0,12.7,5.0,6.35,2.8,6.35,0.0,0.0,2.0,6.35,4.251997493500979,0.0,0.0,0.0,0.0,0.0,0.0,-0.00296557298861444,-1.0,0.7468018531799316,1.0,0.9734625816345215,0.2767038345336914,0.0,0.0,0.0,0.0
C,2,10,path_C2.npy,1.0,0.027000002562999725,False,footprint_normal_spread,0.0,True,8.0,12.7,5.0,6.35,2.8,6.35,0.0,0.0,2.0,6.35,4.251968907559012,0.0,0.0,0.0,0.0,0.0,0.0,-0.00480210967361927,-1.0,0.7483298182487488,1.0,0.9734194278717041,0.2761722207069397,0.0,0.0,0.0,0.0
C,2,11,path_C2.npy,1.0,0.027181041374777924,False,footprint_normal_spread,0.0,True,8.0,12.7,5.0,6.35,2.8,6.35,0.0,0.0,2.0,6.35,4.280478956657941,0.0,0.0,0.0,0.0,0.0,0.0,0.015842417255043983,-1.0,0.6966865062713623,1.0,0.9672297239303589,0.17450891435146332,0.0,0.0,0.0,0.0
C,2,12,path_C2.npy,1.0,0.029213873619385385,False,footprint_normal_spread,0.0,True,8.0,12.7,5.0,6.35,2.8,6.35,0.0,0.0,2.0,6.35,4.6006100188008485,0.0,0.0,0.0,0.0,0.0,0.0,0.003625252051278949,-0.8913806080818176,0.6128241419792175,1.0,0.9556408524513245,0.16714031994342804,0.0,0.0,0.0,0.0
C,2,13,path_C2.npy,0.677624506906468,0.03106203838407474,True,,0.0,True,8.0,12.7,5.967126479280596,8.397084381143927,2.8,6.35,2.0884942677482083,6.35,2.0884942677482083,6.35,4.891659588043266,2.0884942677482083,6.35,2.1558222046870426,6.657062657171589,2.0,6.35,-0.002408732660114765,-0.5230907201766968,0.35962486267089844,0.6207646727561951,0.9576539993286133,0.2380724996328354,0.0,0.0,0.0,0.0
C,3,0,path_C3.npy,0.5798604044892058,0.0,True,,0.0,True,8.0,12.7,6.260418786532382,9.017886431493542,2.8,6.35,2.1911465752863335,6.35,2.1911465752863335,6.35,0.016666666666666666,2.1911465752863335,6.35,2.2832053188708996,6.750182964724031,2.0,6.35,0.3814869523048401,-0.297159343957901,0.26227226853370667,0.5534437894821167,0.7284649610519409,0.2832035422325134,0.3399423062801361,0.0,0.0,0.0
C,3,1,path_C3.npy,1.0,0.043671963274443545,False,footprint_normal_spread|pad_curvature,0.0,True,8.0,12.7,5.0,6.35,2.8,6.35,0.0,0.0,2.0,6.35,6.877474531408432,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.07215814292430878,1.0,1.0,0.6800603270530701,0.16127964854240417,0.0,0.0,0.0,0.0
