rail,segment,waypoints,polish_waypoints,hold_review_waypoints,contact_groups,contact_path_length_m,nominal_contact_time_s,force_command_min_n,force_command_max_n,feed_command_min_mm_s,feed_command_max_mm_s
C,2,14,4,10,2,0.058321565871762036,9.217831895815545,2.0,5.0,6.35,6.35
C,3,23,15,8,4,0.32609200646924824,50.87640738966393,2.0,5.82838672909148,6.35,8.103418576576965
C,4,41,12,29,9,0.10312994383901822,16.0576526844702,2.0,5.0,6.35,7.368709611019433
C,5,33,18,15,7,0.37721265154548395,56.26686090589002,2.0,6.383001046896688,6.35,9.277352215931321
C,7,36,35,1,4,1.2987642952603535,149.6200524947407,2.0,7.924295100729406,6.35,12.539757963210574
C,8,66,66,0,1,2.6429750828320935,350.9729282818287,2.1287390516140294,7.948778449077902,6.35,12.591581050548225
C,9,66,66,0,3,2.777585016267647,324.07446496325633,2.058659971511748,7.78077816972516,6.35,12.235980459251588
C,10,6,3,3,2,0.03320135478672487,5.212261534048446,2.0,4.751353807208313,6.35,6.471708855566056
C,11,2,0,2,0,0,0,0.0,0.0,0.0,0.0
C,12,83,77,6,7,2.909223735339072,305.6181557900876,2.0,7.97771652712276,6.35,12.652833315743173
C,13,101,101,0,4,4.024129168739412,411.4565633004705,2.3195913058241437,7.958273792042982,6.35,12.611679526490976
C,14,98,98,0,5,3.5544604305854097,362.5041208412859,2.0,7.979202696958234,6.35,12.655979041894929
C,15,33,33,0,2,1.0166496492448998,109.24574713673832,2.0731944634640467,7.250737425965834,6.35,11.114060884961015
C,16,60,17,43,11,0.24818860685454033,31.963243905048547,2.0,7.849249757601371,6.35,12.380911986922904
SL,0,22,13,9,3,0.3260798419859499,44.13253657698495,2.0,4.990758635497599,6.35,10.1365269341639
SL,1,89,64,25,8,1.764991993390475,261.54812964433046,2.0,5.510563698461441,6.35,11.456831794092059
SL,2,37,15,22,6,0.2614721716358568,40.48999708049243,2.0,4.0710810978312075,6.35,7.800545988491265
SL,3,73,57,16,6,1.7031722025503302,226.71133440833762,2.0,5.524979060788839,6.35,11.49344681440365
SL,4,118,101,17,9,2.7576996533473537,297.6146302078358,2.0,5.954783170703799,6.35,12.585149253587648
SL,5,114,101,13,10,2.9128599169349663,296.62759726076695,2.0,5.998112135854077,6.35,12.695204825069355
SL,6,115,100,15,9,2.89155574482694,289.90566020103853,2.0,5.983113132194074,6.35,12.657107355772947
SL,7,109,92,17,5,2.755188121301057,268.5404404085945,2.0,5.972848751606081,6.35,12.631035829079446
SL,8,102,91,11,5,2.8669919568960016,326.5301426699711,2.0,5.88874996833519,6.35,12.417424919571381
SL,9,38,23,15,6,0.5538485611919909,79.64710289475944,2.0,4.667022906202519,6.35,9.314238181754396
SL,10,31,10,21,5,0.16582308568305912,26.197205094445003,2.0,3.5,6.35,6.35
SL,11,77,38,39,10,0.8349481274931457,125.53183363887811,2.0,4.67503738483992,6.35,9.334594957493396
SR,0,18,9,9,2,0.20581199313841675,27.20412116834159,2.0,4.662966823928145,6.35,9.30393573277749
SR,1,82,51,31,9,1.2180402012993572,182.27938796575182,2.0,5.260223485005499,6.35,10.820967651913964
SR,2,37,18,19,5,0.3808021985340572,59.41835152211258,2.0,3.826416965723181,6.35,7.1790990929368785
SR,3,70,56,14,7,1.680396426343398,229.98645597101782,2.0,5.393119574257966,6.35,11.158523718615234
SR,4,116,99,17,10,2.618158410739165,290.5471616131519,2.0,5.9555178235988695,6.35,12.587015271941128
SR,5,116,103,13,10,2.8765464729795505,300.7090908311809,2.0,5.997430175835295,6.35,12.69347264662165
SR,6,115,98,17,7,2.970103734252532,292.9496697731147,2.0,5.990698430603578,6.35,12.676374013733087
SR,7,107,92,15,6,2.8796310041119373,268.56332824883066,2.0,5.975099181945968,6.35,12.636751922142755
SR,8,104,91,13,6,2.7882973645495817,296.23265975549145,2.0,5.894186470227177,6.35,12.431233634377028
SR,9,37,21,16,5,0.529622203431483,72.15713691674023,2.0,5.40627423654392,6.35,11.191936560821558
SR,10,31,9,22,5,0.13243137634170285,20.93866819029441,2.0,3.5,6.35,6.35
SR,11,78,36,42,8,0.7615222745947,114.56787523584953,2.0,4.6153293261432555,6.35,9.182936488403868
