run,shield_mode,surface_kind,direction_mode,surface_seed_base,max_control_steps_requested,trace_rows,latch_events_from_csv,raw_force_max_n,legacy_metadata_latched_env_count
control_cylinder_cross_xy_seed40000,control,cylinder,cross_xy,40000,800,19200,0,11.846258163452148,0
control_cylinder_cross_xy_seed41000,control,cylinder,cross_xy,41000,800,19200,0,13.62637996673584,0
control_cylinder_cross_xy_seed42000,control,cylinder,cross_xy,42000,800,19200,0,10.701859474182129,0
control_cylinder_same_xx_seed40000,control,cylinder,same_xx,40000,800,19200,0,11.846258163452148,0
control_cylinder_same_xx_seed41000,control,cylinder,same_xx,41000,800,19200,0,13.62637996673584,0
control_cylinder_same_xx_seed42000,control,cylinder,same_xx,42000,800,19200,0,10.701859474182129,0
static_cap_cylinder_cross_xy_seed40000,static_cap,cylinder,cross_xy,40000,800,16788,2,14.400492668151855,0
static_cap_cylinder_cross_xy_seed41000,static_cap,cylinder,cross_xy,41000,800,17244,1,15.757790565490723,0
static_cap_cylinder_cross_xy_seed42000,static_cap,cylinder,cross_xy,42000,800,15438,2,15.692977905273438,0
static_cap_cylinder_same_xx_seed40000,static_cap,cylinder,same_xx,40000,800,16788,2,14.400492668151855,0
static_cap_cylinder_same_xx_seed41000,static_cap,cylinder,same_xx,41000,800,17244,1,15.757790565490723,0
static_cap_cylinder_same_xx_seed42000,static_cap,cylinder,same_xx,42000,800,15438,2,15.692977905273438,0
control_cylinder_cross_xy_seed43000,control,cylinder,cross_xy,43000,800,15420,2,15.484702110290527,2
control_cylinder_same_xx_seed43000,control,cylinder,same_xx,43000,800,15420,2,15.484702110290527,2
static_cap_cylinder_cross_xy_seed43000,static_cap,cylinder,cross_xy,43000,800,19200,0,11.137321472167969,0
static_cap_cylinder_same_xx_seed41000,static_cap,cylinder,same_xx,41000,2700,50244,2,15.757790565490723,2
static_cap_cylinder_same_xx_seed43000,static_cap,cylinder,same_xx,43000,800,19200,0,11.137321472167969,0
