run,shield_mode,surface_kind,direction_mode,surface_profile,env,surface_seed_base,control_step,substep,force_sensor_raw_n,force_sensor_filt_n,force_used_n,force_cmd_n,raw_force_slope_n_s,pad_gap_m,normal_alignment_error_deg,parent_force_action,executed_force_action,executed_feed_action
static_cap_cylinder_cross_xy_seed40000,static_cap,cylinder,cross_xy,factory_prepolish_deep_defect,2,40000,598,2,14.400492668151855,10.639245986938477,10.639245986938477,6.644699573516846,768.8726806640625,-0.0009308755397796631,0.10279207676649094,0.670080840587616,0.5,-0.8127328753471375
static_cap_cylinder_cross_xy_seed40000,static_cap,cylinder,cross_xy,factory_prepolish_deep_stress,3,40000,598,2,14.400492668151855,10.639245986938477,10.639245986938477,6.644699573516846,768.8726806640625,-0.0009308755397796631,0.10279207676649094,0.670080840587616,0.5,-0.8127328753471375
static_cap_cylinder_cross_xy_seed41000,static_cap,cylinder,cross_xy,factory_prepolish,1,41000,473,5,15.757790565490723,11.359973907470703,11.359973907470703,6.644699573516846,919.083366394043,-0.0009134411811828613,0.10653118044137955,0.6876968145370483,0.5,-0.32640814781188965
static_cap_cylinder_cross_xy_seed42000,static_cap,cylinder,cross_xy,factory_prepolish_deep_defect,2,42000,470,1,15.692977905273438,11.274862289428711,11.274862289428711,6.606754302978516,928.8184547424316,-0.0009233951568603516,0.10835235565900803,0.4781091511249542,0.4781091511249542,-0.12413555383682251
static_cap_cylinder_cross_xy_seed42000,static_cap,cylinder,cross_xy,factory_prepolish_deep_stress,3,42000,501,0,15.671957015991211,11.076684951782227,11.076684951782227,6.508422374725342,985.4409599304199,-0.0008736550807952881,0.09891171753406525,0.4213812053203583,0.4213812053203583,-0.04273706302046776
static_cap_cylinder_same_xx_seed40000,static_cap,cylinder,same_xx,factory_prepolish_deep_defect,2,40000,598,2,14.400492668151855,10.639245986938477,10.639245986938477,6.644699573516846,768.8726806640625,-0.0009308755397796631,0.10279207676649094,0.670080840587616,0.5,-0.8127328753471375
static_cap_cylinder_same_xx_seed40000,static_cap,cylinder,same_xx,factory_prepolish_deep_stress,3,40000,598,2,14.400492668151855,10.639245986938477,10.639245986938477,6.644699573516846,768.8726806640625,-0.0009308755397796631,0.10279207676649094,0.670080840587616,0.5,-0.8127328753471375
static_cap_cylinder_same_xx_seed41000,static_cap,cylinder,same_xx,factory_prepolish,1,41000,473,5,15.757790565490723,11.359973907470703,11.359973907470703,6.644699573516846,919.083366394043,-0.0009134411811828613,0.10653118044137955,0.6876968145370483,0.5,-0.32640814781188965
static_cap_cylinder_same_xx_seed42000,static_cap,cylinder,same_xx,factory_prepolish_deep_defect,2,42000,470,1,15.692977905273438,11.274862289428711,11.274862289428711,6.606754302978516,928.8184547424316,-0.0009233951568603516,0.10835235565900803,0.4781091511249542,0.4781091511249542,-0.12413555383682251
static_cap_cylinder_same_xx_seed42000,static_cap,cylinder,same_xx,factory_prepolish_deep_stress,3,42000,501,0,15.671957015991211,11.076684951782227,11.076684951782227,6.508422374725342,985.4409599304199,-0.0008736550807952881,0.09891171753406525,0.4213812053203583,0.4213812053203583,-0.04273706302046776
