rail,segment,waypoints,path_length_m,reversals,rail_move_m,polish_s,turn_s,rail_move_s,approach_retract_s,segment_total_s
C,2,14,0.3670141562504335,0,0.0,28.898752460664056,0.0,0.0,5.0,33.898752460664056
C,3,23,0.7634905934822495,2,0.2859465684354334,60.117369565531455,1.2,1.4297328421771671,5.0,67.74710240770862
C,4,41,3.8130502675231375,20,0.2641839510644051,300.24017854512897,12.0,1.3209197553220255,5.0,318.561098300451
C,5,33,2.0854636654401677,3,0.25003041814947236,164.2097374362337,1.7999999999999998,1.2501520907473618,5.0,172.25988952698106
C,7,36,1.6021191962577905,15,0.6001866376386599,126.15111781557407,9.0,3.000933188193299,5.0,143.15205100376738
C,8,66,2.642975082832093,17,0.2500319979522621,208.1082742387475,10.2,1.2501599897613105,5.0,224.5584342285088
C,9,66,2.9421866513120984,25,0.2500012799967233,231.66824026079516,15.0,1.2500063999836164,5.0,252.91824666077878
C,10,6,0.16915435722068997,0,0.2500719896349849,13.319240726038581,0.0,1.2503599481749244,5.0,19.569600674213504
C,11,2,0.8462025005651992,0,0.37061699907046886,66.6301181547401,0.0,1.8530849953523443,5.0,73.48320315009245
C,12,83,3.876760761932839,21,0.2500009799980792,305.25675290809755,12.6,1.2500048999903959,5.0,324.106757808088
C,13,101,4.341401651045022,30,0.25000511994757224,341.8426496885844,18.0,1.250025599737861,5.0,366.09267528832225
C,14,98,3.9581652588209746,21,0.25013444384970257,311.6665558126752,12.6,1.2506722192485127,5.0,330.5172280319237
C,15,33,1.8235948090826872,3,0.2521165603446152,143.5901424474557,1.7999999999999998,1.260582801723076,5.0,151.65072524917878
C,16,60,6.148933961849247,17,0.3025494339773255,484.1680284920667,10.2,1.5127471698866273,5.0,500.8807756619533
SL,0,22,0.714833828952202,5,0.0,56.28612826395292,3.0,0.0,5.0,64.28612826395292
SL,1,89,2.9922357044679773,30,0.27076927447552096,235.60911058802972,18.0,1.3538463723776046,5.0,259.9629569604073
SL,2,37,1.619339048216434,10,0.2584888585606738,127.50701167058536,6.0,1.2924442928033688,5.0,139.79945596338874
SL,3,73,2.6288654162110205,22,0.25836222634123585,206.9972768670095,13.2,1.2918111317061791,5.0,226.48908799871566
SL,4,118,3.678536287179574,21,0.2607504745920897,289.6485265495728,12.6,1.3037523729604485,5.0,308.5522789225333
SL,5,114,3.7705847511405883,25,0.25061875428626645,296.89643709768416,15.0,1.2530937714313322,5.0,318.1495308691155
SL,6,115,4.133835002668176,23,0.25042014695307563,325.4988191077304,13.799999999999999,1.252100734765378,5.0,345.55091984249583
SL,7,109,3.7522643053293776,24,0.25093138504380036,295.45388230939983,14.399999999999999,1.2546569252190016,5.0,316.10853923461883
SL,8,102,3.48971048778785,28,0.25129713488219474,274.78035336912205,16.8,1.2564856744109736,5.0,297.836839043533
SL,9,38,1.4227784230772849,5,0.2700830242721671,112.0297970926996,3.0,1.3504151213608355,5.0,121.38021221406044
SL,10,31,1.0637357086435137,7,0.2500000199999992,83.7587172160247,4.2,1.250000099999996,5.0,94.2087173160247
SL,11,77,2.8234493131628,14,0.28308274408730744,222.31884355612598,8.4,1.4154137204365371,5.0,237.13425727656252
SR,0,18,0.6290550796867382,2,0.0,49.53189603832585,1.2,0.0,5.0,55.73189603832585
SR,1,82,2.672386120419222,18,0.2640871257748094,210.42410397001748,10.799999999999999,1.320435628874047,5.0,227.54453959889153
SR,2,37,1.4568463143826982,5,0.25464202324046986,114.7123082191101,3.0,1.2732101162023493,5.0,123.98551833531245
SR,3,70,2.5407474009446247,26,0.2577914079250897,200.0588504680807,15.6,1.2889570396254484,5.0,221.94780750770613
SR,4,116,3.5275880282794425,16,0.26279459659589655,277.76283687239703,9.6,1.3139729829794826,5.0,293.6768098553765
SR,5,116,3.7195862125370995,22,0.2504143765840931,292.8808041367795,13.2,1.2520718829204653,5.0,312.33287601969994
SR,6,115,4.171591626612826,23,0.250292648713461,328.47178162305715,13.799999999999999,1.251463243567305,5.0,348.52324486662445
SR,7,107,3.864799563923259,33,0.25113982161337933,304.31492629317,19.8,1.2556991080668967,5.0,330.3706254012369
SR,8,104,3.5675859589673107,34,0.25131750834352945,280.9122802336465,20.4,1.256587541717647,5.0,307.56886777536414
SR,9,37,1.4172486145611891,7,0.2678701924440269,111.59437909930624,4.2,1.3393509622201343,5.0,122.13373006152638
SR,10,31,1.130224239147953,9,0.25006727094923875,88.99403457857898,5.3999999999999995,1.2503363547461936,5.0,100.64437093332518
SR,11,78,2.643244608129006,9,0.28196482050071425,208.12949670307134,5.3999999999999995,1.4098241025035712,5.0,219.9393208055749
