rail,route_order,segment,waypoints,path_length_m,reversals_proxy,rail_move_m,polish_s,turn_dwell_s,rail_move_s,segment_overhead_s,segment_total_s_excluding_initial_home
C,0,2,14,0.3670141562504335,0,0.0,28.898752460664056,0.0,0.0,7.0,35.898752460664056
C,1,3,23,0.7634905934822495,2,0.2859465684354334,60.117369565531455,0.0,0.8825511371463994,7.0,67.99992070267785
C,2,4,41,3.8130502675231375,20,0.2641839510644051,300.24017854512897,0.0,0.8153825650135961,7.0,308.05556111014255
C,3,5,33,2.0854636654401677,3,0.25003041814947236,164.2097374362337,0.0,0.7716988214489887,7.0,171.98143625768267
C,4,7,36,1.6021191962577905,15,0.6001866376386599,126.15111781557407,0.0,1.852427893946481,7.0,135.00354570952055
C,5,8,66,2.642975082832093,17,0.2500319979522621,208.1082742387475,0.0,0.771703697383525,7.0,215.879977936131
C,6,9,66,2.9421866513120984,25,0.2500012799967233,231.66824026079516,0.0,0.7716088888787755,7.0,239.43984914967393
C,7,10,6,0.16915435722068997,0,0.2500719896349849,13.319240726038581,0.0,0.7718271285030398,7.0,21.09106785454162
C,8,11,2,0.8462025005651992,0,0.37061699907046886,66.6301181547401,0.0,1.1438796267607063,7.0,74.77399778150081
C,9,12,83,3.876760761932839,21,0.2500009799980792,305.25675290809755,0.0,0.7716079629570345,7.0,313.0283608710546
C,10,13,101,4.341401651045022,30,0.25000511994757224,341.8426496885844,0.0,0.7716207405789266,7.0,349.61427042916335
C,11,14,98,3.9581652588209746,21,0.25013444384970257,311.6665558126752,0.0,0.7720198884250079,7.0,319.4385757011002
C,12,15,33,1.8235948090826872,3,0.2521165603446152,143.5901424474557,0.0,0.7781375319278248,7.0,151.36827997938352
C,13,16,60,6.148933961849247,17,0.3025494339773255,484.1680284920667,0.0,0.933794549312733,7.0,492.1018230413794
SL,0,0,22,0.714833828952202,5,0.0,56.28612826395292,0.0,0.0,7.0,63.28612826395292
SL,1,1,89,2.9922357044679773,30,0.27076927447552096,235.60911058802972,0.0,0.8357076372701264,7.0,243.44481822529985
SL,2,2,37,1.619339048216434,10,0.2584888585606738,127.50701167058536,0.0,0.7978051190144252,7.0,135.30481678959978
SL,3,3,73,2.6288654162110205,22,0.25836222634123585,206.9972768670095,0.0,0.7974142788309748,7.0,214.7946911458405
SL,4,4,118,3.678536287179574,21,0.2607504745920897,289.6485265495728,0.0,0.8047854154076843,7.0,297.4533119649805
SL,5,5,114,3.7705847511405883,25,0.25061875428626645,296.89643709768416,0.0,0.7735146737230446,7.0,304.6699517714072
SL,6,6,115,4.133835002668176,23,0.25042014695307563,325.4988191077304,0.0,0.7729016881267766,7.0,333.27172079585716
SL,7,7,109,3.7522643053293776,24,0.25093138504380036,295.45388230939983,0.0,0.7744795834685196,7.0,303.22836189286835
SL,8,8,102,3.48971048778785,28,0.25129713488219474,274.78035336912205,0.0,0.7756084409944282,7.0,282.55596181011646
SL,9,9,38,1.4227784230772849,5,0.2700830242721671,112.0297970926996,0.0,0.8335895810869356,7.0,119.86338667378654
SL,10,10,31,1.0637357086435137,7,0.2500000199999992,83.7587172160247,0.0,0.7716049999999975,7.0,91.5303222160247
SL,11,11,77,2.8234493131628,14,0.28308274408730744,222.31884355612598,0.0,0.8737121731089735,7.0,230.19255572923495
SR,0,0,18,0.6290550796867382,2,0.0,49.53189603832585,0.0,0.0,7.0,56.53189603832585
SR,1,1,82,2.672386120419222,18,0.2640871257748094,210.42410397001748,0.0,0.8150837215271896,7.0,218.23918769154469
SR,2,2,37,1.4568463143826982,5,0.25464202324046986,114.7123082191101,0.0,0.7859321704952773,7.0,122.49824038960537
SR,3,3,70,2.5407474009446247,26,0.2577914079250897,200.0588504680807,0.0,0.7956524935959558,7.0,207.85450296167664
SR,4,4,116,3.5275880282794425,16,0.26279459659589655,277.76283687239703,0.0,0.8110944339379523,7.0,285.573931306335
SR,5,5,116,3.7195862125370995,22,0.2504143765840931,292.8808041367795,0.0,0.7728838783459664,7.0,300.65368801512545
SR,6,6,115,4.171591626612826,23,0.250292648713461,328.47178162305715,0.0,0.7725081750415463,7.0,336.2442897980987
SR,7,7,107,3.864799563923259,33,0.25113982161337933,304.31492629317,0.0,0.7751229062141337,7.0,312.0900491993841
SR,8,8,104,3.5675859589673107,34,0.25131750834352945,280.9122802336465,0.0,0.7756713220479303,7.0,288.68795155569444
SR,9,9,37,1.4172486145611891,7,0.2678701924440269,111.59437909930624,0.0,0.8267598532223052,7.0,119.42113895252854
SR,10,10,31,1.130224239147953,9,0.25006727094923875,88.99403457857898,0.0,0.7718125646581443,7.0,96.76584714323712
SR,11,11,78,2.643244608129006,9,0.28196482050071425,208.12949670307134,0.0,0.8702617916688711,7.0,215.9997584947402
