shield_mode,surface_kind,direction_mode,surface_profile,env,profile_seed,tile_i,tile_j,cell_count,local_gu_mean,local_ra_mean_um,local_rz_mean_um,gu_pass_area_pct,ra_pass_area_pct,rz_pass_area_pct,scratch_pass_area_pct,all4_pass_area_pct,clearcoat_pass_area_pct,temperature_pass_area_pct
curvature_safety_v2,freeform,same_xx,factory_prepolish,1,40000,0,0,400,77.66554956479216,0.026028822076810634,0.08801718013455974,100.0,100.0,100.0,100.0,100.0,100.0,100.0
curvature_safety_v2,freeform,same_xx,factory_prepolish,1,40000,0,1,400,77.49430772111735,0.025443337992246268,0.08565353684504295,100.0,100.0,100.0,100.0,100.0,100.0,100.0
curvature_safety_v2,freeform,same_xx,factory_prepolish,1,40000,0,2,400,77.49676852665965,0.020845501241678457,0.07002416283422534,100.0,100.0,100.0,100.0,100.0,100.0,100.0
curvature_safety_v2,freeform,same_xx,factory_prepolish,1,40000,0,3,400,77.49847700455126,0.027053927825212876,0.09021279640717993,100.0,100.0,100.0,100.0,100.0,100.0,100.0
curvature_safety_v2,freeform,same_xx,factory_prepolish,1,40000,0,4,400,77.57850879525839,0.025381868747116388,0.08556414814110003,100.0,100.0,100.0,100.0,100.0,100.0,100.0
curvature_safety_v2,freeform,same_xx,factory_prepolish,1,40000,1,0,400,77.4751463514039,0.021597039943157516,0.07360684247474528,100.0,100.0,100.0,100.0,100.0,100.0,100.0
curvature_safety_v2,freeform,same_xx,factory_prepolish,1,40000,1,1,400,77.4010435403441,0.021005169185639553,0.07098804582363283,100.0,100.0,100.0,100.0,100.0,100.0,100.0
curvature_safety_v2,freeform,same_xx,factory_prepolish,1,40000,1,2,400,77.27669279401648,0.023383552576944338,0.07850289423834472,100.0,100.0,100.0,100.0,100.0,100.0,100.0
curvature_safety_v2,freeform,same_xx,factory_prepolish,1,40000,1,3,400,77.45859475703998,0.02028531556447359,0.06884274531639674,100.0,100.0,100.0,100.0,100.0,100.0,100.0
curvature_safety_v2,freeform,same_xx,factory_prepolish,1,40000,1,4,400,77.57151054897035,0.019160427846088676,0.06544878272102125,100.0,100.0,100.0,100.0,100.0,100.0,100.0
curvature_safety_v2,freeform,same_xx,factory_prepolish,1,40000,2,0,400,76.84190049426243,0.02276932858754857,0.0771489538878447,96.5,100.0,100.0,100.0,96.5,100.0,100.0
curvature_safety_v2,freeform,same_xx,factory_prepolish,1,40000,2,1,400,77.36053790060453,0.017222226525840358,0.05807623416095673,100.0,100.0,100.0,100.0,100.0,100.0,100.0
curvature_safety_v2,freeform,same_xx,factory_prepolish,1,40000,2,2,400,77.45452478670605,0.015198950867034378,0.05124187519396056,100.0,100.0,100.0,100.0,100.0,100.0,100.0
curvature_safety_v2,freeform,same_xx,factory_prepolish,1,40000,2,3,400,77.3285582277932,0.021805869173554874,0.07446604515728095,100.0,100.0,100.0,100.0,100.0,100.0,100.0
curvature_safety_v2,freeform,same_xx,factory_prepolish,1,40000,2,4,400,77.50431809500736,0.0206872857779428,0.06962980207871412,100.0,100.0,100.0,100.0,100.0,100.0,100.0
curvature_safety_v2,freeform,same_xx,factory_prepolish,1,40000,3,0,400,71.39494922172939,0.03927196654933881,0.13231783074891543,67.0,100.0,100.0,100.0,67.0,100.0,100.0
curvature_safety_v2,freeform,same_xx,factory_prepolish,1,40000,3,1,400,77.4583303640827,0.014348476716520602,0.04825905685801435,100.0,100.0,100.0,100.0,100.0,100.0,100.0
curvature_safety_v2,freeform,same_xx,factory_prepolish,1,40000,3,2,400,77.35256304250952,0.018949160687653795,0.06342615253221423,100.0,100.0,100.0,100.0,100.0,100.0,100.0
curvature_safety_v2,freeform,same_xx,factory_prepolish,1,40000,3,3,400,77.41477422840404,0.01849355226345568,0.06296276570111506,100.0,100.0,100.0,100.0,100.0,100.0,100.0
curvature_safety_v2,freeform,same_xx,factory_prepolish,1,40000,3,4,400,77.49361196205265,0.024652816602280914,0.08334503668312154,100.0,100.0,100.0,100.0,100.0,100.0,100.0
curvature_safety_v2,freeform,same_xx,factory_prepolish,1,40000,4,0,400,71.77174206414986,0.0356659283794844,0.11838866037705721,69.5,100.0,100.0,100.0,69.5,100.0,100.0
curvature_safety_v2,freeform,same_xx,factory_prepolish,1,40000,4,1,400,77.52360276223493,0.018484228266385596,0.062097915954265906,100.0,100.0,100.0,100.0,100.0,100.0,100.0
curvature_safety_v2,freeform,same_xx,factory_prepolish,1,40000,4,2,400,77.59050978468304,0.021274709131321647,0.07211417447298417,100.0,100.0,100.0,100.0,100.0,100.0,100.0
curvature_safety_v2,freeform,same_xx,factory_prepolish,1,40000,4,3,400,77.51357592121467,0.022894750585589003,0.07740888864468501,100.0,100.0,100.0,100.0,100.0,100.0,100.0
curvature_safety_v2,freeform,same_xx,factory_prepolish,1,40000,4,4,400,77.57609518306903,0.027075181505544384,0.09170711956820395,100.0,100.0,100.0,100.0,100.0,100.0,100.0
curvature_safety_v2,freeform,same_xx,factory_prepolish_deep_defect,2,40000,0,0,400,77.65238536961651,0.02570733251340372,0.08693370292906373,100.0,100.0,100.0,100.0,100.0,100.0,100.0
curvature_safety_v2,freeform,same_xx,factory_prepolish_deep_defect,2,40000,0,1,400,77.48999662402085,0.025315903885986053,0.08524690124009832,100.0,100.0,100.0,100.0,100.0,100.0,100.0
curvature_safety_v2,freeform,same_xx,factory_prepolish_deep_defect,2,40000,0,2,400,77.48471513066846,0.020768106281358473,0.06974356899886779,100.0,100.0,100.0,100.0,100.0,100.0,100.0
curvature_safety_v2,freeform,same_xx,factory_prepolish_deep_defect,2,40000,0,3,400,77.51032893597541,0.02753174445540524,0.09175833125740054,100.0,100.0,100.0,100.0,100.0,100.0,100.0
curvature_safety_v2,freeform,same_xx,factory_prepolish_deep_defect,2,40000,0,4,400,77.59653890177951,0.025948346650887542,0.087420901574417,100.0,100.0,100.0,100.0,100.0,100.0,100.0
curvature_safety_v2,freeform,same_xx,factory_prepolish_deep_defect,2,40000,1,0,400,77.46573496102897,0.021285509929995925,0.07254900374972789,100.0,100.0,100.0,100.0,100.0,100.0,100.0
curvature_safety_v2,freeform,same_xx,factory_prepolish_deep_defect,2,40000,1,1,400,77.35238455934936,0.020171990272089886,0.06822233041317291,100.0,100.0,100.0,100.0,100.0,100.0,100.0
curvature_safety_v2,freeform,same_xx,factory_prepolish_deep_defect,2,40000,1,2,400,77.11805558287385,0.020844523466356773,0.07001461401072293,100.0,100.0,100.0,100.0,100.0,100.0,100.0
curvature_safety_v2,freeform,same_xx,factory_prepolish_deep_defect,2,40000,1,3,400,77.3342692948001,0.018613242092192533,0.0632043255716845,100.0,100.0,100.0,100.0,100.0,100.0,100.0
curvature_safety_v2,freeform,same_xx,factory_prepolish_deep_defect,2,40000,1,4,400,77.52510800072761,0.019036003053104936,0.06502322817281359,100.0,100.0,100.0,100.0,100.0,100.0,100.0
