env,control_step,substep,force_sensor_raw_n,force_sensor_filt_n,force_model_n,force_used_n,force_cmd_n,pad_gap_m,pad_in_patch,normal_alignment_error_deg,sensor_fault,hard_latched_before,hard_latched_after,latch_event,parent_force_action,executed_force_action,executed_feed_action,geometry_risk,force_cap_action,predictive_force_cap_action,predicted_force_n,shield_force_command_n,shield_feed_command_mm_s,observed_force_mean_n,observed_force_delta_n,shield_mode,surface_kind,direction_mode,surface_profile,profile_seed
0,0,0,0.0,0.0,0.0,0.0,4.044600009918213,0.5138368606567383,0,35.178497314453125,0,0,0,0,0.5196982026100159,-1.0,-1.0,1.0,-1.0,1.0,0.0,4.044599999999999,6.35,0.0,0.0,curvature_safety_v2,cylinder,same_xx,legacy_stress,40000
1,0,0,0.0,0.0,0.0,0.0,4.044600009918213,0.5138368606567383,0,35.178497314453125,0,0,0,0,0.5196982026100159,-1.0,-1.0,1.0,-1.0,1.0,0.0,4.044599999999999,6.35,0.0,0.0,curvature_safety_v2,cylinder,same_xx,factory_prepolish,40000
2,0,0,0.0,0.0,0.0,0.0,4.044600009918213,0.5138369202613831,0,35.17848205566406,0,0,0,0,0.5196982026100159,-1.0,-1.0,1.0,-1.0,1.0,0.0,4.044599999999999,6.35,0.0,0.0,curvature_safety_v2,cylinder,same_xx,factory_prepolish_deep_defect,40000
3,0,0,0.0,0.0,0.0,0.0,4.044600009918213,0.5138369202613831,0,35.17848205566406,0,0,0,0,0.5196982026100159,-1.0,-1.0,1.0,-1.0,1.0,0.0,4.044599999999999,6.35,0.0,0.0,curvature_safety_v2,cylinder,same_xx,factory_prepolish_deep_stress,40000
0,0,1,0.0,0.0,0.23100002110004425,0.0,4.044600009918213,0.49590110778808594,0,37.35360336303711,0,0,0,0,0.5196982026100159,-1.0,-1.0,1.0,-1.0,1.0,0.0,4.044599999999999,6.35,0.0,0.0,curvature_safety_v2,cylinder,same_xx,legacy_stress,40000
1,0,1,0.0,0.0,0.23100002110004425,0.0,4.044600009918213,0.49590110778808594,0,37.35360336303711,0,0,0,0,0.5196982026100159,-1.0,-1.0,1.0,-1.0,1.0,0.0,4.044599999999999,6.35,0.0,0.0,curvature_safety_v2,cylinder,same_xx,factory_prepolish,40000
2,0,1,0.0,0.0,0.23100002110004425,0.0,4.044600009918213,0.49590104818344116,0,37.35361099243164,0,0,0,0,0.5196982026100159,-1.0,-1.0,1.0,-1.0,1.0,0.0,4.044599999999999,6.35,0.0,0.0,curvature_safety_v2,cylinder,same_xx,factory_prepolish_deep_defect,40000
3,0,1,0.0,0.0,0.23100002110004425,0.0,4.044600009918213,0.49590104818344116,0,37.35361099243164,0,0,0,0,0.5196982026100159,-1.0,-1.0,1.0,-1.0,1.0,0.0,4.044599999999999,6.35,0.0,0.0,curvature_safety_v2,cylinder,same_xx,factory_prepolish_deep_stress,40000
0,0,2,0.0,0.0,0.3349500298500061,0.0,4.044600009918213,0.47243595123291016,0,39.8439826965332,0,0,0,0,0.5196982026100159,-1.0,-1.0,1.0,-1.0,1.0,0.0,4.044599999999999,6.35,0.0,0.0,curvature_safety_v2,cylinder,same_xx,legacy_stress,40000
1,0,2,0.0,0.0,0.3349500298500061,0.0,4.044600009918213,0.47243595123291016,0,39.8439826965332,0,0,0,0,0.5196982026100159,-1.0,-1.0,1.0,-1.0,1.0,0.0,4.044599999999999,6.35,0.0,0.0,curvature_safety_v2,cylinder,same_xx,factory_prepolish,40000
2,0,2,0.0,0.0,0.3349500298500061,0.0,4.044600009918213,0.47243595123291016,0,39.843997955322266,0,0,0,0,0.5196982026100159,-1.0,-1.0,1.0,-1.0,1.0,0.0,4.044599999999999,6.35,0.0,0.0,curvature_safety_v2,cylinder,same_xx,factory_prepolish_deep_defect,40000
3,0,2,0.0,0.0,0.3349500298500061,0.0,4.044600009918213,0.47243595123291016,0,39.843997955322266,0,0,0,0,0.5196982026100159,-1.0,-1.0,1.0,-1.0,1.0,0.0,4.044599999999999,6.35,0.0,0.0,curvature_safety_v2,cylinder,same_xx,factory_prepolish_deep_stress,40000
0,0,3,0.0,0.0,0.38172751665115356,0.0,4.044600009918213,0.4470493793487549,0,42.12394714355469,0,0,0,0,0.5196982026100159,-1.0,-1.0,1.0,-1.0,1.0,0.0,4.044599999999999,6.35,0.0,0.0,curvature_safety_v2,cylinder,same_xx,legacy_stress,40000
1,0,3,0.0,0.0,0.38172751665115356,0.0,4.044600009918213,0.4470493793487549,0,42.12394714355469,0,0,0,0,0.5196982026100159,-1.0,-1.0,1.0,-1.0,1.0,0.0,4.044599999999999,6.35,0.0,0.0,curvature_safety_v2,cylinder,same_xx,factory_prepolish,40000
2,0,3,0.0,0.0,0.38172751665115356,0.0,4.044600009918213,0.44704926013946533,0,42.12395095825195,0,0,0,0,0.5196982026100159,-1.0,-1.0,1.0,-1.0,1.0,0.0,4.044599999999999,6.35,0.0,0.0,curvature_safety_v2,cylinder,same_xx,factory_prepolish_deep_defect,40000
3,0,3,0.0,0.0,0.38172751665115356,0.0,4.044600009918213,0.44704926013946533,0,42.12395095825195,0,0,0,0,0.5196982026100159,-1.0,-1.0,1.0,-1.0,1.0,0.0,4.044599999999999,6.35,0.0,0.0,curvature_safety_v2,cylinder,same_xx,factory_prepolish_deep_stress,40000
0,0,4,0.0,0.0,0.40277740359306335,0.0,4.044600009918213,0.4228435754776001,0,43.96113586425781,0,0,0,0,0.5196982026100159,-1.0,-1.0,1.0,-1.0,1.0,0.0,4.044599999999999,6.35,0.0,0.0,curvature_safety_v2,cylinder,same_xx,legacy_stress,40000
1,0,4,0.0,0.0,0.40277740359306335,0.0,4.044600009918213,0.4228435754776001,0,43.96113586425781,0,0,0,0,0.5196982026100159,-1.0,-1.0,1.0,-1.0,1.0,0.0,4.044599999999999,6.35,0.0,0.0,curvature_safety_v2,cylinder,same_xx,factory_prepolish,40000
2,0,4,0.0,0.0,0.40277740359306335,0.0,4.044600009918213,0.4228436350822449,0,43.96114730834961,0,0,0,0,0.5196982026100159,-1.0,-1.0,1.0,-1.0,1.0,0.0,4.044599999999999,6.35,0.0,0.0,curvature_safety_v2,cylinder,same_xx,factory_prepolish_deep_defect,40000
3,0,4,0.0,0.0,0.40277740359306335,0.0,4.044600009918213,0.4228436350822449,0,43.96114730834961,0,0,0,0,0.5196982026100159,-1.0,-1.0,1.0,-1.0,1.0,0.0,4.044599999999999,6.35,0.0,0.0,curvature_safety_v2,cylinder,same_xx,factory_prepolish_deep_stress,40000
0,0,5,0.0,0.0,0.4122498631477356,0.0,4.044600009918213,0.39932769536972046,0,45.65786361694336,0,0,0,0,0.5196982026100159,-1.0,-1.0,1.0,-1.0,1.0,0.0,4.044599999999999,6.35,0.0,0.0,curvature_safety_v2,cylinder,same_xx,legacy_stress,40000
1,0,5,0.0,0.0,0.4122498631477356,0.0,4.044600009918213,0.39932769536972046,0,45.65786361694336,0,0,0,0,0.5196982026100159,-1.0,-1.0,1.0,-1.0,1.0,0.0,4.044599999999999,6.35,0.0,0.0,curvature_safety_v2,cylinder,same_xx,factory_prepolish,40000
2,0,5,0.0,0.0,0.4122498631477356,0.0,4.044600009918213,0.39932769536972046,0,45.65786361694336,0,0,0,0,0.5196982026100159,-1.0,-1.0,1.0,-1.0,1.0,0.0,4.044599999999999,6.35,0.0,0.0,curvature_safety_v2,cylinder,same_xx,factory_prepolish_deep_defect,40000
