shield_mode,surface_kind,direction_mode,surface_profile,env,profile_seed,tile_i,tile_j,cell_count,local_gu_mean,local_ra_mean_um,local_rz_mean_um,gu_pass_area_pct,ra_pass_area_pct,rz_pass_area_pct,scratch_pass_area_pct,all4_pass_area_pct,clearcoat_pass_area_pct,temperature_pass_area_pct
curvature_safety,cylinder,cross_xy,factory_prepolish,1,40000,0,0,400,77.60629247184421,0.024922142204471153,0.08429462225026782,100.0,100.0,100.0,100.0,100.0,100.0,100.0
curvature_safety,cylinder,cross_xy,factory_prepolish,1,40000,0,1,400,77.39860650164208,0.023154720075859246,0.07814868702580992,100.0,100.0,100.0,100.0,100.0,100.0,100.0
curvature_safety,cylinder,cross_xy,factory_prepolish,1,40000,0,2,400,77.38717720248789,0.01864509252900478,0.06285338545665542,100.0,100.0,100.0,100.0,100.0,100.0,100.0
curvature_safety,cylinder,cross_xy,factory_prepolish,1,40000,0,3,400,77.31210958464419,0.02325089020208612,0.07768717018481028,100.0,100.0,100.0,100.0,100.0,100.0,100.0
curvature_safety,cylinder,cross_xy,factory_prepolish,1,40000,0,4,400,77.43135721011151,0.021900996159913623,0.0740683802875642,100.0,100.0,100.0,100.0,100.0,100.0,100.0
curvature_safety,cylinder,cross_xy,factory_prepolish,1,40000,1,0,400,77.45431204244085,0.02078125032564839,0.07081185650403377,100.0,100.0,100.0,100.0,100.0,100.0,100.0
curvature_safety,cylinder,cross_xy,factory_prepolish,1,40000,1,1,400,77.32598990825736,0.01951369832764729,0.06613917103267927,100.0,100.0,100.0,100.0,100.0,100.0,100.0
curvature_safety,cylinder,cross_xy,factory_prepolish,1,40000,1,2,400,77.13850880542076,0.020437241037342003,0.06884824097542032,100.0,100.0,100.0,100.0,100.0,100.0,100.0
curvature_safety,cylinder,cross_xy,factory_prepolish,1,40000,1,3,400,77.3211066268669,0.01739171253069106,0.059040568671319994,100.0,100.0,100.0,100.0,100.0,100.0,100.0
curvature_safety,cylinder,cross_xy,factory_prepolish,1,40000,1,4,400,77.45724228502041,0.016599579370905358,0.05670461491330729,100.0,100.0,100.0,100.0,100.0,100.0,100.0
curvature_safety,cylinder,cross_xy,factory_prepolish,1,40000,2,0,400,76.83454502193247,0.022877081787387413,0.07746120401942364,96.5,100.0,100.0,100.0,96.5,100.0,100.0
curvature_safety,cylinder,cross_xy,factory_prepolish,1,40000,2,1,400,77.30578515670918,0.015649528753359693,0.05282189776697347,100.0,100.0,100.0,100.0,100.0,100.0,100.0
