shield_mode,surface_kind,direction_mode,surface_profile,env,profile_seed,tile_i,tile_j,cell_count,local_gu_mean,local_ra_mean_um,local_rz_mean_um,gu_pass_area_pct,ra_pass_area_pct,rz_pass_area_pct,scratch_pass_area_pct,all4_pass_area_pct,clearcoat_pass_area_pct,temperature_pass_area_pct
curvature_safety,flat,same_xx,factory_prepolish,1,40000,0,0,400,77.6979127042312,0.02623009403360408,0.08867581304539493,100.0,100.0,100.0,100.0,100.0,100.0,100.0
curvature_safety,flat,same_xx,factory_prepolish,1,40000,0,1,400,77.54149339842961,0.026370992204839266,0.08874868230173082,100.0,100.0,100.0,100.0,100.0,100.0,100.0
curvature_safety,flat,same_xx,factory_prepolish,1,40000,0,2,400,77.55616975789643,0.0219846098463721,0.07374727523162909,100.0,100.0,100.0,100.0,100.0,100.0,100.0
curvature_safety,flat,same_xx,factory_prepolish,1,40000,0,3,400,77.57148373477716,0.028536358866523677,0.09511545941160693,100.0,100.0,100.0,100.0,100.0,100.0,100.0
curvature_safety,flat,same_xx,factory_prepolish,1,40000,0,4,400,77.6504732857661,0.026922217843753593,0.09066443526070551,100.0,100.0,100.0,100.0,100.0,100.0,100.0
curvature_safety,flat,same_xx,factory_prepolish,1,40000,1,0,400,77.51261545058786,0.022453382674995557,0.07648204595888054,100.0,100.0,100.0,100.0,100.0,100.0,100.0
curvature_safety,flat,same_xx,factory_prepolish,1,40000,1,1,400,77.45736204124465,0.022158543407606198,0.07484347620984252,100.0,100.0,100.0,100.0,100.0,100.0,100.0
curvature_safety,flat,same_xx,factory_prepolish,1,40000,1,2,400,77.3614478386355,0.025124918774641694,0.08425585266592449,100.0,100.0,100.0,100.0,100.0,100.0,100.0
curvature_safety,flat,same_xx,factory_prepolish,1,40000,1,3,400,77.54186751542224,0.02194066207683156,0.07441290438326266,100.0,100.0,100.0,100.0,100.0,100.0,100.0
curvature_safety,flat,same_xx,factory_prepolish,1,40000,1,4,400,77.64590901217919,0.020819468972567305,0.07107140095731637,100.0,100.0,100.0,100.0,100.0,100.0,100.0
curvature_safety,flat,same_xx,factory_prepolish,1,40000,2,0,400,76.85463548801991,0.0232743861258466,0.07883035308499414,96.5,100.0,100.0,100.0,96.5,100.0,100.0
curvature_safety,flat,same_xx,factory_prepolish,1,40000,2,1,400,77.40201649973615,0.0183908941546072,0.06201203975891949,100.0,100.0,100.0,100.0,100.0,100.0,100.0
curvature_safety,flat,same_xx,factory_prepolish,1,40000,2,2,400,77.52144719735004,0.016924552313985167,0.05703970416022339,100.0,100.0,100.0,100.0,100.0,100.0,100.0
curvature_safety,flat,same_xx,factory_prepolish,1,40000,2,3,400,77.44068639453764,0.024245680268003313,0.0826487164701518,100.0,100.0,100.0,100.0,100.0,100.0,100.0
curvature_safety,flat,same_xx,factory_prepolish,1,40000,2,4,400,77.59868345734354,0.022585423231039455,0.0759775031729718,100.0,100.0,100.0,100.0,100.0,100.0,100.0
curvature_safety,flat,same_xx,factory_prepolish,1,40000,3,0,400,71.40164450049595,0.039339171039722,0.13253002397664657,67.0,100.0,100.0,100.0,67.0,100.0,100.0
curvature_safety,flat,same_xx,factory_prepolish,1,40000,3,1,400,77.48808877194354,0.015433519488378601,0.051877370684639115,100.0,100.0,100.0,100.0,100.0,100.0,100.0
curvature_safety,flat,same_xx,factory_prepolish,1,40000,3,2,400,77.44730762555778,0.021186364001024492,0.0708665934219553,100.0,100.0,100.0,100.0,100.0,100.0,100.0
curvature_safety,flat,same_xx,factory_prepolish,1,40000,3,3,400,77.52220697247638,0.020853472694852312,0.07092408002735792,100.0,100.0,100.0,100.0,100.0,100.0,100.0
curvature_safety,flat,same_xx,factory_prepolish,1,40000,3,4,400,77.59047154877432,0.02650474398132467,0.08946649897571135,100.0,100.0,100.0,100.0,100.0,100.0,100.0
curvature_safety,flat,same_xx,factory_prepolish,1,40000,4,0,400,71.84262736787728,0.03535513124990142,0.11740316717199452,69.5,100.0,100.0,100.0,69.5,100.0,100.0
curvature_safety,flat,same_xx,factory_prepolish,1,40000,4,1,400,77.54736604904937,0.019289432807408146,0.06480279209943589,100.0,100.0,100.0,100.0,100.0,100.0,100.0
curvature_safety,flat,same_xx,factory_prepolish,1,40000,4,2,400,77.65616904486937,0.022766383711907902,0.07715847578200208,100.0,100.0,100.0,100.0,100.0,100.0,100.0
curvature_safety,flat,same_xx,factory_prepolish,1,40000,4,3,400,77.6041540569924,0.02481098921756143,0.08382856666505073,100.0,100.0,100.0,100.0,100.0,100.0,100.0
curvature_safety,flat,same_xx,factory_prepolish,1,40000,4,4,400,77.65588923676427,0.028803703689335724,0.09749857152481523,100.0,100.0,100.0,100.0,100.0,100.0,100.0
curvature_safety,flat,same_xx,factory_prepolish_deep_defect,2,40000,0,0,400,77.68542956164036,0.026024203644773244,0.08798551676849745,100.0,100.0,100.0,100.0,100.0,100.0,100.0
curvature_safety,flat,same_xx,factory_prepolish_deep_defect,2,40000,0,1,400,77.53731888321754,0.02627836130301239,0.08843101716576593,100.0,100.0,100.0,100.0,100.0,100.0,100.0
curvature_safety,flat,same_xx,factory_prepolish_deep_defect,2,40000,0,2,400,77.53943261863228,0.021859308244431976,0.07332825429544292,100.0,100.0,100.0,100.0,100.0,100.0,100.0
curvature_safety,flat,same_xx,factory_prepolish_deep_defect,2,40000,0,3,400,77.58354294024777,0.02904994214864276,0.09679091334486895,100.0,100.0,100.0,100.0,100.0,100.0,100.0
curvature_safety,flat,same_xx,factory_prepolish_deep_defect,2,40000,0,4,400,77.67131446830044,0.027519836491564708,0.09264373342222566,100.0,100.0,100.0,100.0,100.0,100.0,100.0
curvature_safety,flat,same_xx,factory_prepolish_deep_defect,2,40000,1,0,400,77.5014961763983,0.022098237771790527,0.07528353015417621,100.0,100.0,100.0,100.0,100.0,100.0,100.0
curvature_safety,flat,same_xx,factory_prepolish_deep_defect,2,40000,1,1,400,77.39112259512247,0.02104953960318867,0.07114877661553376,100.0,100.0,100.0,100.0,100.0,100.0,100.0
curvature_safety,flat,same_xx,factory_prepolish_deep_defect,2,40000,1,2,400,77.14220045661075,0.021694324655325295,0.07282225997593514,100.0,100.0,100.0,100.0,100.0,100.0,100.0
curvature_safety,flat,same_xx,factory_prepolish_deep_defect,2,40000,1,3,400,77.36400976468101,0.019600828895898294,0.06654297966361482,100.0,100.0,100.0,100.0,100.0,100.0,100.0
curvature_safety,flat,same_xx,factory_prepolish_deep_defect,2,40000,1,4,400,77.56980619453472,0.020379595614624803,0.06959709794984717,100.0,100.0,100.0,100.0,100.0,100.0,100.0
curvature_safety,flat,same_xx,factory_prepolish_deep_defect,2,40000,2,0,400,76.84791504459093,0.02314746808663588,0.07840906186110382,96.5,100.0,100.0,100.0,96.5,100.0,100.0
curvature_safety,flat,same_xx,factory_prepolish_deep_defect,2,40000,2,1,400,77.32950244629474,0.016449764599898397,0.05544422291707155,100.0,100.0,100.0,100.0,100.0,100.0,100.0
curvature_safety,flat,same_xx,factory_prepolish_deep_defect,2,40000,2,2,400,76.77988365449491,0.0135156159140046,0.045933123411888,96.75,100.0,100.0,100.0,96.75,100.0,100.0
curvature_safety,flat,same_xx,factory_prepolish_deep_defect,2,40000,2,3,400,69.07530437906988,0.05744725859633739,0.19446015791665658,61.5,96.25,100.0,100.0,61.5,100.0,100.0
curvature_safety,flat,same_xx,factory_prepolish_deep_defect,2,40000,2,4,400,76.55506938192269,0.020061057581532517,0.06792634556567727,95.75,100.0,100.0,100.0,95.75,100.0,100.0
curvature_safety,flat,same_xx,factory_prepolish_deep_defect,2,40000,3,0,400,71.40652515563166,0.039301292792983444,0.1324210905036459,67.0,100.0,100.0,100.0,67.0,100.0,100.0
curvature_safety,flat,same_xx,factory_prepolish_deep_defect,2,40000,3,1,400,77.46404128667051,0.014729134088294557,0.04950247124707978,100.0,100.0,100.0,100.0,100.0,100.0,100.0
curvature_safety,flat,same_xx,factory_prepolish_deep_defect,2,40000,3,2,400,77.28113834478334,0.017882764619847627,0.059653216619919645,100.0,100.0,100.0,100.0,100.0,100.0,100.0
curvature_safety,flat,same_xx,factory_prepolish_deep_defect,2,40000,3,3,400,76.17053568780763,0.01952685034765388,0.06668523280483982,94.5,99.75,100.0,100.0,94.5,100.0,100.0
curvature_safety,flat,same_xx,factory_prepolish_deep_defect,2,40000,3,4,400,69.45009065226718,0.04804497452835814,0.16470977384334115,67.0,98.75,100.0,99.5,67.0,100.0,100.0
curvature_safety,flat,same_xx,factory_prepolish_deep_defect,2,40000,4,0,400,71.84423095617508,0.035344534276835086,0.11737115142027248,69.5,100.0,100.0,100.0,69.5,100.0,100.0
curvature_safety,flat,same_xx,factory_prepolish_deep_defect,2,40000,4,1,400,77.55074862082495,0.019398006499768444,0.0651606583359167,100.0,100.0,100.0,100.0,100.0,100.0,100.0
curvature_safety,flat,same_xx,factory_prepolish_deep_defect,2,40000,4,2,400,77.62125849943396,0.02270989134442612,0.07685347706573938,100.0,100.0,100.0,100.0,100.0,100.0,100.0
curvature_safety,flat,same_xx,factory_prepolish_deep_defect,2,40000,4,3,400,77.45796679588348,0.0233002118600196,0.07885473578275932,100.0,100.0,100.0,100.0,100.0,100.0,100.0
curvature_safety,flat,same_xx,factory_prepolish_deep_defect,2,40000,4,4,400,77.4840496094704,0.02714182759406466,0.09185457183652143,100.0,100.0,100.0,100.0,100.0,100.0,100.0
curvature_safety,flat,same_xx,factory_prepolish_deep_stress,3,40000,0,0,400,77.68484857162127,0.02601529577830921,0.0879599102013575,100.0,100.0,100.0,100.0,100.0,100.0,100.0
curvature_safety,flat,same_xx,factory_prepolish_deep_stress,3,40000,0,1,400,77.53804743318022,0.02629911173525523,0.08850049042506296,100.0,100.0,100.0,100.0,100.0,100.0,100.0
curvature_safety,flat,same_xx,factory_prepolish_deep_stress,3,40000,0,2,400,77.54308263638879,0.02194959183445806,0.07361209860544361,100.0,100.0,100.0,100.0,100.0,100.0,100.0
curvature_safety,flat,same_xx,factory_prepolish_deep_stress,3,40000,0,3,400,77.58771298005347,0.0291257662360826,0.09704709634375183,100.0,100.0,100.0,100.0,100.0,100.0,100.0
curvature_safety,flat,same_xx,factory_prepolish_deep_stress,3,40000,0,4,400,77.6729065787264,0.02754835215080125,0.09273835021797015,100.0,100.0,100.0,100.0,100.0,100.0,100.0
curvature_safety,flat,same_xx,factory_prepolish_deep_stress,3,40000,1,0,400,77.50031863941872,0.022074242118260246,0.07519941265590685,100.0,100.0,100.0,100.0,100.0,100.0,100.0
