shield_mode,surface_kind,direction_mode,surface_profile,env,profile_seed,tile_i,tile_j,cell_count,local_gu_mean,local_ra_mean_um,local_rz_mean_um,gu_pass_area_pct,ra_pass_area_pct,rz_pass_area_pct,scratch_pass_area_pct,all4_pass_area_pct,clearcoat_pass_area_pct,temperature_pass_area_pct
curvature_safety,freeform,cross_xy,legacy_stress,0,40000,0,0,400,77.7803903215311,0.019332976052296322,0.0651308157670355,100.0,100.0,100.0,100.0,100.0,100.0,100.0
curvature_safety,freeform,cross_xy,legacy_stress,0,40000,0,1,400,74.4823045138825,0.015629281052445865,0.05246813837358984,86.5,100.0,100.0,100.0,86.5,100.0,100.0
curvature_safety,freeform,cross_xy,legacy_stress,0,40000,0,2,400,64.33993791499674,0.02029357382064604,0.06786749116929135,68.5,100.0,100.0,97.5,68.5,100.0,100.0
curvature_safety,freeform,cross_xy,legacy_stress,0,40000,0,3,400,69.38311671755376,0.017709117532924316,0.06050073070810538,74.0,100.0,100.0,99.75,74.0,100.0,100.0
curvature_safety,freeform,cross_xy,legacy_stress,0,40000,0,4,400,77.79876816713224,0.01709079273233594,0.05748876068114538,100.0,100.0,100.0,100.0,100.0,100.0,100.0
curvature_safety,freeform,cross_xy,legacy_stress,0,40000,1,0,400,77.74432382556788,0.015070619360615605,0.05112371472428134,100.0,100.0,100.0,100.0,100.0,100.0,100.0
curvature_safety,freeform,cross_xy,legacy_stress,0,40000,1,1,400,71.01503054841476,0.06238242704728499,0.21055836856375143,80.75,88.0,100.0,100.0,80.75,100.0,100.0
curvature_safety,freeform,cross_xy,legacy_stress,0,40000,1,2,400,77.77077126320918,0.015323828202398105,0.05169985103894821,100.0,100.0,100.0,100.0,100.0,100.0,100.0
curvature_safety,freeform,cross_xy,legacy_stress,0,40000,1,3,400,77.7163071633618,0.01594477769784992,0.05398991532160192,100.0,100.0,100.0,100.0,100.0,100.0,100.0
curvature_safety,freeform,cross_xy,legacy_stress,0,40000,1,4,400,77.7498166563099,0.01607241136329197,0.05460942618958965,100.0,100.0,100.0,100.0,100.0,100.0,100.0
curvature_safety,freeform,cross_xy,legacy_stress,0,40000,2,0,400,77.73820948382183,0.015673147580269768,0.05281961298579585,100.0,100.0,100.0,100.0,100.0,100.0,100.0
curvature_safety,freeform,cross_xy,legacy_stress,0,40000,2,1,400,65.01336231990145,0.11303651967923027,0.3663637606890642,63.5,75.0,100.0,100.0,63.5,100.0,100.0
curvature_safety,freeform,cross_xy,legacy_stress,0,40000,2,2,400,69.0176880203157,0.050167538041367685,0.16896597822897996,63.0,96.75,100.0,100.0,63.0,100.0,100.0
curvature_safety,freeform,cross_xy,legacy_stress,0,40000,2,3,400,73.60542151757163,0.0228019626839314,0.07658112455726519,78.5,100.0,100.0,100.0,78.5,100.0,100.0
curvature_safety,freeform,cross_xy,legacy_stress,0,40000,2,4,400,77.72070549186132,0.014272999947435947,0.04785559171219011,100.0,100.0,100.0,100.0,100.0,100.0,100.0
curvature_safety,freeform,cross_xy,legacy_stress,0,40000,3,0,400,77.66184505791118,0.01373951531124931,0.045756861212713405,100.0,100.0,100.0,100.0,100.0,100.0,100.0
curvature_safety,freeform,cross_xy,legacy_stress,0,40000,3,1,400,71.6096885451934,0.036072378945586916,0.12158033680889417,71.25,98.5,100.0,100.0,71.25,100.0,100.0
curvature_safety,freeform,cross_xy,legacy_stress,0,40000,3,2,400,67.0515920166667,0.04699439346658746,0.15645744837674974,39.0,99.5,100.0,99.5,39.0,100.0,100.0
curvature_safety,freeform,cross_xy,legacy_stress,0,40000,3,3,400,67.22865300442078,0.06318382899022677,0.21234446768782556,58.75,92.5,100.0,100.0,58.75,100.0,100.0
curvature_safety,freeform,cross_xy,legacy_stress,0,40000,3,4,400,65.38628911629095,0.07796542224879274,0.2533127147232589,51.74999999999999,87.0,100.0,100.0,51.74999999999999,100.0,100.0
curvature_safety,freeform,cross_xy,legacy_stress,0,40000,4,0,400,69.30642419185143,0.056818947285217705,0.18496085403005832,65.25,94.0,100.0,100.0,65.25,100.0,100.0
curvature_safety,freeform,cross_xy,legacy_stress,0,40000,4,1,400,70.53010213547309,0.032967632169060124,0.11136899528108091,60.5,99.75,100.0,99.75,60.5,100.0,100.0
curvature_safety,freeform,cross_xy,legacy_stress,0,40000,4,2,400,74.43765449209336,0.027349459133698774,0.09237240526805769,84.0,99.0,100.0,100.0,84.0,100.0,100.0
curvature_safety,freeform,cross_xy,legacy_stress,0,40000,4,3,400,76.20079118048905,0.02135088429962121,0.0718851425724467,94.0,99.75,100.0,100.0,94.0,100.0,100.0
curvature_safety,freeform,cross_xy,legacy_stress,0,40000,4,4,400,65.71065404915873,0.09796990724045038,0.305371090644918,65.0,79.75,100.0,100.0,65.0,100.0,100.0
curvature_safety,freeform,cross_xy,factory_prepolish,1,40000,0,0,400,77.64394066209114,0.025619136262215646,0.08661819269040785,100.0,100.0,100.0,100.0,100.0,100.0,100.0
curvature_safety,freeform,cross_xy,factory_prepolish,1,40000,0,1,400,77.46545581662721,0.02481510922649845,0.0836528206028624,100.0,100.0,100.0,100.0,100.0,100.0,100.0
curvature_safety,freeform,cross_xy,factory_prepolish,1,40000,0,2,400,77.45740422869314,0.020045463113415884,0.06744210030656446,100.0,100.0,100.0,100.0,100.0,100.0,100.0
curvature_safety,freeform,cross_xy,factory_prepolish,1,40000,0,3,400,77.44138243512471,0.025865400532579887,0.08631221286994005,100.0,100.0,100.0,100.0,100.0,100.0,100.0
curvature_safety,freeform,cross_xy,factory_prepolish,1,40000,0,4,400,77.55202269381574,0.024560208728093596,0.08287803478219641,100.0,100.0,100.0,100.0,100.0,100.0,100.0
curvature_safety,freeform,cross_xy,factory_prepolish,1,40000,1,0,400,77.542702732092,0.022040533657914013,0.07507091111005175,100.0,100.0,100.0,100.0,100.0,100.0,100.0
curvature_safety,freeform,cross_xy,factory_prepolish,1,40000,1,1,400,77.43013444427515,0.021665327723953635,0.07326721299644555,100.0,100.0,100.0,100.0,100.0,100.0,100.0
curvature_safety,freeform,cross_xy,factory_prepolish,1,40000,1,2,400,77.29941440096076,0.02363330649390204,0.07939011740612352,100.0,100.0,100.0,100.0,100.0,100.0,100.0
curvature_safety,freeform,cross_xy,factory_prepolish,1,40000,1,3,400,77.49915735435339,0.02084346758283882,0.07067779595085273,100.0,100.0,100.0,100.0,100.0,100.0,100.0
curvature_safety,freeform,cross_xy,factory_prepolish,1,40000,1,4,400,77.594325863635,0.0198215896008608,0.06767814785328023,100.0,100.0,100.0,100.0,100.0,100.0,100.0
curvature_safety,freeform,cross_xy,factory_prepolish,1,40000,2,0,400,76.93587157906929,0.028387211269464207,0.09581677653317061,96.5,100.0,100.0,100.0,96.5,100.0,100.0
curvature_safety,freeform,cross_xy,factory_prepolish,1,40000,2,1,400,77.56518151376596,0.02194465989598645,0.07389137014569572,100.0,100.0,100.0,100.0,100.0,100.0,100.0
curvature_safety,freeform,cross_xy,factory_prepolish,1,40000,2,2,400,77.58782257010236,0.01909639936699424,0.06433294618806155,100.0,100.0,100.0,100.0,100.0,100.0,100.0
curvature_safety,freeform,cross_xy,factory_prepolish,1,40000,2,3,400,77.5278058845891,0.02633777626125782,0.08962322263943186,100.0,100.0,100.0,100.0,100.0,100.0,100.0
curvature_safety,freeform,cross_xy,factory_prepolish,1,40000,2,4,400,77.68319516837526,0.024263740090462303,0.08155901735906547,100.0,100.0,100.0,100.0,100.0,100.0,100.0
curvature_safety,freeform,cross_xy,factory_prepolish,1,40000,3,0,400,70.01059792404867,0.04902913402403923,0.16424139506481755,66.25,100.0,100.0,100.0,66.25,100.0,100.0
curvature_safety,freeform,cross_xy,factory_prepolish,1,40000,3,1,400,77.68035672396373,0.018789431208666423,0.06298881005926671,100.0,100.0,100.0,100.0,100.0,100.0,100.0
curvature_safety,freeform,cross_xy,factory_prepolish,1,40000,3,2,400,77.60426194096114,0.02466186754454587,0.08244497859645775,100.0,100.0,100.0,100.0,100.0,100.0,100.0
curvature_safety,freeform,cross_xy,factory_prepolish,1,40000,3,3,400,77.64548620057977,0.023607185687670045,0.08022444763591792,100.0,100.0,100.0,100.0,100.0,100.0,100.0
curvature_safety,freeform,cross_xy,factory_prepolish,1,40000,3,4,400,77.70869652482423,0.028825538833696377,0.09710107345406986,100.0,100.0,100.0,100.0,100.0,100.0,100.0
curvature_safety,freeform,cross_xy,factory_prepolish,1,40000,4,0,400,70.5203374965106,0.04293107192461615,0.14189820898709096,69.25,100.0,100.0,99.75,69.25,100.0,100.0
curvature_safety,freeform,cross_xy,factory_prepolish,1,40000,4,1,400,77.71403289754731,0.02233878923506091,0.07486200280412725,100.0,100.0,100.0,100.0,100.0,100.0,100.0
curvature_safety,freeform,cross_xy,factory_prepolish,1,40000,4,2,400,77.75520803710118,0.02511752745523001,0.08509049331937772,100.0,100.0,100.0,100.0,100.0,100.0,100.0
