check,expected,actual,pass
candidate_sequences,24,24,True
candidate_force_overloads,0,4,False
candidate_thermal_overloads,0,0,True
candidate_instability_overloads,0,0,True
sensor_fault_steps,0,0,True
all_finite,True,True,True
flat_action_exact_parity,True,True,True
flat_quality_non_degradation_pp,<=0,-1.4210854715202004e-14,True
cylinder_force_non_degradation,candidate<=control,0,True
freeform_force_improvement,candidate<control,4,False
curved_force_slew,<=0.100001,0.09999999999999964,True
curved_feed_slew,<=1.250001,1.2500000000000009,True
projected_vehicle_parallel_time_h,<=4,1.212396526225413,True
