candidate_id,check_index,metric,operator,threshold,observed,passed
flat_cross,1,complete,eq,True,True,True
flat_cross,2,all_finite,eq,True,True,True
flat_cross,3,trace_all_finite,eq,True,True,True
flat_cross,4,force_hard_violated,eq,False,False,True
flat_cross,5,thermal_hard_violated,eq,False,False,True
flat_cross,6,unstable_hard_violated,eq,False,False,True
flat_cross,7,sensor_fault_control_steps,eq,0,0,True
flat_cross,8,fallback_steps,eq,0,0,True
flat_cross,9,no_contact_removal_errors,eq,0,0,True
flat_cross,10,raw_hard_force_control_steps,eq,0,0,True
flat_cross,11,post_first_contact_rate,ge,0.95,0.999688376441259,True
flat_cross,12,force_sensor_filtered_steady_mean_n,ge,2.0,5.779677871652324,True
flat_cross,13,force_sensor_filtered_steady_mean_n,le,12.0,5.779677871652324,True
flat_cross,14,force_sensor_filtered_steady_std_n,le,2.0,0.0806332245733004,True
flat_cross,15,force_tracking_abs_error_steady_mean_n,le,1.5,0.02283577079122717,True
flat_cross,16,force_tracking_abs_error_steady_p95_n,le,4.0,0.06495108604431148,True
flat_cross,17,force_sensor_raw_max_n,le,14.0,7.5989203453063965,True
flat_cross,18,gap_tracking_abs_error_steady_p95_m,le,0.004,0.004344040900468826,False
flat_cross,19,roi_removal_mean_um,gt,0.0,0.21168324616388573,True
flat_cross,20,roi_coverage_fraction,gt,0.0,0.9605,True
cylinder_r0p60_cross,1,complete,eq,True,True,True
cylinder_r0p60_cross,2,all_finite,eq,True,True,True
cylinder_r0p60_cross,3,trace_all_finite,eq,True,True,True
cylinder_r0p60_cross,4,force_hard_violated,eq,False,False,True
cylinder_r0p60_cross,5,thermal_hard_violated,eq,False,False,True
cylinder_r0p60_cross,6,unstable_hard_violated,eq,False,False,True
cylinder_r0p60_cross,7,sensor_fault_control_steps,eq,0,0,True
cylinder_r0p60_cross,8,fallback_steps,eq,0,0,True
cylinder_r0p60_cross,9,no_contact_removal_errors,eq,0,0,True
cylinder_r0p60_cross,10,raw_hard_force_control_steps,eq,0,0,True
cylinder_r0p60_cross,11,post_first_contact_rate,ge,0.95,0.99906600249066,True
cylinder_r0p60_cross,12,force_sensor_filtered_steady_mean_n,ge,2.0,5.741271747022858,True
cylinder_r0p60_cross,13,force_sensor_filtered_steady_mean_n,le,12.0,5.741271747022858,True
cylinder_r0p60_cross,14,force_sensor_filtered_steady_std_n,le,2.0,0.7502511175199876,True
cylinder_r0p60_cross,15,force_tracking_abs_error_steady_mean_n,le,1.5,0.3589183253542637,True
cylinder_r0p60_cross,16,force_tracking_abs_error_steady_p95_n,le,4.0,1.2908348083496093,True
cylinder_r0p60_cross,17,force_sensor_raw_max_n,le,14.0,10.29017448425293,True
cylinder_r0p60_cross,18,gap_tracking_abs_error_steady_p95_m,le,0.004,0.004197277128696442,False
