surface_kind,check,operator,threshold,observed,passed
flat,normal_F4_complete,eq,True,True,True
flat,normal_F4_all_finite,eq,True,True,True
flat,normal_F4_trace_all_finite,eq,True,True,True
flat,normal_F4_force_hard_violated,eq,False,False,True
flat,normal_F4_thermal_hard_violated,eq,False,False,True
flat,normal_F4_unstable_hard_violated,eq,False,False,True
flat,normal_F4_sensor_fault_control_steps,eq,0,0,True
flat,normal_F4_fallback_steps,eq,0,0,True
flat,normal_F4_no_contact_removal_errors,eq,0,0,True
flat,normal_F4_raw_hard_force_control_steps,eq,0,0,True
flat,normal_F4_post_first_contact_rate,ge,0.95,0.9996882793017456,True
flat,normal_F4_force_sensor_filtered_steady_mean_n,ge,2.0,5.779718436086671,True
flat,normal_F4_force_sensor_filtered_steady_mean_n,le,12.0,5.779718436086671,True
flat,normal_F4_force_sensor_filtered_steady_std_n,le,2.0,0.08012446667616027,True
flat,normal_F4_force_tracking_abs_error_steady_mean_n,le,1.5,0.022628357480443312,True
flat,normal_F4_force_tracking_abs_error_steady_p95_n,le,4.0,0.0644006252288818,True
flat,normal_F4_force_sensor_raw_max_n,le,14.0,7.549964427947998,True
flat,normal_F4_gap_tracking_abs_error_steady_p95_m,le,0.004,0.0038228062912821765,True
flat,normal_F4_roi_removal_mean_um,gt,0.0,0.21185714122713997,True
flat,normal_F4_roi_coverage_fraction,gt,0.0,0.9604,True
flat,target_quaternion_norm_max_error,le,1e-05,0.0,True
flat,target_quaternion_step_angle_max_deg,le,1.0,0.0,True
flat,target_tilt_max_deg,le,15.0,0.0,True
flat,normal_alignment_error_steady_p95_deg,le,2.0,0.540914288163185,True
flat,flat_target_tilt_max_deg,le,1e-06,0.0,True
flat,flat_force_steady_mean_abs_delta_n,le,0.1,6.632944895379467e-05,True
flat,flat_gap_p95_abs_delta_m,le,0.0002,2.119150012731526e-05,True
flat,flat_removal_abs_delta_um,le,0.005,0.00022178462696673118,True
flat,flat_coverage_abs_delta,le,0.01,0.000300000000000078,True
cylinder,normal_F4_complete,eq,True,True,True
cylinder,normal_F4_all_finite,eq,True,True,True
cylinder,normal_F4_trace_all_finite,eq,True,True,True
cylinder,normal_F4_force_hard_violated,eq,False,False,True
cylinder,normal_F4_thermal_hard_violated,eq,False,False,True
cylinder,normal_F4_unstable_hard_violated,eq,False,False,True
cylinder,normal_F4_sensor_fault_control_steps,eq,0,0,True
cylinder,normal_F4_fallback_steps,eq,0,0,True
cylinder,normal_F4_no_contact_removal_errors,eq,0,0,True
cylinder,normal_F4_raw_hard_force_control_steps,eq,0,0,True
cylinder,normal_F4_post_first_contact_rate,ge,0.95,0.9996882793017456,True
cylinder,normal_F4_force_sensor_filtered_steady_mean_n,ge,2.0,5.778776210755401,True
cylinder,normal_F4_force_sensor_filtered_steady_mean_n,le,12.0,5.778776210755401,True
cylinder,normal_F4_force_sensor_filtered_steady_std_n,le,2.0,0.3141172866148388,True
cylinder,normal_F4_force_tracking_abs_error_steady_mean_n,le,1.5,0.18033224459058825,True
cylinder,normal_F4_force_tracking_abs_error_steady_p95_n,le,4.0,0.6687743663787837,True
cylinder,normal_F4_force_sensor_raw_max_n,le,14.0,9.652684211730957,True
cylinder,normal_F4_gap_tracking_abs_error_steady_p95_m,le,0.004,0.0037710003554821013,True
cylinder,normal_F4_roi_removal_mean_um,gt,0.0,0.21162977595235052,True
cylinder,normal_F4_roi_coverage_fraction,gt,0.0,0.9607,True
cylinder,target_quaternion_norm_max_error,le,1e-05,2.9810652391049075e-08,True
cylinder,target_quaternion_step_angle_max_deg,le,1.0,0.24379134538989045,True
cylinder,target_tilt_max_deg,le,15.0,10.075546079989246,True
cylinder,normal_alignment_error_steady_p95_deg,le,2.0,0.4282554924488066,True
cylinder,curved_alignment_error_ratio,le,0.25,0.046769664703303376,True
cylinder,curved_removal_relative_delta,le,0.05,0.008139198041432382,True
cylinder,curved_coverage_delta,ge,-0.01,0.0,True
sphere,normal_F4_complete,eq,True,True,True
sphere,normal_F4_all_finite,eq,True,True,True
