surface_kind,check,operator,threshold,observed,passed
flat,normal_F4_complete,eq,True,True,True
flat,normal_F4_all_finite,eq,True,True,True
flat,normal_F4_trace_all_finite,eq,True,True,True
flat,normal_F4_force_hard_violated,eq,False,False,True
flat,normal_F4_thermal_hard_violated,eq,False,False,True
flat,normal_F4_unstable_hard_violated,eq,False,False,True
flat,normal_F4_sensor_fault_control_steps,eq,0,0,True
flat,normal_F4_fallback_steps,eq,0,0,True
flat,normal_F4_no_contact_removal_errors,eq,0,0,True
flat,normal_F4_raw_hard_force_control_steps,eq,0,0,True
flat,normal_F4_post_first_contact_rate,ge,0.95,0.9996882793017456,True
flat,normal_F4_force_sensor_filtered_steady_mean_n,ge,2.0,5.779718436086671,True
flat,normal_F4_force_sensor_filtered_steady_mean_n,le,12.0,5.779718436086671,True
flat,normal_F4_force_sensor_filtered_steady_std_n,le,2.0,0.08012446667616027,True
flat,normal_F4_force_tracking_abs_error_steady_mean_n,le,1.5,0.022628357480443312,True
flat,normal_F4_force_tracking_abs_error_steady_p95_n,le,4.0,0.0644006252288818,True
flat,normal_F4_force_sensor_raw_max_n,le,14.0,7.549964427947998,True
flat,normal_F4_gap_tracking_abs_error_steady_p95_m,le,0.004,0.0038228062912821765,True
flat,normal_F4_roi_removal_mean_um,gt,0.0,0.21185714122713997,True
flat,normal_F4_roi_coverage_fraction,gt,0.0,0.9604,True
flat,target_quaternion_norm_max_error,le,1e-05,0.0,True
flat,target_quaternion_step_angle_max_deg,le,1.0,0.0,True
flat,target_tilt_max_deg,le,15.0,0.0,True
flat,normal_alignment_error_steady_p95_deg,le,2.0,0.540914288163185,True
flat,flat_target_tilt_max_deg,le,1e-06,0.0,True
flat,flat_force_steady_mean_abs_delta_n,le,0.1,6.632944895379467e-05,True
flat,flat_gap_p95_abs_delta_m,le,0.0002,2.119150012731526e-05,True
flat,flat_removal_abs_delta_um,le,0.005,0.00022178462696673118,True
flat,flat_coverage_abs_delta,le,0.01,0.000300000000000078,True
cylinder,normal_F4_complete,eq,True,True,True
cylinder,normal_F4_all_finite,eq,True,True,True
cylinder,normal_F4_trace_all_finite,eq,True,True,True
cylinder,normal_F4_force_hard_violated,eq,False,False,True
cylinder,normal_F4_thermal_hard_violated,eq,False,False,True
cylinder,normal_F4_unstable_hard_violated,eq,False,False,True
cylinder,normal_F4_sensor_fault_control_steps,eq,0,0,True
cylinder,normal_F4_fallback_steps,eq,0,0,True
cylinder,normal_F4_no_contact_removal_errors,eq,0,0,True
cylinder,normal_F4_raw_hard_force_control_steps,eq,0,0,True
cylinder,normal_F4_post_first_contact_rate,ge,0.95,0.9996882793017456,True
cylinder,normal_F4_force_sensor_filtered_steady_mean_n,ge,2.0,5.775552135256137,True
cylinder,normal_F4_force_sensor_filtered_steady_mean_n,le,12.0,5.775552135256137,True
cylinder,normal_F4_force_sensor_filtered_steady_std_n,le,2.0,0.3311894132078873,True
cylinder,normal_F4_force_tracking_abs_error_steady_mean_n,le,1.5,0.183314292484328,True
cylinder,normal_F4_force_tracking_abs_error_steady_p95_n,le,4.0,0.6549829959869379,True
cylinder,normal_F4_force_sensor_raw_max_n,le,14.0,9.433789253234863,True
cylinder,normal_F4_gap_tracking_abs_error_steady_p95_m,le,0.004,0.0037642887793481344,True
cylinder,normal_F4_roi_removal_mean_um,gt,0.0,0.2116204141374909,True
cylinder,normal_F4_roi_coverage_fraction,gt,0.0,0.9606,True
cylinder,target_quaternion_norm_max_error,le,1e-05,2.981470892393645e-08,True
cylinder,target_quaternion_step_angle_max_deg,le,1.0,0.24161061265961883,True
cylinder,target_tilt_max_deg,le,15.0,10.418346894226607,True
cylinder,normal_alignment_error_steady_p95_deg,le,2.0,0.1251145452260971,True
cylinder,curved_alignment_error_ratio,le,0.25,0.013663725119486565,True
cylinder,curved_removal_relative_delta,le,0.05,0.00809460123324537,True
cylinder,curved_coverage_delta,ge,-0.01,-9.999999999998899e-05,True
sphere,normal_F4_complete,eq,True,True,True
sphere,normal_F4_all_finite,eq,True,True,True
