surface_kind,direction_mode,surface_profile,env,profile_seed,tile_i,tile_j,cell_count,local_gu_mean,local_ra_mean_um,local_rz_mean_um,gu_pass_area_pct,ra_pass_area_pct,rz_pass_area_pct,scratch_pass_area_pct,all4_pass_area_pct,clearcoat_pass_area_pct,temperature_pass_area_pct
sphere,cross_xy,factory_prepolish,3,31097,0,0,400,77.69855707521576,0.023821992131741573,0.08092391341222839,100.0,100.0,100.0,100.0,100.0,100.0,100.0
sphere,cross_xy,factory_prepolish,3,31097,0,1,400,77.55826419515697,0.022871790000307087,0.07791051127737031,100.0,100.0,100.0,100.0,100.0,100.0,100.0
sphere,cross_xy,factory_prepolish,3,31097,0,2,400,77.52302223547461,0.024080852807324176,0.08170534938664836,100.0,100.0,100.0,100.0,100.0,100.0,100.0
sphere,cross_xy,factory_prepolish,3,31097,0,3,400,77.61161209423965,0.02061491266669483,0.07027353777967835,100.0,100.0,100.0,100.0,100.0,100.0,100.0
sphere,cross_xy,factory_prepolish,3,31097,0,4,400,77.61281361634934,0.025136783418246017,0.08568405323781608,100.0,100.0,100.0,100.0,100.0,100.0,100.0
sphere,cross_xy,factory_prepolish,3,31097,1,0,400,77.51862048528169,0.019784545018799563,0.06733121667520425,100.0,100.0,100.0,100.0,100.0,100.0,100.0
sphere,cross_xy,factory_prepolish,3,31097,1,1,400,77.50706845436339,0.017844617063826004,0.059742148267530944,100.0,100.0,100.0,100.0,100.0,100.0,100.0
sphere,cross_xy,factory_prepolish,3,31097,1,2,400,77.43794981909518,0.0194594971310193,0.06571964238578437,100.0,100.0,100.0,100.0,100.0,100.0,100.0
sphere,cross_xy,factory_prepolish,3,31097,1,3,400,77.45742989241622,0.01788364292476142,0.059830245905893975,100.0,100.0,100.0,100.0,100.0,100.0,100.0
sphere,cross_xy,factory_prepolish,3,31097,1,4,400,74.83166461389274,0.020265167711763673,0.06938978810048671,82.75,100.0,100.0,100.0,82.75,100.0,100.0
sphere,cross_xy,factory_prepolish,3,31097,2,0,400,77.47239276665393,0.023515649871433765,0.07961674799445569,100.0,100.0,100.0,100.0,100.0,100.0,100.0
sphere,cross_xy,factory_prepolish,3,31097,2,1,400,77.4940394843172,0.0175085842196898,0.05929219283426042,100.0,100.0,100.0,100.0,100.0,100.0,100.0
sphere,cross_xy,factory_prepolish,3,31097,2,2,400,77.48415231213525,0.017441242673610403,0.058880763657849805,100.0,100.0,100.0,100.0,100.0,100.0,100.0
sphere,cross_xy,factory_prepolish,3,31097,2,3,400,77.56164337243771,0.019279038877339644,0.06472626274100081,100.0,100.0,100.0,100.0,100.0,100.0,100.0
sphere,cross_xy,factory_prepolish,3,31097,2,4,400,77.67573271792264,0.020079070839317717,0.067115500100417,100.0,100.0,100.0,100.0,100.0,100.0,100.0
sphere,cross_xy,factory_prepolish,3,31097,3,0,400,77.49729630463517,0.021315693372665683,0.0726821678258321,100.0,100.0,100.0,100.0,100.0,100.0,100.0
