surface_kind,curvature_radius_m,freeform_seed,direction_mode,surface_profile,env,profile_seed,outcome,quality_ok,safety_ok,force_hard_violated,thermal_hard_violated,unstable_hard_violated,control_steps,contact_steps,sensor_fault_steps,raw_force_max_n,normal_alignment_error_max_deg,force_action_mean,feed_action_mean,gu_before,gu_final,ra_before_um,ra_final_um,rz_before_um,rz_final_um,scratch_before_um,scratch_final_um,clearcoat_min_um,temperature_peak_c,before_gu_pass_area_pct,before_tile_gu_pass_area_pct_mean,before_tile_gu_pass_area_pct_min,before_tile_gu_pass_area_pct_p10,before_ra_pass_area_pct,before_tile_ra_pass_area_pct_mean,before_tile_ra_pass_area_pct_min,before_tile_ra_pass_area_pct_p10,before_rz_pass_area_pct,before_tile_rz_pass_area_pct_mean,before_tile_rz_pass_area_pct_min,before_tile_rz_pass_area_pct_p10,before_scratch_pass_area_pct,before_tile_scratch_pass_area_pct_mean,before_tile_scratch_pass_area_pct_min,before_tile_scratch_pass_area_pct_p10,before_all4_pass_area_pct,before_tile_all4_pass_area_pct_mean,before_tile_all4_pass_area_pct_min,before_tile_all4_pass_area_pct_p10,before_clearcoat_pass_area_pct,before_tile_clearcoat_pass_area_pct_mean,before_tile_clearcoat_pass_area_pct_min,before_tile_clearcoat_pass_area_pct_p10,before_temperature_pass_area_pct,before_tile_temperature_pass_area_pct_mean,before_tile_temperature_pass_area_pct_min,before_tile_temperature_pass_area_pct_p10,final_gu_pass_area_pct,final_tile_gu_pass_area_pct_mean,final_tile_gu_pass_area_pct_min,final_tile_gu_pass_area_pct_p10,final_ra_pass_area_pct,final_tile_ra_pass_area_pct_mean,final_tile_ra_pass_area_pct_min,final_tile_ra_pass_area_pct_p10,final_rz_pass_area_pct,final_tile_rz_pass_area_pct_mean,final_tile_rz_pass_area_pct_min,final_tile_rz_pass_area_pct_p10,final_scratch_pass_area_pct,final_tile_scratch_pass_area_pct_mean,final_tile_scratch_pass_area_pct_min,final_tile_scratch_pass_area_pct_p10,final_all4_pass_area_pct,final_tile_all4_pass_area_pct_mean,final_tile_all4_pass_area_pct_min,final_tile_all4_pass_area_pct_p10,final_clearcoat_pass_area_pct,final_tile_clearcoat_pass_area_pct_mean,final_tile_clearcoat_pass_area_pct_min,final_tile_clearcoat_pass_area_pct_p10,final_temperature_pass_area_pct,final_tile_temperature_pass_area_pct_mean,final_tile_temperature_pass_area_pct_min,final_tile_temperature_pass_area_pct_p10
flat,0.6,0,same_xx,factory_prepolish,3,31097,success,True,True,False,False,False,3172,3073,0,8.228141784667969,89.1669921875,0.43940319351307006,0.08532817663171553,73.64148238075227,76.39254530067777,0.11987626283895714,0.09910728322859985,0.9903408314687232,0.834559786706589,0.12752690960282664,0.08869440295721276,40.790622569554756,28.077846967351228,99.26,99.26,81.5,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.26,99.26,81.5,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.36,99.36,84.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.36,99.36,84.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
flat,0.6,0,same_xx,factory_prepolish,2,31000,success,True,True,False,False,False,3487,3388,0,9.575615882873535,89.16697692871094,0.6026501389370458,-0.10280763269846782,72.75308062734142,75.82071263671051,0.1097307693050428,0.08678474866446159,0.8456373003843545,0.7484138450693172,0.4290214107790902,0.2852215356012329,43.16662888149516,28.850391859746285,97.22,97.22,42.75,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.88,99.88,98.25,100.0,97.22,97.22,42.75,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,97.54,97.54,50.74999999999999,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,97.54,97.54,50.74999999999999,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
flat,0.6,0,same_xx,factory_prepolish_deep_defect,5,31097,success,True,True,False,False,False,3510,3411,0,8.301941871643066,89.1669921875,0.5167011760281361,-0.1153195017709946,72.2871679841536,75.55740057719002,0.12035377734851908,0.12144703097059682,1.080907678256999,1.0102512159513832,0.6691882163625448,0.4884837534487977,40.7907970073265,29.139539253380782,97.83,97.83,67.75,97.9,99.97,99.97,99.25,100.0,100.0,100.0,100.0,100.0,99.98,99.98,99.5,100.0,97.83,97.83,67.75,97.9,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,98.15,98.15,73.25,98.2,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,98.15,98.15,73.25,98.2,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
flat,0.6,0,same_xx,factory_prepolish_deep_stress,7,31097,success,True,True,False,False,False,3607,3508,0,8.327349662780762,89.16697692871094,0.5498456580506027,-0.1662651184220244,72.17172907036243,75.39818493403034,0.12136776673397782,0.13175530205636757,1.2488817665516687,1.191613119991091,1.081684901658073,0.8562639691764214,40.790766614856594,29.14057031435282,97.78999999999999,97.79,66.75,97.9,99.52,99.52,88.0,100.0,100.0,100.0,100.0,100.0,99.98,99.98,99.5,100.0,97.78999999999999,97.79,66.75,97.9,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,97.89999999999999,97.9,68.75,98.05,99.89,99.89,97.25,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,97.89999999999999,97.9,68.75,98.05,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
flat,0.6,0,same_xx,factory_prepolish_deep_defect,4,31000,success,True,True,False,False,False,4024,3925,0,8.299283981323242,89.16697692871094,0.7035540688290421,-0.35604585156633445,68.25885555901026,73.35906949298762,0.11298395000241573,0.11360219403686679,1.208169859703724,1.1831332380534483,0.7570453964220997,0.5779286179652845,42.98906805025138,29.22491444166634,94.1,94.1,42.75,80.15,99.59,99.59,95.25,98.8,100.0,100.0,100.0,100.0,99.87,99.87,98.25,99.85,94.1,94.1,42.75,80.15,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,94.69999999999999,94.7,50.0,81.9,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,94.69999999999999,94.7,50.0,81.9,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
flat,0.6,0,same_xx,factory_prepolish_deep_stress,6,31000,success,True,True,False,False,False,4030,3931,0,9.477872848510742,89.16697692871094,0.7047794812851154,-0.35847328332791256,67.81553034635728,72.56952822652048,0.11596058118144167,0.11785572327425187,1.6722526126712407,1.6549829828461702,1.1784688893888984,0.9821370640306474,42.984154868618624,29.237885773110165,93.96,93.96,42.75,79.60000000000001,98.33,98.33,83.5,93.9,100.0,100.0,100.0,100.0,99.88,99.88,98.25,100.0,93.96,93.96,42.75,79.60000000000001,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,94.45,94.45,50.0,80.9,99.28,99.28,92.5,97.7,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,94.45,94.45,50.0,80.9,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
flat,0.6,0,same_xx,legacy_stress,0,31000,fail_max_passes,False,True,False,False,False,4853,4754,0,9.255939483642578,89.16697692871094,0.8325678374662047,-0.6367099743160652,56.14374882566469,65.7533354106321,0.10436793892229047,0.12645506049500221,2.0046725115739297,1.9889395020528613,1.7144875162515547,1.4716100658653284,43.231719719234846,29.605591627779088,87.28,87.28,54.25,62.75000000000001,95.25,95.25,70.75,77.60000000000001,100.0,100.0,100.0,100.0,99.47,99.47,97.0,97.95,87.28,87.28,54.25,62.75000000000001,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,88.47,88.47,59.25,64.85,95.75,95.75,73.75,78.9,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,88.47,88.47,59.25,64.85,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
flat,0.6,0,same_xx,legacy_stress,1,31097,fail_max_passes,False,True,False,False,False,6357,6258,0,8.965469360351562,89.16697692871094,0.9816593615836611,-0.9595100882130447,43.89134546048661,55.49033877028384,0.18205527414567396,0.16193617752213257,2.3447286941824435,2.264182375409669,1.9306753005759099,1.6887143866638201,43.78351966704696,29.60285755711903,61.95,61.95,29.75,33.55,83.58,83.58,52.0,58.599999999999994,100.0,100.0,100.0,100.0,99.36,99.36,96.75,98.25,61.95,61.95,29.75,33.55,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,63.65,63.65,33.0,34.85,89.44,89.44,55.25,69.55,100.0,100.0,100.0,100.0,99.98,99.98,99.75,100.0,63.65,63.65,33.0,34.85,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
flat,0.6,0,cross_xy,factory_prepolish,3,31097,success,True,True,False,False,False,3172,3073,0,8.228141784667969,89.1669921875,0.4386429318131745,0.08588885999205997,73.64148238075227,76.37623363007702,0.11987626283895714,0.09872930955695808,0.9903408314687232,0.8365293170568073,0.12752690960282664,0.08956142982943865,40.78929902988895,28.077846967351228,99.26,99.26,81.5,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.26,99.26,81.5,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.31,99.31,82.75,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.31,99.31,82.75,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
flat,0.6,0,cross_xy,factory_prepolish,2,31000,success,True,True,False,False,False,3549,3450,0,9.386190414428711,89.16697692871094,0.6281722559202352,-0.13612604953472499,72.75308062734142,75.82592930867436,0.1097307693050428,0.0861074435469912,0.8456373003843545,0.7496766312179208,0.4290214107790902,0.27748085220495383,43.178466571362826,28.850391859746285,97.22,97.22,42.75,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.88,99.88,98.25,100.0,97.22,97.22,42.75,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,97.61,97.61,52.25,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,97.61,97.61,52.25,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
