surface_kind,direction_mode,surface_profile,env,profile_seed,tile_i,tile_j,cell_count,local_gu_mean,local_ra_mean_um,local_rz_mean_um,gu_pass_area_pct,ra_pass_area_pct,rz_pass_area_pct,scratch_pass_area_pct,all4_pass_area_pct,clearcoat_pass_area_pct,temperature_pass_area_pct
flat,same_xx,factory_prepolish,3,31097,0,0,400,77.70089341865912,0.023752354653523627,0.08066802296918381,100.0,100.0,100.0,100.0,100.0,100.0,100.0
flat,same_xx,factory_prepolish,3,31097,0,1,400,77.56188156867125,0.022775515995692084,0.07758505191804112,100.0,100.0,100.0,100.0,100.0,100.0,100.0
flat,same_xx,factory_prepolish,3,31097,0,2,400,77.55685565076527,0.024878968652395583,0.08440666023220281,100.0,100.0,100.0,100.0,100.0,100.0,100.0
flat,same_xx,factory_prepolish,3,31097,0,3,400,77.63524103610698,0.02101579473383855,0.07151483627138243,100.0,100.0,100.0,100.0,100.0,100.0,100.0
flat,same_xx,factory_prepolish,3,31097,0,4,400,77.63107659675262,0.02574434812774239,0.08770482144373659,100.0,100.0,100.0,100.0,100.0,100.0,100.0
flat,same_xx,factory_prepolish,3,31097,1,0,400,77.5181320489688,0.020024797853387698,0.0681278226954462,100.0,100.0,100.0,100.0,100.0,100.0,100.0
flat,same_xx,factory_prepolish,3,31097,1,1,400,77.50725164325728,0.017895292012256713,0.05995095923273205,100.0,100.0,100.0,100.0,100.0,100.0,100.0
flat,same_xx,factory_prepolish,3,31097,1,2,400,77.45333094776134,0.019864985559591816,0.06707092143918121,100.0,100.0,100.0,100.0,100.0,100.0,100.0
flat,same_xx,factory_prepolish,3,31097,1,3,400,77.47026061923698,0.0182234225302909,0.06093238104571564,100.0,100.0,100.0,100.0,100.0,100.0,100.0
flat,same_xx,factory_prepolish,3,31097,1,4,400,74.85670383697128,0.020372245813776616,0.06978047114027298,84.0,100.0,100.0,100.0,84.0,100.0,100.0
flat,same_xx,factory_prepolish,3,31097,2,0,400,77.44046508410304,0.02281449693695928,0.0772555644674601,100.0,100.0,100.0,100.0,100.0,100.0,100.0
flat,same_xx,factory_prepolish,3,31097,2,1,400,77.47395385533127,0.017138637765183918,0.05804544329567556,100.0,100.0,100.0,100.0,100.0,100.0,100.0
flat,same_xx,factory_prepolish,3,31097,2,2,400,77.48089036162054,0.017436517173327993,0.0588550891275306,100.0,100.0,100.0,100.0,100.0,100.0,100.0
flat,same_xx,factory_prepolish,3,31097,2,3,400,77.56274444422633,0.019350806499622213,0.06500280389897506,100.0,100.0,100.0,100.0,100.0,100.0,100.0
flat,same_xx,factory_prepolish,3,31097,2,4,400,77.67329786429868,0.020089066597183406,0.06716752753200148,100.0,100.0,100.0,100.0,100.0,100.0,100.0
flat,same_xx,factory_prepolish,3,31097,3,0,400,77.4616599773695,0.020694414337399145,0.07060031575813538,100.0,100.0,100.0,100.0,100.0,100.0,100.0
flat,same_xx,factory_prepolish,3,31097,3,1,400,77.55039316888264,0.01804626196764592,0.06127630836492507,100.0,100.0,100.0,100.0,100.0,100.0,100.0
flat,same_xx,factory_prepolish,3,31097,3,2,400,77.52383469132532,0.020765418410552076,0.06999933870561113,100.0,100.0,100.0,100.0,100.0,100.0,100.0
flat,same_xx,factory_prepolish,3,31097,3,3,400,77.5631864660599,0.021110644967573693,0.07126560910956911,100.0,100.0,100.0,100.0,100.0,100.0,100.0
flat,same_xx,factory_prepolish,3,31097,3,4,400,77.60126036613849,0.02423724531595599,0.08151844534827916,100.0,100.0,100.0,100.0,100.0,100.0,100.0
flat,same_xx,factory_prepolish,3,31097,4,0,400,77.63325698264018,0.01939948859717757,0.06607503162165893,100.0,100.0,100.0,100.0,100.0,100.0,100.0
flat,same_xx,factory_prepolish,3,31097,4,1,400,77.5602249823583,0.02434305399020812,0.08096668607762712,100.0,100.0,100.0,100.0,100.0,100.0,100.0
flat,same_xx,factory_prepolish,3,31097,4,2,400,77.58359375368495,0.024098655065166622,0.0804843090460455,100.0,100.0,100.0,100.0,100.0,100.0,100.0
flat,same_xx,factory_prepolish,3,31097,4,3,400,77.66662670553379,0.019522194668072926,0.06583453680378748,100.0,100.0,100.0,100.0,100.0,100.0,100.0
flat,same_xx,factory_prepolish,3,31097,4,4,400,77.68094486406272,0.02613456536470676,0.0883422381436081,100.0,100.0,100.0,100.0,100.0,100.0,100.0
flat,same_xx,factory_prepolish,2,31000,0,0,400,77.65723240107565,0.026273367650526003,0.08849215174319897,100.0,100.0,100.0,100.0,100.0,100.0,100.0
flat,same_xx,factory_prepolish,2,31000,0,1,400,77.6315468733291,0.01839512014787696,0.061789481177543105,100.0,100.0,100.0,100.0,100.0,100.0,100.0
flat,same_xx,factory_prepolish,2,31000,0,2,400,77.57615699311036,0.02379585150115062,0.07994845478178797,100.0,100.0,100.0,100.0,100.0,100.0,100.0
flat,same_xx,factory_prepolish,2,31000,0,3,400,77.5691779675231,0.019775365360711138,0.0674049620936925,100.0,100.0,100.0,100.0,100.0,100.0,100.0
flat,same_xx,factory_prepolish,2,31000,0,4,400,77.69000180415586,0.020573964730995282,0.06920052848823,100.0,100.0,100.0,100.0,100.0,100.0,100.0
flat,same_xx,factory_prepolish,2,31000,1,0,400,77.55320857459121,0.01810120560880121,0.061523911434532855,100.0,100.0,100.0,100.0,100.0,100.0,100.0
flat,same_xx,factory_prepolish,2,31000,1,1,400,77.43197408865268,0.021296354451308393,0.07223158612557647,100.0,100.0,100.0,100.0,100.0,100.0,100.0
flat,same_xx,factory_prepolish,2,31000,1,2,400,77.46589901520144,0.01837286600719539,0.06238020622438482,100.0,100.0,100.0,100.0,100.0,100.0,100.0
flat,same_xx,factory_prepolish,2,31000,1,3,400,77.5695055604601,0.01724297771718096,0.057925358538656525,100.0,100.0,100.0,100.0,100.0,100.0,100.0
flat,same_xx,factory_prepolish,2,31000,1,4,400,77.57355295235881,0.01981072855530714,0.067226710693735,100.0,100.0,100.0,100.0,100.0,100.0,100.0
flat,same_xx,factory_prepolish,2,31000,2,0,400,77.43227489113573,0.01678710246738087,0.05622113532275547,100.0,100.0,100.0,100.0,100.0,100.0,100.0
flat,same_xx,factory_prepolish,2,31000,2,1,400,77.49405855973026,0.013051688340541266,0.044402498129288696,100.0,100.0,100.0,100.0,100.0,100.0,100.0
flat,same_xx,factory_prepolish,2,31000,2,2,400,77.38335263895975,0.015097080751351926,0.05072103217541793,100.0,100.0,100.0,100.0,100.0,100.0,100.0
flat,same_xx,factory_prepolish,2,31000,2,3,400,77.47830549781901,0.018764516696550614,0.06361809251991452,100.0,100.0,100.0,100.0,100.0,100.0,100.0
flat,same_xx,factory_prepolish,2,31000,2,4,400,77.65744017468714,0.014400655945040995,0.04851850672684037,100.0,100.0,100.0,100.0,100.0,100.0,100.0
flat,same_xx,factory_prepolish,2,31000,3,0,400,77.46569094867841,0.01811648549802928,0.06171176591324395,100.0,100.0,100.0,100.0,100.0,100.0,100.0
flat,same_xx,factory_prepolish,2,31000,3,1,400,77.45820705177586,0.012267694087192854,0.04187930082258835,100.0,100.0,100.0,100.0,100.0,100.0,100.0
flat,same_xx,factory_prepolish,2,31000,3,2,400,75.65425644153882,0.013864417037242829,0.04675044370761987,87.75,100.0,100.0,100.0,87.75,100.0,100.0
flat,same_xx,factory_prepolish,2,31000,3,3,400,77.44692981999482,0.015677315950628098,0.05286697599306089,100.0,100.0,100.0,100.0,100.0,100.0,100.0
flat,same_xx,factory_prepolish,2,31000,3,4,400,77.50003323396042,0.021096891521135825,0.06990774881163735,100.0,100.0,100.0,100.0,100.0,100.0,100.0
flat,same_xx,factory_prepolish,2,31000,4,0,400,77.58797029963907,0.018903581287571768,0.06483218952597065,100.0,100.0,100.0,100.0,100.0,100.0,100.0
flat,same_xx,factory_prepolish,2,31000,4,1,400,77.5211746206259,0.011677467694162265,0.039285704799245355,100.0,100.0,100.0,100.0,100.0,100.0,100.0
flat,same_xx,factory_prepolish,2,31000,4,2,400,70.84810481205366,0.030895716953897034,0.09988877337042183,50.74999999999999,100.0,100.0,100.0,50.74999999999999,100.0,100.0
flat,same_xx,factory_prepolish,2,31000,4,3,400,77.40960592213202,0.01948347249317063,0.0661737481613054,100.0,100.0,100.0,100.0,100.0,100.0,100.0
flat,same_xx,factory_prepolish,2,31000,4,4,400,77.60132430603396,0.021203779602870388,0.07200425634732785,100.0,100.0,100.0,100.0,100.0,100.0,100.0
flat,same_xx,factory_prepolish_deep_defect,5,31097,0,0,400,77.67140007546973,0.023652892285481283,0.08031746607512223,100.0,100.0,100.0,100.0,100.0,100.0,100.0
flat,same_xx,factory_prepolish_deep_defect,5,31097,0,1,400,77.54214448843575,0.022718409766208154,0.07731277746332176,100.0,100.0,100.0,100.0,100.0,100.0,100.0
