surface_kind,direction_mode,surface_profile,profile_seed,outcome,safety_ok,quality_ok,control_steps,sensor_fault_steps,force_hard_violated,thermal_hard_violated,unstable_hard_violated,final_all4_pass_area_pct
flat,same_xx,legacy_stress,31000,fail_max_passes,True,False,4853,0,False,False,False,88.47
flat,same_xx,legacy_stress,31097,fail_max_passes,True,False,6357,0,False,False,False,63.65
flat,cross_xy,legacy_stress,31000,fail_max_passes,True,False,4873,0,False,False,False,88.49000000000001
flat,cross_xy,legacy_stress,31097,fail_max_passes,True,False,6362,0,False,False,False,63.739999999999995
cylinder,same_xx,factory_prepolish,31000,fail_force_overload,False,False,473,0,True,False,False,97.22
cylinder,same_xx,factory_prepolish_deep_defect,31000,fail_force_overload,False,False,1581,0,True,False,False,94.22
cylinder,same_xx,legacy_stress,31097,fail_force_overload,False,False,3798,0,True,False,False,62.59
cylinder,same_xx,legacy_stress,31000,fail_max_passes,True,False,4825,0,False,False,False,88.21
cylinder,cross_xy,factory_prepolish,31000,fail_force_overload,False,False,473,0,True,False,False,97.22
cylinder,cross_xy,factory_prepolish_deep_defect,31000,fail_force_overload,False,False,1581,0,True,False,False,94.22
cylinder,cross_xy,legacy_stress,31000,fail_max_passes,True,False,4855,0,False,False,False,88.48
cylinder,cross_xy,legacy_stress,31097,fail_max_passes,True,False,6356,0,False,False,False,63.73
sphere,same_xx,legacy_stress,31000,fail_max_passes,True,False,4840,0,False,False,False,88.4
sphere,same_xx,legacy_stress,31097,fail_max_passes,True,False,6351,0,False,False,False,63.65
sphere,cross_xy,legacy_stress,31000,fail_max_passes,True,False,4868,0,False,False,False,88.49000000000001
sphere,cross_xy,legacy_stress,31097,fail_max_passes,True,False,6362,0,False,False,False,63.739999999999995
freeform,same_xx,factory_prepolish,31097,fail_force_overload,False,False,640,0,True,False,False,99.26
freeform,same_xx,factory_prepolish,31000,fail_force_overload,False,False,649,0,True,False,False,97.19
freeform,same_xx,legacy_stress,31000,fail_max_passes,True,False,4826,0,False,False,False,88.46000000000001
freeform,same_xx,legacy_stress,31097,fail_max_passes,True,False,6329,0,False,False,False,63.660000000000004
freeform,cross_xy,factory_prepolish,31097,fail_force_overload,False,False,640,0,True,False,False,99.26
freeform,cross_xy,factory_prepolish,31000,fail_force_overload,False,False,649,0,True,False,False,97.19
freeform,cross_xy,legacy_stress,31097,fail_force_overload,False,False,4522,0,True,False,False,62.93
freeform,cross_xy,legacy_stress,31000,fail_max_passes,True,False,4854,0,False,False,False,88.47
