epoch,train_mse,n,mse,mae,force_mae,feed_mae
0,0.02384880417514415,2880,0.017098696902394295,0.06853945553302765,0.1163470596075058,0.020731842145323753
1,0.0144236608186648,2880,0.00972132757306099,0.06079952418804169,0.10159600526094437,0.02000303752720356
2,0.008184564472841365,2880,0.005306654144078493,0.04558796435594559,0.05740668624639511,0.03376924991607666
3,0.004515394858927244,2880,0.0034430206287652254,0.0327221155166626,0.052199188619852066,0.013245039619505405
4,0.003152179274530638,2880,0.0022639010567218065,0.026622086763381958,0.04310956597328186,0.010134605690836906
5,0.002161737456030789,2880,0.0018910011276602745,0.022930270060896873,0.03582371771335602,0.010036827996373177
6,0.0018721046003823479,2880,0.0015823341673240066,0.02067146822810173,0.03258262202143669,0.008760316297411919
7,0.001576387050694653,2880,0.0014158542035147548,0.019796734675765038,0.03128550574183464,0.00830796267837286
8,0.0013915636676496692,2880,0.0012224101228639483,0.01802356168627739,0.02873796410858631,0.00730915879830718
9,0.0012193965681252025,2880,0.0010714753298088908,0.016500912606716156,0.026546582579612732,0.006455245427787304
10,0.0010829516464755649,2880,0.0009537549922242761,0.01543456595391035,0.02498793415725231,0.005881198216229677
11,0.0009734277907271115,2880,0.0008523861179128289,0.014040487818419933,0.02282833494246006,0.005252639763057232
12,0.0008852992700191126,2880,0.0007754115504212677,0.012967381626367569,0.02124868892133236,0.00468607759103179
13,0.000812774420427602,2880,0.000709578103851527,0.01205944549292326,0.019834646955132484,0.004284241236746311
14,0.0007490348846962055,2880,0.0006506505887955427,0.011189892888069153,0.01835508830845356,0.004024699330329895
15,0.0006952158829552078,2880,0.0006020452710799873,0.01048340369015932,0.017143303528428078,0.0038235026877373457
16,0.0006490308098450658,2880,0.0005606393096968532,0.009759493172168732,0.01600084826350212,0.003518138313665986
17,0.0006052931482415823,2880,0.0005234769778326154,0.009120137430727482,0.01489291712641716,0.0033473565708845854
18,0.0005692618474962988,2880,0.0004934266326017678,0.008581114932894707,0.013976282440125942,0.0031859485898166895
19,0.000538866053102538,2880,0.00046691132592968643,0.008097386918962002,0.01321253553032875,0.002982236910611391
