epoch,train_mse,n,mse,mae,force_mae,feed_mae
0,0.02374441059572356,2880,0.01679394766688347,0.06807094067335129,0.11417236924171448,0.021969517692923546
1,0.013541960467894873,2880,0.009239155799150467,0.0613291971385479,0.09526799619197845,0.027390385046601295
2,0.00811348453252798,2880,0.0050262645818293095,0.04389970749616623,0.05541355535387993,0.03238585591316223
3,0.004335764478448601,2880,0.0033758634235709906,0.03255210816860199,0.051359623670578,0.013744592666625977
4,0.0030866992105508134,2880,0.002191374311223626,0.02610580250620842,0.04214298725128174,0.010068613104522228
5,0.0021193465794480983,2880,0.0018260297365486622,0.021436933428049088,0.03433540090918541,0.008538462221622467
6,0.0018143250540431056,2880,0.0015218264888972044,0.019386015832424164,0.03166281804442406,0.0071092103607952595
7,0.0015374009353330447,2880,0.0013680203119292855,0.018583357334136963,0.03040170669555664,0.0067650070413947105
8,0.0013576147124348653,2880,0.0011803272645920515,0.016923069953918457,0.02758423238992691,0.006261906586587429
9,0.0011938721030240968,2880,0.0010397072182968259,0.015720676630735397,0.025465957820415497,0.0059753963723778725
10,0.0010636865748979505,2880,0.0009260477381758392,0.014680394902825356,0.02382848598062992,0.005532307084649801
11,0.0009593873977705482,2880,0.0008306922391057014,0.013490142300724983,0.021966231986880302,0.005014051683247089
12,0.0008755354110949806,2880,0.0007575955823995173,0.012489605695009232,0.02049560286104679,0.004483606666326523
13,0.0008064804576514732,2880,0.0006985625368542969,0.011691327206790447,0.0192185677587986,0.004164085257798433
14,0.0007466240043175362,2880,0.000642807746771723,0.010885476134717464,0.017878443002700806,0.0038925085682421923
15,0.0006949818881583356,2880,0.0005974743398837745,0.01021983940154314,0.016764644533395767,0.0036750345025211573
16,0.0006514558651750641,2880,0.0005587400519289076,0.009584658779203892,0.015775015577673912,0.003394301049411297
17,0.0006090331894700371,2880,0.0005236981087364256,0.009043963626027107,0.014807653613388538,0.003280272474512458
18,0.0005735209003822612,2880,0.0004948443383909762,0.00864169467240572,0.014113378711044788,0.003170010168105364
19,0.0005436905607071129,2880,0.0004699193814303726,0.008235755376517773,0.013430758379399776,0.0030407514423131943
