shield_mode,surface_kind,direction_mode,surface_profile,env,profile_seed,outcome,quality_ok,safety_ok,force_hard_violated,thermal_hard_violated,unstable_hard_violated,control_steps,contact_steps,sensor_fault_steps,raw_force_max_n,normal_alignment_error_max_deg,parent_force_action_mean,executed_force_action_mean,parent_feed_action_mean,executed_feed_action_mean,shield_step_fraction,force_action_cap_mean,force_action_cap_min,gu_before,gu_final,ra_before_um,ra_final_um,rz_before_um,rz_final_um,scratch_before_um,scratch_final_um,clearcoat_min_um,temperature_peak_c,before_gu_pass_area_pct,before_tile_gu_pass_area_pct_mean,before_tile_gu_pass_area_pct_min,before_tile_gu_pass_area_pct_p10,before_ra_pass_area_pct,before_tile_ra_pass_area_pct_mean,before_tile_ra_pass_area_pct_min,before_tile_ra_pass_area_pct_p10,before_rz_pass_area_pct,before_tile_rz_pass_area_pct_mean,before_tile_rz_pass_area_pct_min,before_tile_rz_pass_area_pct_p10,before_scratch_pass_area_pct,before_tile_scratch_pass_area_pct_mean,before_tile_scratch_pass_area_pct_min,before_tile_scratch_pass_area_pct_p10,before_all4_pass_area_pct,before_tile_all4_pass_area_pct_mean,before_tile_all4_pass_area_pct_min,before_tile_all4_pass_area_pct_p10,before_clearcoat_pass_area_pct,before_tile_clearcoat_pass_area_pct_mean,before_tile_clearcoat_pass_area_pct_min,before_tile_clearcoat_pass_area_pct_p10,before_temperature_pass_area_pct,before_tile_temperature_pass_area_pct_mean,before_tile_temperature_pass_area_pct_min,before_tile_temperature_pass_area_pct_p10,final_gu_pass_area_pct,final_tile_gu_pass_area_pct_mean,final_tile_gu_pass_area_pct_min,final_tile_gu_pass_area_pct_p10,final_ra_pass_area_pct,final_tile_ra_pass_area_pct_mean,final_tile_ra_pass_area_pct_min,final_tile_ra_pass_area_pct_p10,final_rz_pass_area_pct,final_tile_rz_pass_area_pct_mean,final_tile_rz_pass_area_pct_min,final_tile_rz_pass_area_pct_p10,final_scratch_pass_area_pct,final_tile_scratch_pass_area_pct_mean,final_tile_scratch_pass_area_pct_min,final_tile_scratch_pass_area_pct_p10,final_all4_pass_area_pct,final_tile_all4_pass_area_pct_mean,final_tile_all4_pass_area_pct_min,final_tile_all4_pass_area_pct_p10,final_clearcoat_pass_area_pct,final_tile_clearcoat_pass_area_pct_mean,final_tile_clearcoat_pass_area_pct_min,final_tile_clearcoat_pass_area_pct_p10,final_temperature_pass_area_pct,final_tile_temperature_pass_area_pct_mean,final_tile_temperature_pass_area_pct_min,final_tile_temperature_pass_area_pct_p10
control,cylinder,same_xx,factory_prepolish_deep_defect,2,33000,fail_force_overload,False,False,True,False,False,497,397,0,11.410757064819336,48.52824401855469,0.9865616076069339,0.9865616076069339,-0.6478337397277955,-0.6478337397277955,0.0,1.0,1.0,72.55938204198742,72.71003418344243,0.10692765102569458,0.10654560774793922,1.101674374615242,1.092282261634564,0.8089169129540905,0.7961540175255923,45.00973666151074,27.439202013403847,97.69,97.69,73.25,91.30000000000001,99.79,99.79,94.75,100.0,100.0,100.0,100.0,100.0,99.96000000000001,99.96,99.25,100.0,97.69,97.69,73.25,91.30000000000001,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,97.7,97.7,73.25,91.30000000000001,99.81,99.81,95.25,100.0,100.0,100.0,100.0,100.0,99.97,99.97,99.25,100.0,97.7,97.7,73.25,91.30000000000001,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control,cylinder,same_xx,factory_prepolish,1,33000,fail_force_overload,False,False,True,False,False,1371,1271,0,14.04121208190918,48.528404235839844,0.965987830180308,0.965987830180308,-0.5434683216946304,-0.5434683216946304,0.0,1.0,1.0,73.64050720827028,75.03394111803576,0.10565167146721956,0.09514290071948546,0.9009855584762825,0.869371735535339,0.47406578645426295,0.42347472466078623,45.003238863979966,29.070281445605563,98.35000000000001,98.35,73.25,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.97,99.97,99.25,100.0,98.35000000000001,98.35,73.25,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,98.36,98.36,73.5,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.99,99.99,99.75,100.0,98.36,98.36,73.5,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control,cylinder,same_xx,factory_prepolish_deep_stress,3,33000,success,True,True,False,False,False,3723,3623,0,10.563972473144531,48.52824401855469,0.7084940240875771,0.7084940240875771,-0.22293781657137124,-0.22293781657137124,0.0,1.0,1.0,72.45535958785128,74.45641505005439,0.10769956744699889,0.09329789621401435,1.4882933957642661,1.281533603462072,1.2342169080740133,1.210312133065505,44.91844698810101,29.052800536181568,97.67,97.67,73.25,91.30000000000001,99.56,99.56,89.0,100.0,100.0,100.0,100.0,100.0,99.96000000000001,99.96,99.25,100.0,97.67,97.67,73.25,91.30000000000001,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,98.28,98.28,83.0,93.25,99.57000000000001,99.57,89.25,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,98.28,98.28,83.0,93.25,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control,cylinder,same_xx,legacy_stress,0,33000,fail_force_overload,False,False,True,False,False,4218,4118,0,11.892906188964844,48.528404235839844,0.8803576006637528,0.8803576006637528,-0.7436917972618042,-0.7436917972618042,0.0,1.0,1.0,59.55281437070864,64.0925365598517,0.11785949039544316,0.1119550864202597,2.199016327310254,2.1346796925358094,1.890045173148816,1.7039812174791757,42.307747692335916,29.55900842189144,84.26,84.26,40.0,53.449999999999996,94.38,94.38,65.0,81.8,100.0,100.0,100.0,100.0,99.72,99.72,97.5,99.35,84.26,84.26,40.0,53.449999999999996,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,85.00999999999999,85.01,41.75,56.150000000000006,95.61,95.61,68.25,87.7,100.0,100.0,100.0,100.0,99.97,99.97,99.5,100.0,85.00999999999999,85.01,41.75,56.150000000000006,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control,flat,same_xx,factory_prepolish,1,33000,success,True,True,False,False,False,3721,3622,0,9.27402400970459,89.16697692871094,0.7187608513331356,0.7187608513331356,-0.22192949311719148,-0.22192949311719148,0.0,1.0,1.0,73.64050720827028,75.5432493195965,0.10565167146721956,0.09421671602907276,0.9009855584762825,0.8182039553104283,0.47406578645426295,0.3525244155494911,44.91856120340737,29.097134395239564,98.35000000000001,98.35,73.25,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.97,99.97,99.25,100.0,98.35000000000001,98.35,73.25,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,98.96000000000001,98.96,85.25,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,98.96000000000001,98.96,85.25,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control,flat,same_xx,factory_prepolish_deep_stress,3,33000,success,True,True,False,False,False,3733,3634,0,8.377056121826172,89.1669921875,0.7195540463600278,0.7195540463600278,-0.2277473658812276,-0.2277473658812276,0.0,1.0,1.0,72.45535958785128,74.45343577506969,0.10769956744699889,0.09399389848249046,1.4882933957642661,1.2835241776054467,1.2342169080740133,1.2106258343128702,44.91874146299754,29.097478307157473,97.67,97.67,73.25,91.30000000000001,99.56,99.56,89.0,100.0,100.0,100.0,100.0,100.0,99.96000000000001,99.96,99.25,100.0,97.67,97.67,73.25,91.30000000000001,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,98.28,98.28,83.0,93.25,99.57000000000001,99.57,89.25,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,98.28,98.28,83.0,93.25,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control,flat,same_xx,factory_prepolish_deep_defect,2,33000,success,True,True,False,False,False,3734,3635,0,9.4632568359375,89.1669921875,0.7199631439802253,0.7199631439802253,-0.2280581559712515,-0.2280581559712515,0.0,1.0,1.0,72.55938204198742,74.59233290913414,0.10692765102569458,0.09337826899259524,1.101674374615242,0.939815346862078,0.8089169129540905,0.784720875496086,44.91848498368116,29.09483463796623,97.69,97.69,73.25,91.30000000000001,99.79,99.79,94.75,100.0,100.0,100.0,100.0,100.0,99.96000000000001,99.96,99.25,100.0,97.69,97.69,73.25,91.30000000000001,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,98.34,98.34,84.5,93.25,99.81,99.81,95.25,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,98.34,98.34,84.5,93.25,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control,flat,same_xx,legacy_stress,0,33000,fail_max_passes,False,True,False,False,False,5374,5275,0,8.788050651550293,89.16697692871094,0.8954414451348547,0.8954414451348547,-0.7691796040775931,-0.7691796040775931,0.0,1.0,1.0,59.55281437070864,65.22083366514575,0.11785949039544316,0.10503062777383927,2.199016327310254,2.1847976646150657,1.890045173148816,1.7036637773131438,42.233105952326746,29.56960001131594,84.26,84.26,40.0,53.449999999999996,94.38,94.38,65.0,81.8,100.0,100.0,100.0,100.0,99.72,99.72,97.5,99.35,84.26,84.26,40.0,53.449999999999996,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,85.6,85.6,42.75,56.150000000000006,96.03,96.03,70.25,87.9,100.0,100.0,100.0,100.0,99.97,99.97,99.5,100.0,85.6,85.6,42.75,56.150000000000006,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control,freeform,same_xx,factory_prepolish,1,33000,success,True,True,False,False,False,3716,3616,0,12.107232093811035,88.24533081054688,0.6978340931116443,0.6978340931116443,-0.2198303970844115,-0.2198303970844115,0.0,1.0,1.0,73.64050720827028,75.54018485099921,0.10565167146721956,0.09409120699077793,0.9009855584762825,0.8158400616251065,0.47406578645426295,0.35363044675777,44.924554345888,29.07948135783786,98.35000000000001,98.35,73.25,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.97,99.97,99.25,100.0,98.35000000000001,98.35,73.25,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,98.96000000000001,98.96,85.25,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,98.96000000000001,98.96,85.25,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control,freeform,same_xx,factory_prepolish_deep_defect,2,33000,success,True,True,False,False,False,3718,3618,0,11.804145812988281,88.2453384399414,0.6943561036586601,0.6943561036586601,-0.22063153241713435,-0.22063153241713435,0.0,1.0,1.0,72.55938204198742,74.59103993397991,0.10692765102569458,0.09279009591324638,1.101674374615242,0.9405728640758706,0.8089169129540905,0.7844808576204833,44.92335804478066,29.063713269410076,97.69,97.69,73.25,91.30000000000001,99.79,99.79,94.75,100.0,100.0,100.0,100.0,100.0,99.96000000000001,99.96,99.25,100.0,97.69,97.69,73.25,91.30000000000001,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,98.34,98.34,84.5,93.25,99.81,99.81,95.25,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,98.34,98.34,84.5,93.25,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
