shield_mode,surface_kind,direction_mode,surface_profile,env,profile_seed,tile_i,tile_j,cell_count,local_gu_mean,local_ra_mean_um,local_rz_mean_um,gu_pass_area_pct,ra_pass_area_pct,rz_pass_area_pct,scratch_pass_area_pct,all4_pass_area_pct,clearcoat_pass_area_pct,temperature_pass_area_pct
control,sphere,same_xx,factory_prepolish,1,33000,0,0,400,77.66092298945777,0.018124241090790184,0.061472556743063775,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control,sphere,same_xx,factory_prepolish,1,33000,0,1,400,77.44314727962133,0.01633855052658921,0.05544362530494608,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control,sphere,same_xx,factory_prepolish,1,33000,0,2,400,77.39814446376703,0.012522399639859372,0.04189695241108504,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control,sphere,same_xx,factory_prepolish,1,33000,0,3,400,77.4337847488552,0.016879221943908576,0.0570656342556771,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control,sphere,same_xx,factory_prepolish,1,33000,0,4,400,77.53365216030603,0.022294553230565724,0.07586891930397638,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control,sphere,same_xx,factory_prepolish,1,33000,1,0,400,77.53918564137986,0.01742777999313003,0.05869915479420218,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control,sphere,same_xx,factory_prepolish,1,33000,1,1,400,77.25949591120319,0.015909301995693466,0.05408784180387415,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control,sphere,same_xx,factory_prepolish,1,33000,1,2,400,75.36170307641743,0.018744313863485268,0.06327026304462519,88.75,100.0,100.0,100.0,88.75,100.0,100.0
control,sphere,same_xx,factory_prepolish,1,33000,1,3,400,74.55395651322213,0.02028318529978486,0.06785797119568142,85.25,100.0,100.0,100.0,85.25,100.0,100.0
control,sphere,same_xx,factory_prepolish,1,33000,1,4,400,77.50482531183735,0.015434210838403057,0.05299361046545577,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control,sphere,same_xx,factory_prepolish,1,33000,2,0,400,77.48819598413488,0.017114687766287055,0.05862008802985753,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control,sphere,same_xx,factory_prepolish,1,33000,2,1,400,77.36872389806463,0.015431552879624494,0.0524477885634494,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control,sphere,same_xx,factory_prepolish,1,33000,2,2,400,77.3341748763699,0.014231730413807629,0.04795075432959825,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control,sphere,same_xx,factory_prepolish,1,33000,2,3,400,77.36529686095038,0.01365950130021063,0.04665786518371058,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control,sphere,same_xx,factory_prepolish,1,33000,2,4,400,77.53027275133014,0.017611378420333047,0.0595926968046566,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control,sphere,same_xx,factory_prepolish,1,33000,3,0,400,77.49112427718197,0.016809598458784724,0.057695041478857206,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control,sphere,same_xx,factory_prepolish,1,33000,3,1,400,77.38381633116447,0.017833848039006207,0.06025220670653133,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control,sphere,same_xx,factory_prepolish,1,33000,3,2,400,77.41757323349792,0.016777011267840976,0.05641915199692651,100.0,100.0,100.0,100.0,100.0,100.0,100.0
