shield_mode,surface_kind,direction_mode,surface_profile,env,profile_seed,tile_i,tile_j,cell_count,local_gu_mean,local_ra_mean_um,local_rz_mean_um,gu_pass_area_pct,ra_pass_area_pct,rz_pass_area_pct,scratch_pass_area_pct,all4_pass_area_pct,clearcoat_pass_area_pct,temperature_pass_area_pct
control,flat,cross_xy,factory_prepolish,1,33000,0,0,400,77.65381430066637,0.018107551123762687,0.06142645672709238,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control,flat,cross_xy,factory_prepolish,1,33000,0,1,400,77.45811867477492,0.016858129921714694,0.05716357198936805,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control,flat,cross_xy,factory_prepolish,1,33000,0,2,400,77.40246813713549,0.013160603227638875,0.04406394701299729,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control,flat,cross_xy,factory_prepolish,1,33000,0,3,400,77.41915169187905,0.016714703242591184,0.056573686330419315,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control,flat,cross_xy,factory_prepolish,1,33000,0,4,400,77.4993368297649,0.020905005270731792,0.07119011320345893,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control,flat,cross_xy,factory_prepolish,1,33000,1,0,400,77.52788814809331,0.017306468459865134,0.05834031792806886,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control,flat,cross_xy,factory_prepolish,1,33000,1,1,400,77.29748033260428,0.016360148340077686,0.055579915638421296,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control,flat,cross_xy,factory_prepolish,1,33000,1,2,400,75.38458894737828,0.019219169481523815,0.06491476062542119,88.25,100.0,100.0,100.0,88.25,100.0,100.0
control,flat,cross_xy,factory_prepolish,1,33000,1,3,400,74.55612503351036,0.01977924424377557,0.06625926595609652,86.25,100.0,100.0,100.0,86.25,100.0,100.0
control,flat,cross_xy,factory_prepolish,1,33000,1,4,400,77.48988570501844,0.014172016115861169,0.048531834107372024,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control,flat,cross_xy,factory_prepolish,1,33000,2,0,400,77.51824227434666,0.017673236183530235,0.060473505693212054,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control,flat,cross_xy,factory_prepolish,1,33000,2,1,400,77.4124284497556,0.016359248906478906,0.05561561373890609,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control,flat,cross_xy,factory_prepolish,1,33000,2,2,400,77.35494716749892,0.014801043185386996,0.0498865624359445,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control,flat,cross_xy,factory_prepolish,1,33000,2,3,400,77.39629747127815,0.014285342732000597,0.04867985326751995,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control,flat,cross_xy,factory_prepolish,1,33000,2,4,400,77.54081384267892,0.017578422902015695,0.05946312324178038,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control,flat,cross_xy,factory_prepolish,1,33000,3,0,400,77.52155289348426,0.01738853925941763,0.059669582234382845,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control,flat,cross_xy,factory_prepolish,1,33000,3,1,400,77.4206620123499,0.01857366868734807,0.06261725384368207,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control,flat,cross_xy,factory_prepolish,1,33000,3,2,400,77.43626984932442,0.017109876099308374,0.057451179487240725,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control,flat,cross_xy,factory_prepolish,1,33000,3,3,400,77.41194240076506,0.0190188277112061,0.06417482896199615,100.0,100.0,100.0,100.0,100.0,100.0,100.0
