shield_mode,surface_kind,direction_mode,surface_profile,env,profile_seed,tile_i,tile_j,cell_count,local_gu_mean,local_ra_mean_um,local_rz_mean_um,gu_pass_area_pct,ra_pass_area_pct,rz_pass_area_pct,scratch_pass_area_pct,all4_pass_area_pct,clearcoat_pass_area_pct,temperature_pass_area_pct
control,freeform,cross_xy,factory_prepolish,1,33000,0,0,400,77.65051493339561,0.01805282496059295,0.061247150977611596,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control,freeform,cross_xy,factory_prepolish,1,33000,0,1,400,77.45718544732739,0.01681584153827151,0.05700688325216438,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control,freeform,cross_xy,factory_prepolish,1,33000,0,2,400,77.40517477715747,0.013168669885980295,0.04408457963452379,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control,freeform,cross_xy,factory_prepolish,1,33000,0,3,400,77.41816483342518,0.016648204081775902,0.056329284032120945,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control,freeform,cross_xy,factory_prepolish,1,33000,0,4,400,77.49285157839768,0.020714332098262594,0.07053976416827845,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control,freeform,cross_xy,factory_prepolish,1,33000,1,0,400,77.52631947719341,0.01727277460574345,0.058217851700622575,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control,freeform,cross_xy,factory_prepolish,1,33000,1,1,400,77.29937427183968,0.016381622311333482,0.05565484065052499,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control,freeform,cross_xy,factory_prepolish,1,33000,1,2,400,75.38021142410423,0.019373465041603782,0.06542250764244951,88.25,100.0,100.0,100.0,88.25,100.0,100.0
control,freeform,cross_xy,factory_prepolish,1,33000,1,3,400,74.54054615552364,0.019868458214294827,0.0665418625296368,85.75,100.0,100.0,100.0,85.75,100.0,100.0
control,freeform,cross_xy,factory_prepolish,1,33000,1,4,400,77.4885955311552,0.014163609675169907,0.0485053784034306,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control,freeform,cross_xy,factory_prepolish,1,33000,2,0,400,77.51857091246356,0.017682448179592435,0.06049098398826862,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control,freeform,cross_xy,factory_prepolish,1,33000,2,1,400,77.41655309073207,0.016440302941662942,0.055896704845417575,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control,freeform,cross_xy,factory_prepolish,1,33000,2,2,400,77.36338003219156,0.014984005182616117,0.05048862118086592,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control,freeform,cross_xy,factory_prepolish,1,33000,2,3,400,77.40185901096794,0.014402652402457623,0.049073171905684373,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control,freeform,cross_xy,factory_prepolish,1,33000,2,4,400,77.54330603535671,0.017644126932049718,0.05967718941036451,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control,freeform,cross_xy,factory_prepolish,1,33000,3,0,400,77.52620520537582,0.017489254832521683,0.06000874916523619,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control,freeform,cross_xy,factory_prepolish,1,33000,3,1,400,77.42923869622217,0.018744438187591538,0.06317552524973738,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control,freeform,cross_xy,factory_prepolish,1,33000,3,2,400,77.44566800982031,0.017297376288634505,0.05807717664306988,100.0,100.0,100.0,100.0,100.0,100.0,100.0
