shield_mode,surface_kind,direction_mode,surface_profile,env,profile_seed,tile_i,tile_j,cell_count,local_gu_mean,local_ra_mean_um,local_rz_mean_um,gu_pass_area_pct,ra_pass_area_pct,rz_pass_area_pct,scratch_pass_area_pct,all4_pass_area_pct,clearcoat_pass_area_pct,temperature_pass_area_pct
control,sphere,cross_xy,factory_prepolish,1,33000,0,0,400,77.6526188785847,0.01808983790607915,0.06136755960347383,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control,sphere,cross_xy,factory_prepolish,1,33000,0,1,400,77.45772366509202,0.01682796263048236,0.057075827904900914,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control,sphere,cross_xy,factory_prepolish,1,33000,0,2,400,77.40449270400191,0.013150159083428163,0.044036076598776557,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control,sphere,cross_xy,factory_prepolish,1,33000,0,3,400,77.41928940599152,0.016705118524216193,0.05655299759549603,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control,sphere,cross_xy,factory_prepolish,1,33000,0,4,400,77.49810696407815,0.020859908683782177,0.07103800297659303,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control,sphere,cross_xy,factory_prepolish,1,33000,1,0,400,77.5276313958604,0.017299974003349084,0.05831623592808992,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control,sphere,cross_xy,factory_prepolish,1,33000,1,1,400,77.29876459359761,0.016374851788945106,0.05562340468295192,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control,sphere,cross_xy,factory_prepolish,1,33000,1,2,400,75.37989535648789,0.01931341349491096,0.06522612779708775,88.25,100.0,100.0,100.0,88.25,100.0,100.0
control,sphere,cross_xy,factory_prepolish,1,33000,1,3,400,74.54859982924467,0.01985563262169269,0.06650823332429284,86.25,100.0,100.0,100.0,86.25,100.0,100.0
control,sphere,cross_xy,factory_prepolish,1,33000,1,4,400,77.49054067283598,0.01417207443714894,0.048541622797852034,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control,sphere,cross_xy,factory_prepolish,1,33000,2,0,400,77.5193994321881,0.01769368475045117,0.06054004705520148,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control,sphere,cross_xy,factory_prepolish,1,33000,2,1,400,77.41438620445996,0.016397035777190726,0.055749000628679685,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control,sphere,cross_xy,factory_prepolish,1,33000,2,2,400,77.35891545788482,0.014872996988541878,0.05011495264454686,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control,sphere,cross_xy,factory_prepolish,1,33000,2,3,400,77.39832710744135,0.01431994798210312,0.0488091568974697,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control,sphere,cross_xy,factory_prepolish,1,33000,2,4,400,77.54127274492211,0.017594077022727014,0.059505049536776336,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control,sphere,cross_xy,factory_prepolish,1,33000,3,0,400,77.52312159847139,0.01741029908539391,0.059751259957159186,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control,sphere,cross_xy,factory_prepolish,1,33000,3,1,400,77.42286719459324,0.018619307611619406,0.06276576301948367,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control,sphere,cross_xy,factory_prepolish,1,33000,3,2,400,77.43831670026198,0.017148481371605687,0.05760323763662058,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control,sphere,cross_xy,factory_prepolish,1,33000,3,3,400,77.41281217861513,0.01903940567021571,0.06424647386321863,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control,sphere,cross_xy,factory_prepolish,1,33000,3,4,400,77.58363356185207,0.01851348540692843,0.06257050522804818,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control,sphere,cross_xy,factory_prepolish,1,33000,4,0,400,77.62670595710297,0.018484727116454876,0.06289305769206996,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control,sphere,cross_xy,factory_prepolish,1,33000,4,1,400,77.62333902031645,0.015644754468230226,0.052110254642460496,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control,sphere,cross_xy,factory_prepolish,1,33000,4,2,400,77.58032274546062,0.01777829157465681,0.06054923014885192,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control,sphere,cross_xy,factory_prepolish,1,33000,4,3,400,77.52455339828253,0.018656369936672232,0.06316529480394008,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control,sphere,cross_xy,factory_prepolish,1,33000,4,4,400,77.59052866501476,0.019962024457915378,0.06902975841706459,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control,sphere,cross_xy,factory_prepolish_deep_defect,2,33000,0,0,400,73.20850788166445,0.03994343120185598,0.1331320221465224,84.5,95.25,100.0,100.0,84.5,100.0,100.0
control,sphere,cross_xy,factory_prepolish_deep_defect,2,33000,0,1,400,77.45948963448546,0.01686378478822088,0.057184735116596545,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control,sphere,cross_xy,factory_prepolish_deep_defect,2,33000,0,2,400,77.40496208658863,0.013167889480662094,0.04409569798948775,100.0,100.0,100.0,100.0,100.0,100.0,100.0
