shield_mode,surface_kind,direction_mode,surface_profile,env,profile_seed,tile_i,tile_j,cell_count,local_gu_mean,local_ra_mean_um,local_rz_mean_um,gu_pass_area_pct,ra_pass_area_pct,rz_pass_area_pct,scratch_pass_area_pct,all4_pass_area_pct,clearcoat_pass_area_pct,temperature_pass_area_pct
static_cap,sphere,cross_xy,factory_prepolish,1,33000,0,0,400,77.67914906769404,0.018476057118722352,0.06267386891847179,100.0,100.0,100.0,100.0,100.0,100.0,100.0
static_cap,sphere,cross_xy,factory_prepolish,1,33000,0,1,400,77.4971062563998,0.017490914099670317,0.05930305289185455,100.0,100.0,100.0,100.0,100.0,100.0,100.0
static_cap,sphere,cross_xy,factory_prepolish,1,33000,0,2,400,77.4493056715338,0.013814853638765725,0.04623703110611492,100.0,100.0,100.0,100.0,100.0,100.0,100.0
static_cap,sphere,cross_xy,factory_prepolish,1,33000,0,3,400,77.46026675277162,0.017427925105580472,0.058965423207963996,100.0,100.0,100.0,100.0,100.0,100.0,100.0
static_cap,sphere,cross_xy,factory_prepolish,1,33000,0,4,400,77.5362863806669,0.021539728970212595,0.07339123646927373,100.0,100.0,100.0,100.0,100.0,100.0,100.0
static_cap,sphere,cross_xy,factory_prepolish,1,33000,1,0,400,77.55736175188305,0.017914738021528404,0.06038553946132084,100.0,100.0,100.0,100.0,100.0,100.0,100.0
static_cap,sphere,cross_xy,factory_prepolish,1,33000,1,1,400,77.34451281493024,0.017227724719070203,0.05851816733426954,100.0,100.0,100.0,100.0,100.0,100.0,100.0
static_cap,sphere,cross_xy,factory_prepolish,1,33000,1,2,400,75.2893981046528,0.020772433912091996,0.07011155643282029,88.25,100.0,100.0,100.0,88.25,100.0,100.0
static_cap,sphere,cross_xy,factory_prepolish,1,33000,1,3,400,74.39200961280149,0.021557666625045973,0.07209585413976094,84.5,100.0,100.0,100.0,84.5,100.0,100.0
static_cap,sphere,cross_xy,factory_prepolish,1,33000,1,4,400,77.52943574755514,0.014947065778170416,0.0511369253658642,100.0,100.0,100.0,100.0,100.0,100.0,100.0
