shield_mode,surface_kind,direction_mode,surface_profile,env,profile_seed,tile_i,tile_j,cell_count,local_gu_mean,local_ra_mean_um,local_rz_mean_um,gu_pass_area_pct,ra_pass_area_pct,rz_pass_area_pct,scratch_pass_area_pct,all4_pass_area_pct,clearcoat_pass_area_pct,temperature_pass_area_pct
control,cylinder,cross_xy,factory_prepolish,1,40000,0,0,400,77.69150419371189,0.026166265561118278,0.08844640935506472,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control,cylinder,cross_xy,factory_prepolish,1,40000,0,1,400,77.54451184458483,0.026610988074222873,0.08960981715842341,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control,cylinder,cross_xy,factory_prepolish,1,40000,0,2,400,77.52726650437404,0.021408606740789975,0.071938222122486,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control,cylinder,cross_xy,factory_prepolish,1,40000,0,3,400,77.52127408442573,0.02749423433060045,0.09168395294366918,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control,cylinder,cross_xy,factory_prepolish,1,40000,0,4,400,77.61910251405394,0.026032488870178727,0.08775598427220284,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control,cylinder,cross_xy,factory_prepolish,1,40000,1,0,400,77.4939924671715,0.021844179777694137,0.07439591408964423,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control,cylinder,cross_xy,factory_prepolish,1,40000,1,1,400,77.43304128809574,0.021723482379516695,0.07346643859144006,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control,cylinder,cross_xy,factory_prepolish,1,40000,1,2,400,77.32404539964196,0.02431998299117157,0.08170389402129707,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control,cylinder,cross_xy,factory_prepolish,1,40000,1,3,400,77.52040539460181,0.02140941401398776,0.07260104214791957,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control,cylinder,cross_xy,factory_prepolish,1,40000,1,4,400,77.63659345152608,0.02063602530551042,0.07040715057293985,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control,cylinder,cross_xy,factory_prepolish,1,40000,2,0,400,76.84483819168788,0.02295541548733567,0.07775217052708101,96.5,100.0,100.0,100.0,96.5,100.0,100.0
control,cylinder,cross_xy,factory_prepolish,1,40000,2,1,400,77.3737233678278,0.017610704120697505,0.05937745378537866,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control,cylinder,cross_xy,factory_prepolish,1,40000,2,2,400,77.50497934529058,0.016641164712057475,0.05606943863238227,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control,cylinder,cross_xy,factory_prepolish,1,40000,2,3,400,77.430534075616,0.0240003587275947,0.08184199380428424,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control,cylinder,cross_xy,factory_prepolish,1,40000,2,4,400,77.60014973296978,0.02259288841932313,0.07600970250362518,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control,cylinder,cross_xy,factory_prepolish,1,40000,3,0,400,71.36114019700501,0.039354685250756145,0.13266523756542273,67.25,100.0,100.0,100.0,67.25,100.0,100.0
control,cylinder,cross_xy,factory_prepolish,1,40000,3,1,400,77.46577441831153,0.01462981180576509,0.049153821992864645,100.0,100.0,100.0,100.0,100.0,100.0,100.0
