shield_mode,surface_kind,direction_mode,surface_profile,env,profile_seed,tile_i,tile_j,cell_count,local_gu_mean,local_ra_mean_um,local_rz_mean_um,gu_pass_area_pct,ra_pass_area_pct,rz_pass_area_pct,scratch_pass_area_pct,all4_pass_area_pct,clearcoat_pass_area_pct,temperature_pass_area_pct
control,cylinder,same_xx,factory_prepolish_deep_defect,2,43000,0,0,400,77.84666931408186,0.025755563193893626,0.0865338308846601,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control,cylinder,same_xx,factory_prepolish_deep_defect,2,43000,0,1,400,77.94529459244396,0.03096843908353856,0.10406385034473399,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control,cylinder,same_xx,factory_prepolish_deep_defect,2,43000,0,2,400,69.40680197644468,0.06173990103013006,0.2047625747941817,73.75,94.5,100.0,99.75,73.75,100.0,100.0
control,cylinder,same_xx,factory_prepolish_deep_defect,2,43000,0,3,400,62.085944854173384,0.07844983576990928,0.2529011176825027,52.25,90.25,100.0,98.25,52.25,100.0,100.0
control,cylinder,same_xx,factory_prepolish_deep_defect,2,43000,0,4,400,67.86992918519894,0.03983361277484132,0.13607982257146417,77.0,99.0,100.0,97.0,77.0,100.0,100.0
control,cylinder,same_xx,factory_prepolish_deep_defect,2,43000,1,0,400,77.72320443461062,0.023269297465838504,0.0792001661371091,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control,cylinder,same_xx,factory_prepolish_deep_defect,2,43000,1,1,400,77.86408632621342,0.029509194903832966,0.10003897820175017,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control,cylinder,same_xx,factory_prepolish_deep_defect,2,43000,1,2,400,77.99999998511555,0.03249794072328274,0.10944089125009861,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control,cylinder,same_xx,factory_prepolish_deep_defect,2,43000,1,3,400,77.99999998511555,0.029529672387962357,0.09934497010044607,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control,cylinder,same_xx,factory_prepolish_deep_defect,2,43000,1,4,400,77.99999998511555,0.023688620864989563,0.07918499787770342,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control,cylinder,same_xx,factory_prepolish_deep_defect,2,43000,2,0,400,77.71456451265733,0.02219661472458333,0.07476174016934495,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control,cylinder,same_xx,factory_prepolish_deep_defect,2,43000,2,1,400,77.8748132074238,0.026255093775721165,0.08964967476658116,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control,cylinder,same_xx,factory_prepolish_deep_defect,2,43000,2,2,400,77.99999998239231,0.030230163422630095,0.101953517218696,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control,cylinder,same_xx,factory_prepolish_deep_defect,2,43000,2,3,400,74.30735368750784,0.030983350140516692,0.10416910043394971,93.0,100.0,100.0,99.0,93.0,100.0,100.0
control,cylinder,same_xx,factory_prepolish_deep_defect,2,43000,2,4,400,77.99999998239231,0.026843206582086037,0.09010821192327509,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control,cylinder,same_xx,factory_prepolish_deep_defect,2,43000,3,0,400,77.72712140744217,0.02106171777610725,0.07102580968300107,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control,cylinder,same_xx,factory_prepolish_deep_defect,2,43000,3,1,400,77.87958459964707,0.02474333064006134,0.08269030609772067,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control,cylinder,same_xx,factory_prepolish_deep_defect,2,43000,3,2,400,77.08625817599992,0.030354103554170644,0.10274375123486902,96.5,100.0,100.0,100.0,96.5,100.0,100.0
control,cylinder,same_xx,factory_prepolish_deep_defect,2,43000,3,3,400,70.15441078444813,0.028739058069199564,0.09689534054468198,66.0,100.0,100.0,99.5,66.0,100.0,100.0
control,cylinder,same_xx,factory_prepolish_deep_defect,2,43000,3,4,400,77.9999999877079,0.029961089481501602,0.10131349815876088,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control,cylinder,same_xx,factory_prepolish_deep_defect,2,43000,4,0,400,77.81013493562466,0.02100180314487914,0.07081773374296084,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control,cylinder,same_xx,factory_prepolish_deep_defect,2,43000,4,1,400,77.88968733389896,0.028079046044828103,0.09396363330614285,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control,cylinder,same_xx,factory_prepolish_deep_defect,2,43000,4,2,400,77.1094692191663,0.02723593318317331,0.09180390910603542,97.75,100.0,100.0,100.0,97.75,100.0,100.0
control,cylinder,same_xx,factory_prepolish_deep_defect,2,43000,4,3,400,77.02015545468782,0.027398644795527668,0.09254059799056569,97.5,100.0,100.0,100.0,97.5,100.0,100.0
control,cylinder,same_xx,factory_prepolish_deep_defect,2,43000,4,4,400,77.99999998743857,0.027784513538051704,0.09360203432021413,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control,cylinder,same_xx,factory_prepolish_deep_stress,3,43000,0,0,400,77.84666931408186,0.025755563193893626,0.0865338308846601,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control,cylinder,same_xx,factory_prepolish_deep_stress,3,43000,0,1,400,77.94529459244396,0.03096843908353856,0.10406385034473399,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control,cylinder,same_xx,factory_prepolish_deep_stress,3,43000,0,2,400,68.17999376583252,0.08157686129981197,0.26961104090319493,73.75,83.0,100.0,100.0,73.75,100.0,100.0
control,cylinder,same_xx,factory_prepolish_deep_stress,3,43000,0,3,400,60.07472666293248,0.10804993516861777,0.34700484251537694,51.74999999999999,73.25,100.0,98.25,51.74999999999999,100.0,100.0
control,cylinder,same_xx,factory_prepolish_deep_stress,3,43000,0,4,400,67.77609205783334,0.04444239180846072,0.15187321028515427,76.75,96.0,100.0,97.25,76.75,100.0,100.0
control,cylinder,same_xx,factory_prepolish_deep_stress,3,43000,1,0,400,77.72320443461062,0.023269297465838504,0.0792001661371091,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control,cylinder,same_xx,factory_prepolish_deep_stress,3,43000,1,1,400,77.86408632621342,0.029509194903832966,0.10003897820175017,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control,cylinder,same_xx,factory_prepolish_deep_stress,3,43000,1,2,400,77.99999998511555,0.032497940373556536,0.10944089036544392,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control,cylinder,same_xx,factory_prepolish_deep_stress,3,43000,1,3,400,77.99999998511555,0.029529672387962017,0.09934497010044474,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control,cylinder,same_xx,factory_prepolish_deep_stress,3,43000,1,4,400,77.99999998511555,0.023688620864989563,0.07918499787770342,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control,cylinder,same_xx,factory_prepolish_deep_stress,3,43000,2,0,400,77.71456451265733,0.02219661472458333,0.07476174016934495,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control,cylinder,same_xx,factory_prepolish_deep_stress,3,43000,2,1,400,77.8748132074238,0.026255093775721165,0.08964967476658116,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control,cylinder,same_xx,factory_prepolish_deep_stress,3,43000,2,2,400,77.99999998239231,0.030230163422630095,0.101953517218696,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control,cylinder,same_xx,factory_prepolish_deep_stress,3,43000,2,3,400,74.30735368750784,0.030983350140516692,0.10416910043394971,93.0,100.0,100.0,99.0,93.0,100.0,100.0
control,cylinder,same_xx,factory_prepolish_deep_stress,3,43000,2,4,400,77.99999998239231,0.026843206582086037,0.09010821192327509,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control,cylinder,same_xx,factory_prepolish_deep_stress,3,43000,3,0,400,77.72712140744217,0.02106171777610725,0.07102580968300107,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control,cylinder,same_xx,factory_prepolish_deep_stress,3,43000,3,1,400,77.87958459964707,0.02474333064006134,0.08269030609772067,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control,cylinder,same_xx,factory_prepolish_deep_stress,3,43000,3,2,400,77.08625817599992,0.030354103554170644,0.10274375123486902,96.5,100.0,100.0,100.0,96.5,100.0,100.0
control,cylinder,same_xx,factory_prepolish_deep_stress,3,43000,3,3,400,70.15441078444813,0.028739058069199564,0.09689534054468198,66.0,100.0,100.0,99.5,66.0,100.0,100.0
control,cylinder,same_xx,factory_prepolish_deep_stress,3,43000,3,4,400,77.9999999877079,0.029961089481501602,0.10131349815876088,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control,cylinder,same_xx,factory_prepolish_deep_stress,3,43000,4,0,400,77.81013493562466,0.02100180314487914,0.07081773374296084,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control,cylinder,same_xx,factory_prepolish_deep_stress,3,43000,4,1,400,77.88968733389896,0.028079046044828103,0.09396363330614285,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control,cylinder,same_xx,factory_prepolish_deep_stress,3,43000,4,2,400,77.1094692191663,0.02723593318317331,0.09180390910603542,97.75,100.0,100.0,100.0,97.75,100.0,100.0
control,cylinder,same_xx,factory_prepolish_deep_stress,3,43000,4,3,400,77.02015545468782,0.027398644795527668,0.09254059799056569,97.5,100.0,100.0,100.0,97.5,100.0,100.0
control,cylinder,same_xx,factory_prepolish_deep_stress,3,43000,4,4,400,77.99999998743857,0.027784513538051704,0.09360203432021413,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control,cylinder,same_xx,factory_prepolish,1,43000,0,0,400,77.64977383625418,0.021877884479688345,0.07355978602301513,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control,cylinder,same_xx,factory_prepolish,1,43000,0,1,400,77.44196294675993,0.020083938266315316,0.0678243022671296,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control,cylinder,same_xx,factory_prepolish,1,43000,0,2,400,77.46409121122556,0.018061806421435036,0.061440847065652705,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control,cylinder,same_xx,factory_prepolish,1,43000,0,3,400,72.89431167893224,0.018483910625241406,0.062214896887606536,81.25,100.0,100.0,99.5,81.25,100.0,100.0
control,cylinder,same_xx,factory_prepolish,1,43000,0,4,400,73.1415052855025,0.020872616222665907,0.07105155113026704,83.0,100.0,100.0,99.25,83.0,100.0,100.0
control,cylinder,same_xx,factory_prepolish,1,43000,1,0,400,77.41210037406455,0.016980006986374443,0.058051923108384855,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control,cylinder,same_xx,factory_prepolish,1,43000,1,1,400,77.37476444699007,0.01814530592092443,0.061799104009889666,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control,cylinder,same_xx,factory_prepolish,1,43000,1,2,400,77.37451405997996,0.01837285845696883,0.06226822760720502,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control,cylinder,same_xx,factory_prepolish,1,43000,1,3,400,77.42852817428262,0.017819704129440183,0.06011909606393839,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control,cylinder,same_xx,factory_prepolish,1,43000,1,4,400,77.57326347648603,0.014392306678182285,0.048191721559956185,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control,cylinder,same_xx,factory_prepolish,1,43000,2,0,400,77.4483057006974,0.015817555085626368,0.05342661606542811,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control,cylinder,same_xx,factory_prepolish,1,43000,2,1,400,77.37572133976775,0.014403937264340758,0.049442435678795214,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control,cylinder,same_xx,factory_prepolish,1,43000,2,2,400,77.3575811698902,0.016096206923318233,0.05446540514700762,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control,cylinder,same_xx,factory_prepolish,1,43000,2,3,400,75.53518507014601,0.01838669790230477,0.062019989001457804,93.25,100.0,100.0,100.0,93.25,100.0,100.0
control,cylinder,same_xx,factory_prepolish,1,43000,2,4,400,77.59441208992072,0.018061815051415183,0.06092039502773794,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control,cylinder,same_xx,factory_prepolish,1,43000,3,0,400,77.49133505094741,0.015439513212719504,0.05208076187776813,100.0,100.0,100.0,100.0,100.0,100.0,100.0
