shield_mode,surface_kind,direction_mode,surface_profile,env,profile_seed,tile_i,tile_j,cell_count,local_gu_mean,local_ra_mean_um,local_rz_mean_um,gu_pass_area_pct,ra_pass_area_pct,rz_pass_area_pct,scratch_pass_area_pct,all4_pass_area_pct,clearcoat_pass_area_pct,temperature_pass_area_pct
control,flat,cross_xy,factory_prepolish,1,42000,0,0,400,77.69325907013746,0.021561542322012642,0.07200302854788189,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control,flat,cross_xy,factory_prepolish,1,42000,0,1,400,77.59364095630768,0.017226984460464046,0.05839564672138165,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control,flat,cross_xy,factory_prepolish,1,42000,0,2,400,77.58038626486773,0.01794042551588406,0.06029144417796873,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control,flat,cross_xy,factory_prepolish,1,42000,0,3,400,77.6696295884507,0.015915599310231107,0.05412701175368582,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control,flat,cross_xy,factory_prepolish,1,42000,0,4,400,77.64362721609562,0.027495422658959698,0.09134403423565444,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control,flat,cross_xy,factory_prepolish,1,42000,1,0,400,77.67160039221173,0.016592120027066302,0.05639328080009061,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control,flat,cross_xy,factory_prepolish,1,42000,1,1,400,77.49480807920492,0.015654076092994677,0.05384349895684117,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control,flat,cross_xy,factory_prepolish,1,42000,1,2,400,77.41988498687721,0.020726983245538854,0.06929706081441252,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control,flat,cross_xy,factory_prepolish,1,42000,1,3,400,77.5676494707879,0.017999607430348466,0.06070545059084079,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control,flat,cross_xy,factory_prepolish,1,42000,1,4,400,77.63168399393882,0.02527529401562539,0.08654165992172941,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control,flat,cross_xy,factory_prepolish,1,42000,2,0,400,77.55488238705354,0.017182854664930775,0.05871699603874683,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control,flat,cross_xy,factory_prepolish,1,42000,2,1,400,77.47270704678972,0.018293973042811742,0.062195289599560014,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control,flat,cross_xy,factory_prepolish,1,42000,2,2,400,77.49546558066969,0.021248124739081796,0.0715260404420892,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control,flat,cross_xy,factory_prepolish,1,42000,2,3,400,77.59510498175689,0.017912527865549834,0.060398298412565235,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control,flat,cross_xy,factory_prepolish,1,42000,2,4,400,77.66469996031849,0.021887083629516885,0.0740150646592333,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control,flat,cross_xy,factory_prepolish,1,42000,3,0,400,77.48440043837495,0.01971645010279183,0.0667233563170558,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control,flat,cross_xy,factory_prepolish,1,42000,3,1,400,77.53705587594303,0.018425633313561333,0.06263365981143404,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control,flat,cross_xy,factory_prepolish,1,42000,3,2,400,77.53292374270474,0.017961511118034915,0.060613633986563276,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control,flat,cross_xy,factory_prepolish,1,42000,3,3,400,77.57662401565885,0.017964771262928628,0.06057167260904078,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control,flat,cross_xy,factory_prepolish,1,42000,3,4,400,77.65164057539188,0.019592260619600253,0.06595864648758214,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control,flat,cross_xy,factory_prepolish,1,42000,4,0,400,77.53749246248522,0.02014459993138118,0.06795357527399196,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control,flat,cross_xy,factory_prepolish,1,42000,4,1,400,77.64218148612092,0.016642237734793817,0.056760693905521256,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control,flat,cross_xy,factory_prepolish,1,42000,4,2,400,77.61239003325063,0.022355786620917778,0.0763688577562998,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control,flat,cross_xy,factory_prepolish,1,42000,4,3,400,77.60034488086826,0.02109966497010624,0.0713020659979405,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control,flat,cross_xy,factory_prepolish,1,42000,4,4,400,77.64002623011312,0.024132862007559156,0.08168332986980718,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control,flat,cross_xy,factory_prepolish_deep_defect,2,42000,0,0,400,77.6932082602193,0.021599731277462963,0.07212747443004372,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control,flat,cross_xy,factory_prepolish_deep_defect,2,42000,0,1,400,77.59689372567948,0.017331051379296702,0.05875070883673847,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control,flat,cross_xy,factory_prepolish_deep_defect,2,42000,0,2,400,77.5789360130441,0.017911931023204864,0.060197065764784854,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control,flat,cross_xy,factory_prepolish_deep_defect,2,42000,0,3,400,77.67103965441436,0.01598269123433198,0.054342703162941604,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control,flat,cross_xy,factory_prepolish_deep_defect,2,42000,0,4,400,77.64621194995976,0.027541508641282686,0.09149439998867077,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control,flat,cross_xy,factory_prepolish_deep_defect,2,42000,1,0,400,77.59186344139407,0.01581803282767537,0.05373727066379588,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control,flat,cross_xy,factory_prepolish_deep_defect,2,42000,1,1,400,77.35396603407045,0.013861045872284141,0.04762525318746384,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control,flat,cross_xy,factory_prepolish_deep_defect,2,42000,1,2,400,77.28349102360409,0.018618023705404475,0.06219521654174047,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control,flat,cross_xy,factory_prepolish_deep_defect,2,42000,1,3,400,77.54969694896481,0.01797505337396256,0.06062555926834005,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control,flat,cross_xy,factory_prepolish_deep_defect,2,42000,1,4,400,77.64320173301743,0.025505815597124826,0.08730391089191389,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control,flat,cross_xy,factory_prepolish_deep_defect,2,42000,2,0,400,77.34289566612819,0.014572093527546284,0.04999750381476806,100.0,100.0,100.0,100.0,100.0,100.0,100.0
