shield_mode,surface_kind,direction_mode,surface_profile,env,profile_seed,tile_i,tile_j,cell_count,local_gu_mean,local_ra_mean_um,local_rz_mean_um,gu_pass_area_pct,ra_pass_area_pct,rz_pass_area_pct,scratch_pass_area_pct,all4_pass_area_pct,clearcoat_pass_area_pct,temperature_pass_area_pct
control,flat,same_xx,factory_prepolish,1,42000,0,0,400,77.69643116731635,0.021675498530014718,0.07239449717750043,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control,flat,same_xx,factory_prepolish,1,42000,0,1,400,77.59356128055228,0.017047957518596953,0.0578228340862783,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control,flat,same_xx,factory_prepolish,1,42000,0,2,400,77.61166527079862,0.01862219114861523,0.06262525482333132,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control,flat,same_xx,factory_prepolish,1,42000,0,3,400,77.6934911958798,0.016445916917764546,0.055909834742312016,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control,flat,same_xx,factory_prepolish,1,42000,0,4,400,77.67411092142291,0.0282104325465109,0.09370962654526953,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control,flat,same_xx,factory_prepolish,1,42000,1,0,400,77.67536966649045,0.016971471087889392,0.057671926036629434,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control,flat,same_xx,factory_prepolish,1,42000,1,1,400,77.50102685563799,0.015868011155791065,0.05458365693743405,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control,flat,same_xx,factory_prepolish,1,42000,1,2,400,77.44100123295843,0.02131874188082792,0.07125248920608104,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control,flat,same_xx,factory_prepolish,1,42000,1,3,400,77.58439089332798,0.01833202287208506,0.061826063771685896,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control,flat,same_xx,factory_prepolish,1,42000,1,4,400,77.62937155963398,0.025355271085424534,0.08681421681722572,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control,flat,same_xx,factory_prepolish,1,42000,2,0,400,77.52565103825336,0.016718188141240466,0.05716365025517032,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control,flat,same_xx,factory_prepolish,1,42000,2,1,400,77.45669706914072,0.01797211268515058,0.06115040522100644,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control,flat,same_xx,factory_prepolish,1,42000,2,2,400,77.50103204027924,0.02135637927343569,0.07185090873070642,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control,flat,same_xx,factory_prepolish,1,42000,2,3,400,77.60133218638224,0.018028609718575325,0.060755737307751294,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control,flat,same_xx,factory_prepolish,1,42000,2,4,400,77.66370366914502,0.02187817784940292,0.07403191521873381,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control,flat,same_xx,factory_prepolish,1,42000,3,0,400,77.4584311621098,0.01923552817513348,0.0651300231411439,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control,flat,same_xx,factory_prepolish,1,42000,3,1,400,77.52698649678359,0.01822892869265886,0.06194146463340489,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control,flat,same_xx,factory_prepolish,1,42000,3,2,400,77.52906028238225,0.01786787155199205,0.060331624932788694,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control,flat,same_xx,factory_prepolish,1,42000,3,3,400,77.57264355680623,0.017903432582878572,0.06033253388709853,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control,flat,same_xx,factory_prepolish,1,42000,3,4,400,77.63642337376251,0.019316859836340204,0.06504792409906085,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control,flat,same_xx,factory_prepolish,1,42000,4,0,400,77.51308478707327,0.01954472784264114,0.06595757403002624,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control,flat,same_xx,factory_prepolish,1,42000,4,1,400,77.643603821989,0.016699526384689304,0.05696741186281745,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control,flat,same_xx,factory_prepolish,1,42000,4,2,400,77.6177600409768,0.02248000201580674,0.07676718857999225,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control,flat,same_xx,factory_prepolish,1,42000,4,3,400,77.60829614696273,0.021368142609588206,0.07218350623364209,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control,flat,same_xx,factory_prepolish,1,42000,4,4,400,77.63291233272892,0.02407518784036746,0.08148038853475484,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control,flat,same_xx,factory_prepolish_deep_defect,2,42000,0,0,400,77.69146835759682,0.021711338715475197,0.07251568965853114,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control,flat,same_xx,factory_prepolish_deep_defect,2,42000,0,1,400,77.60592114110322,0.01758997499996912,0.05964581831859775,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control,flat,same_xx,factory_prepolish_deep_defect,2,42000,0,2,400,77.60906450537314,0.018728765518682806,0.06295351659030443,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control,flat,same_xx,factory_prepolish_deep_defect,2,42000,0,3,400,77.69759655904885,0.016660782907089527,0.0566286225583498,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control,flat,same_xx,factory_prepolish_deep_defect,2,42000,0,4,400,77.67983612320171,0.028325761127815242,0.09408828619248018,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control,flat,same_xx,factory_prepolish_deep_defect,2,42000,1,0,400,77.5838256736476,0.015984172856391123,0.054333504379223,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control,flat,same_xx,factory_prepolish_deep_defect,2,42000,1,1,400,77.36091273797629,0.014001918380037002,0.04815781108823832,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control,flat,same_xx,factory_prepolish_deep_defect,2,42000,1,2,400,77.28520423977409,0.01886485212194876,0.06297708757368127,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control,flat,same_xx,factory_prepolish_deep_defect,2,42000,1,3,400,77.56519587563932,0.018500941485678397,0.06234472492323317,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control,flat,same_xx,factory_prepolish_deep_defect,2,42000,1,4,400,77.64731685141447,0.02572185910642317,0.08802507655492539,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control,flat,same_xx,factory_prepolish_deep_defect,2,42000,2,0,400,77.35858137684195,0.015195837096567681,0.052156694789617666,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control,flat,same_xx,factory_prepolish_deep_defect,2,42000,2,1,400,73.01499688219182,0.0323192902297665,0.1081215708637847,77.0,100.0,100.0,100.0,77.0,100.0,100.0
control,flat,same_xx,factory_prepolish_deep_defect,2,42000,2,2,400,75.0747308486536,0.02294277647371291,0.07848086989405673,87.75,100.0,100.0,100.0,87.75,100.0,100.0
control,flat,same_xx,factory_prepolish_deep_defect,2,42000,2,3,400,77.52972730363905,0.017535553798708733,0.05906300498023775,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control,flat,same_xx,factory_prepolish_deep_defect,2,42000,2,4,400,77.68484572938154,0.022374161604331578,0.0756314227026047,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control,flat,same_xx,factory_prepolish_deep_defect,2,42000,3,0,400,76.92323239269092,0.01852780079392639,0.06312163686634395,97.25,100.0,100.0,100.0,97.25,100.0,100.0
control,flat,same_xx,factory_prepolish_deep_defect,2,42000,3,1,400,72.4142808823343,0.036753464999245436,0.12231404319884077,72.75,100.0,100.0,100.0,72.75,100.0,100.0
control,flat,same_xx,factory_prepolish_deep_defect,2,42000,3,2,400,77.32814328581682,0.014730893489799732,0.04976535463078907,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control,flat,same_xx,factory_prepolish_deep_defect,2,42000,3,3,400,77.49394333013701,0.018066651230219652,0.060785940662688755,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control,flat,same_xx,factory_prepolish_deep_defect,2,42000,3,4,400,77.65248050621791,0.019650800822455003,0.06613050724548626,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control,flat,same_xx,factory_prepolish_deep_defect,2,42000,4,0,400,77.45630809876168,0.018939802219049645,0.06385669308173249,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control,flat,same_xx,factory_prepolish_deep_defect,2,42000,4,1,400,77.51431805694469,0.015365788168779355,0.052487283277034565,100.0,100.0,100.0,100.0,100.0,100.0,100.0
