shield_mode,surface_kind,direction_mode,surface_profile,env,profile_seed,tile_i,tile_j,cell_count,local_gu_mean,local_ra_mean_um,local_rz_mean_um,gu_pass_area_pct,ra_pass_area_pct,rz_pass_area_pct,scratch_pass_area_pct,all4_pass_area_pct,clearcoat_pass_area_pct,temperature_pass_area_pct
control,freeform,cross_xy,factory_prepolish,1,42000,0,0,400,77.69110798964608,0.02151694601510066,0.071867029395745,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control,freeform,cross_xy,factory_prepolish,1,42000,0,1,400,77.58993447499981,0.017142641333543866,0.05811305674800277,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control,freeform,cross_xy,factory_prepolish,1,42000,0,2,400,77.57368798232442,0.01778549230556615,0.05977044412005565,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control,freeform,cross_xy,factory_prepolish,1,42000,0,3,400,77.65561616280173,0.015589944125311728,0.05301764603122454,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control,freeform,cross_xy,factory_prepolish,1,42000,0,4,400,77.62340058922902,0.02709373074130226,0.09000693990938387,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control,freeform,cross_xy,factory_prepolish,1,42000,1,0,400,77.67317744440079,0.016612763147047228,0.05645328609586011,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control,freeform,cross_xy,factory_prepolish,1,42000,1,1,400,77.49039927179707,0.015564228147627576,0.05353547102271865,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control,freeform,cross_xy,factory_prepolish,1,42000,1,2,400,77.40762670225034,0.020437025387409075,0.06832904593854196,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control,freeform,cross_xy,factory_prepolish,1,42000,1,3,400,77.56059237405434,0.0178546519232334,0.060218577614432146,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control,freeform,cross_xy,factory_prepolish,1,42000,1,4,400,77.6276619801818,0.0251753280064356,0.08620321059965289,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control,freeform,cross_xy,factory_prepolish,1,42000,2,0,400,77.56367493620316,0.01734193564276115,0.059252296610813646,100.0,100.0,100.0,100.0,100.0,100.0,100.0
