shield_mode,surface_kind,direction_mode,surface_profile,env,profile_seed,tile_i,tile_j,cell_count,local_gu_mean,local_ra_mean_um,local_rz_mean_um,gu_pass_area_pct,ra_pass_area_pct,rz_pass_area_pct,scratch_pass_area_pct,all4_pass_area_pct,clearcoat_pass_area_pct,temperature_pass_area_pct
control,freeform,same_xx,factory_prepolish,1,40000,0,0,400,77.6961749124047,0.026202024679826606,0.08858908737907419,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control,freeform,same_xx,factory_prepolish,1,40000,0,1,400,77.54517710684826,0.026460781342776116,0.08905241184003153,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control,freeform,same_xx,factory_prepolish,1,40000,0,2,400,77.5583482793054,0.022040684167364374,0.07394508666774204,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control,freeform,same_xx,factory_prepolish,1,40000,0,3,400,77.56652274939798,0.02844011291740345,0.09477641433902873,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control,freeform,same_xx,factory_prepolish,1,40000,0,4,400,77.64392988898669,0.02676689144335728,0.09014452214250987,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control,freeform,same_xx,factory_prepolish,1,40000,1,0,400,77.50821038491753,0.02232709057492994,0.07605662607792923,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control,freeform,same_xx,factory_prepolish,1,40000,1,1,400,77.4584142985168,0.022174729185371063,0.07489207338031538,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control,freeform,same_xx,factory_prepolish,1,40000,1,2,400,77.36246403093047,0.02514240086384857,0.08431978497124103,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control,freeform,same_xx,factory_prepolish,1,40000,1,3,400,77.53693495445208,0.021853487715922725,0.07412767408321107,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control,freeform,same_xx,factory_prepolish,1,40000,1,4,400,77.64102803645247,0.020713176979929086,0.0707210328832628,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control,freeform,same_xx,factory_prepolish,1,40000,2,0,400,76.85834393733013,0.023283673656196168,0.07886164451870173,96.5,100.0,100.0,100.0,96.5,100.0,100.0
control,freeform,same_xx,factory_prepolish,1,40000,2,1,400,77.40591968737311,0.018514979214789156,0.06242475621023281,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control,freeform,same_xx,factory_prepolish,1,40000,2,2,400,77.52068620393723,0.016905962019768035,0.05698055073085588,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control,freeform,same_xx,factory_prepolish,1,40000,2,3,400,77.42844632391473,0.02396030196150661,0.08169732522795563,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control,freeform,same_xx,factory_prepolish,1,40000,2,4,400,77.58761174958144,0.022379324289934673,0.07529002399729295,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control,freeform,same_xx,factory_prepolish,1,40000,3,0,400,71.3803858198561,0.03947736365856904,0.13298534701086398,67.0,100.0,100.0,100.0,67.0,100.0,100.0
