shield_mode,surface_kind,direction_mode,surface_profile,env,profile_seed,tile_i,tile_j,cell_count,local_gu_mean,local_ra_mean_um,local_rz_mean_um,gu_pass_area_pct,ra_pass_area_pct,rz_pass_area_pct,scratch_pass_area_pct,all4_pass_area_pct,clearcoat_pass_area_pct,temperature_pass_area_pct
control,sphere,cross_xy,factory_prepolish,1,40000,0,0,400,77.69085869288743,0.02616133056857931,0.08843133002590403,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control,sphere,cross_xy,factory_prepolish,1,40000,0,1,400,77.54224678386873,0.02655638031257781,0.08942918852513383,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control,sphere,cross_xy,factory_prepolish,1,40000,0,2,400,77.5246558666893,0.02134240464175381,0.07172103286370765,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control,sphere,cross_xy,factory_prepolish,1,40000,0,3,400,77.52283205745839,0.02752742877614684,0.09179831166691194,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control,sphere,cross_xy,factory_prepolish,1,40000,0,4,400,77.62202140577527,0.02610458688067503,0.08800049158746746,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control,sphere,cross_xy,factory_prepolish,1,40000,1,0,400,77.49027253305681,0.021807418508948774,0.07427160501324587,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control,sphere,cross_xy,factory_prepolish,1,40000,1,1,400,77.4307664683678,0.02168111370766807,0.07332444143281097,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control,sphere,cross_xy,factory_prepolish,1,40000,1,2,400,77.32417974720471,0.02431976861396299,0.08170362690414938,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control,sphere,cross_xy,factory_prepolish,1,40000,1,3,400,77.52222450197898,0.02144458542545835,0.0727166601027356,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control,sphere,cross_xy,factory_prepolish,1,40000,1,4,400,77.63867865430655,0.020684385659068827,0.07057859279348555,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control,sphere,cross_xy,factory_prepolish,1,40000,2,0,400,76.83988504367198,0.022837203908838085,0.07735823474820334,96.5,100.0,100.0,100.0,96.5,100.0,100.0
control,sphere,cross_xy,factory_prepolish,1,40000,2,1,400,77.37030662311491,0.017535045024358226,0.059120818106715885,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control,sphere,cross_xy,factory_prepolish,1,40000,2,2,400,77.50683640460825,0.0166951397687735,0.05626152156413777,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control,sphere,cross_xy,factory_prepolish,1,40000,2,3,400,77.43349637022462,0.024070073968990212,0.08206670528739765,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control,sphere,cross_xy,factory_prepolish,1,40000,2,4,400,77.60351820649241,0.022661581213526925,0.07624101589469212,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control,sphere,cross_xy,factory_prepolish,1,40000,3,0,400,71.37694302730921,0.039289962093292316,0.1324545936178491,67.0,100.0,100.0,100.0,67.0,100.0,100.0
control,sphere,cross_xy,factory_prepolish,1,40000,3,1,400,77.46399846609067,0.014605009196429963,0.04906946590382441,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control,sphere,cross_xy,factory_prepolish,1,40000,3,2,400,77.43340228221717,0.020940433280379703,0.07014453903651724,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control,sphere,cross_xy,factory_prepolish,1,40000,3,3,400,77.51526809692845,0.02072612563981302,0.07053062034487188,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control,sphere,cross_xy,factory_prepolish,1,40000,3,4,400,77.59571918560626,0.02661798781011325,0.08973427679349574,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control,sphere,cross_xy,factory_prepolish,1,40000,4,0,400,71.77360679047811,0.035745906060292,0.11867466150105434,69.5,100.0,100.0,100.0,69.5,100.0,100.0
control,sphere,cross_xy,factory_prepolish,1,40000,4,1,400,77.52669441565178,0.018617416670541162,0.0625135246802728,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control,sphere,cross_xy,factory_prepolish,1,40000,4,2,400,77.64892963546681,0.02254700458853871,0.07639851761213667,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control,sphere,cross_xy,factory_prepolish,1,40000,4,3,400,77.59049393827192,0.02439998364237427,0.08246520293284998,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control,sphere,cross_xy,factory_prepolish,1,40000,4,4,400,77.65760287705778,0.028753597242813633,0.09730370608847494,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control,sphere,cross_xy,factory_prepolish_deep_defect,2,40000,0,0,400,77.67937736646128,0.0259664634663924,0.08777510666171162,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control,sphere,cross_xy,factory_prepolish_deep_defect,2,40000,0,1,400,77.527541665529,0.02615283292277347,0.08807276171460074,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control,sphere,cross_xy,factory_prepolish_deep_defect,2,40000,0,2,400,77.52639917788021,0.021417832719906844,0.07193722232171726,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control,sphere,cross_xy,factory_prepolish_deep_defect,2,40000,0,3,400,77.54757608986407,0.028075988993054322,0.09360560415669215,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control,sphere,cross_xy,factory_prepolish_deep_defect,2,40000,0,4,400,77.64242276306227,0.02656140231824403,0.08950658775848354,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control,sphere,cross_xy,factory_prepolish_deep_defect,2,40000,1,0,400,77.48756967850089,0.021746119145846433,0.07407498593119528,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control,sphere,cross_xy,factory_prepolish_deep_defect,2,40000,1,1,400,77.40106921425817,0.021169123167648216,0.07159804974997827,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control,sphere,cross_xy,factory_prepolish_deep_defect,2,40000,1,2,400,77.19398517966158,0.02259095522691653,0.07591003568549402,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control,sphere,cross_xy,factory_prepolish_deep_defect,2,40000,1,3,400,77.36955868038405,0.0195629356631654,0.06624544089107287,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control,sphere,cross_xy,factory_prepolish_deep_defect,2,40000,1,4,400,77.55430093503757,0.019859760609443926,0.06768574892194124,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control,sphere,cross_xy,factory_prepolish_deep_defect,2,40000,2,0,400,76.84126811256483,0.022802540642116717,0.07724712534646148,96.5,100.0,100.0,100.0,96.5,100.0,100.0
control,sphere,cross_xy,factory_prepolish_deep_defect,2,40000,2,1,400,77.33325075944425,0.016426073065948878,0.05536912046891711,100.0,100.0,100.0,100.0,100.0,100.0,100.0
control,sphere,cross_xy,factory_prepolish_deep_defect,2,40000,2,2,400,76.80731027862839,0.014761564742043088,0.05015483921706678,96.75,100.0,100.0,100.0,96.75,100.0,100.0
control,sphere,cross_xy,factory_prepolish_deep_defect,2,40000,2,3,400,69.00198869592917,0.058063951525961485,0.1964831388344355,61.5,96.0,100.0,100.0,61.5,100.0,100.0
control,sphere,cross_xy,factory_prepolish_deep_defect,2,40000,2,4,400,76.54631155175653,0.01959472477562481,0.06624599200286951,95.75,100.0,100.0,100.0,95.75,100.0,100.0
control,sphere,cross_xy,factory_prepolish_deep_defect,2,40000,3,0,400,71.40648481690265,0.03926193038102972,0.13237305416353928,67.25,100.0,100.0,100.0,67.25,100.0,100.0
